InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536407,2010-12-01 11:34:00,17850.0,SC9220,Sports Equipment,13,74.83,Sierra Leone,972.79,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5755,Sports Equipment,61,19.01,Sierra Leone,1159.61,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC3875,Sports Equipment,44,23.31,Sierra Leone,1025.64,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC2988,Sports Equipment,63,93.87,Sierra Leone,5913.81,2010-12,2010-12,1
536584,2010-12-01 16:22:00,13777.0,SC2796,Sports Equipment,92,79.37,Sierra Leone,7302.040000000001,2010-12,2010-12,1
536594,2010-12-01 17:22:00,15235.0,SC1996,Sports Equipment,57,66.14,Sierra Leone,3769.98,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC8896,Sports Equipment,98,33.99,Sierra Leone,3331.02,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2410,Sports Equipment,81,49.28,Sierra Leone,3991.68,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8378,Sports Equipment,50,4.49,Sierra Leone,224.5,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC9206,Sports Equipment,23,87.56,Sierra Leone,2013.88,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC8101,Sports Equipment,20,53.47,Sierra Leone,1069.4,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC3076,Sports Equipment,68,14.04,Sierra Leone,954.72,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1595,Sports Equipment,95,96.58,Sierra Leone,9175.1,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC7908,Sports Equipment,90,49.05,Sierra Leone,4414.5,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC7043,Sports Equipment,43,12.08,Sierra Leone,519.44,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8084,Sports Equipment,52,92.96,Sierra Leone,4833.92,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC8150,Sports Equipment,32,10.9,Sierra Leone,348.8,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC5932,Sports Equipment,63,3.25,Sierra Leone,204.75,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC1626,Sports Equipment,38,83.61,Sierra Leone,3177.18,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC6430,Sports Equipment,32,8.26,Sierra Leone,264.32,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC7002,Sports Equipment,72,30.05,Sierra Leone,2163.6,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC5421,Sports Equipment,71,72.38,Sierra Leone,5138.98,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC7295,Sports Equipment,1,37.38,Sierra Leone,37.38,2010-12,2010-12,1
537179,2010-12-05 13:29:00,13767.0,SC1365,Sports Equipment,28,74.63,Sierra Leone,2089.64,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9747,Sports Equipment,63,67.48,Sierra Leone,4251.240000000001,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC5443,Sports Equipment,17,60.75,Sierra Leone,1032.75,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC5766,Sports Equipment,60,75.59,Sierra Leone,4535.400000000001,2010-12,2010-12,1
