InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC7895,Toys,41,45.31,Sierra Leone,1857.71,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC3415,Toys,1,74.45,Sierra Leone,74.45,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2339,Toys,41,90.8,Sierra Leone,3722.8,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1998,Toys,46,24.06,Sierra Leone,1106.76,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9866,Toys,93,2.67,Sierra Leone,248.31,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3045,Toys,35,85.24,Sierra Leone,2983.4,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4020,Toys,92,66.67,Sierra Leone,6133.64,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8453,Toys,84,55.2,Sierra Leone,4636.8,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4784,Toys,60,59.96,Sierra Leone,3597.6,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4946,Toys,7,2.95,Sierra Leone,20.65,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC7765,Toys,62,13.24,Sierra Leone,820.88,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC4860,Toys,15,50.5,Sierra Leone,757.5,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC7631,Toys,66,33.1,Sierra Leone,2184.6,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC2799,Toys,29,39.74,Sierra Leone,1152.46,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC3245,Toys,5,72.6,Sierra Leone,363.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8962,Toys,99,3.65,Sierra Leone,361.35,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC1600,Toys,91,36.15,Sierra Leone,3289.65,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC3814,Toys,26,87.2,Sierra Leone,2267.2000000000003,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC8015,Toys,53,90.64,Sierra Leone,4803.92,2010-12,2010-12,1
537067,2010-12-05 11:57:00,14813.0,SC3162,Toys,58,84.92,Sierra Leone,4925.36,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC6301,Toys,13,83.02,Sierra Leone,1079.26,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC4609,Toys,69,53.74,Sierra Leone,3708.06,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC4936,Toys,28,68.99,Sierra Leone,1931.72,2010-12,2010-12,1
537214,2010-12-05 15:35:00,16422.0,SC2276,Toys,30,31.68,Sierra Leone,950.4,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC8292,Toys,49,19.38,Sierra Leone,949.62,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC8467,Toys,54,83.76,Sierra Leone,4523.04,2010-12,2010-12,1
537256,2010-12-06 11:06:00,16210.0,SC9068,Toys,9,89.18,Sierra Leone,802.6200000000001,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC9114,Toys,97,88.85,Sierra Leone,8618.449999999999,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC4001,Toys,25,79.87,Sierra Leone,1996.75,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC5016,Toys,10,28.49,Sierra Leone,284.9,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC8851,Toys,54,25.97,Sierra Leone,1402.38,2010-12,2010-12,1
537674,2010-12-08 09:51:00,15628.0,SC8670,Toys,11,36.22,Sierra Leone,398.42,2010-12,2010-12,1
537693,2010-12-08 10:45:00,12441.0,SC7953,Toys,40,79.98,Sierra Leone,3199.2000000000003,2010-12,2010-12,1
537759,2010-12-08 11:42:00,13126.0,SC8584,Toys,24,83.43,Sierra Leone,2002.32,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC2482,Toys,25,10.03,Sierra Leone,250.75,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC8744,Toys,16,11.38,Sierra Leone,182.08,2010-12,2010-12,1
537780,2010-12-08 12:45:00,17324.0,SC8307,Toys,13,89.67,Sierra Leone,1165.71,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC2589,Toys,29,52.99,Sierra Leone,1536.71,2010-12,2010-12,1
537791,2010-12-08 12:51:00,16233.0,SC5913,Toys,19,14.5,Sierra Leone,275.5,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC2138,Toys,21,99.66,Sierra Leone,2092.86,2010-12,2010-12,1
537837,2010-12-08 14:59:00,13077.0,SC3750,Toys,40,85.54,Sierra Leone,3421.6000000000004,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC1593,Toys,11,24.93,Sierra Leone,274.23,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC6848,Toys,95,26.32,Sierra Leone,2500.4,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC2358,Toys,33,34.63,Sierra Leone,1142.7900000000002,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC2674,Toys,45,70.48,Sierra Leone,3171.6000000000004,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC2379,Toys,88,82.16,Sierra Leone,7230.08,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC2511,Toys,66,46.01,Sierra Leone,3036.66,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC6936,Toys,53,55.16,Sierra Leone,2923.48,2010-12,2010-12,1
538186,2010-12-10 10:26:00,13000.0,SC8941,Toys,43,1.38,Sierra Leone,59.34,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC5463,Toys,15,2.46,Sierra Leone,36.9,2010-12,2010-12,1
