InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC3769,Books,47,78.27,Somalia,3678.69,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6463,Books,78,86.91,Somalia,6778.98,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5496,Books,46,27.16,Somalia,1249.36,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC3868,Books,77,18.41,Somalia,1417.57,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC6634,Books,32,37.23,Somalia,1191.36,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6390,Books,95,15.2,Somalia,1444.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8367,Books,92,5.6,Somalia,515.1999999999999,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9435,Books,23,63.08,Somalia,1450.84,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5234,Books,28,52.04,Somalia,1457.12,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC6550,Books,34,83.5,Somalia,2839.0,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC6406,Books,54,98.62,Somalia,5325.4800000000005,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7339,Books,56,38.59,Somalia,2161.04,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC3420,Books,53,59.23,Somalia,3139.19,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC9401,Books,36,2.58,Somalia,92.88,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2403,Books,10,40.16,Somalia,401.6,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC6077,Books,87,12.64,Somalia,1099.68,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC4210,Books,11,40.74,Somalia,448.14,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC3758,Books,72,66.71,Somalia,4803.12,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC7358,Books,57,80.03,Somalia,4561.71,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC4075,Books,45,10.71,Somalia,481.9500000000001,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC1820,Books,81,96.35,Somalia,7804.349999999999,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC5958,Books,72,30.16,Somalia,2171.52,2010-12,2010-12,1
537390,2010-12-06 13:47:00,16658.0,SC7187,Books,38,90.16,Somalia,3426.08,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC4714,Books,13,46.61,Somalia,605.93,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC8227,Books,90,66.91,Somalia,6021.9,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC2899,Books,86,73.34,Somalia,6307.240000000001,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC5399,Books,35,83.02,Somalia,2905.7,2010-12,2010-12,1
537605,2010-12-07 13:13:00,16221.0,SC2120,Books,46,91.11,Somalia,4191.06,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC9260,Books,87,96.73,Somalia,8415.51,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC2665,Books,33,57.83,Somalia,1908.39,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC6426,Books,27,41.93,Somalia,1132.11,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC8678,Books,65,26.69,Somalia,1734.85,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC6667,Books,92,30.46,Somalia,2802.32,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC1214,Books,56,19.69,Somalia,1102.64,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC7064,Books,63,16.29,Somalia,1026.27,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC1823,Books,11,61.03,Somalia,671.33,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC9912,Books,3,56.06,Somalia,168.18,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC8138,Books,71,37.15,Somalia,2637.65,2010-12,2010-12,1
538094,2010-12-09 14:50:00,13117.0,SC8919,Books,99,59.67,Somalia,5907.33,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC5327,Books,45,40.73,Somalia,1832.85,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC6978,Books,93,56.61,Somalia,5264.73,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC5291,Books,28,81.06,Somalia,2269.6800000000003,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC8055,Books,12,4.2,Somalia,50.400000000000006,2010-12,2010-12,1
538168,2010-12-09 19:23:00,14702.0,SC5302,Books,11,19.91,Somalia,219.01,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC3450,Books,88,7.21,Somalia,634.48,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC5960,Books,92,96.5,Somalia,8878.0,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC6542,Books,100,96.94,Somalia,9694.0,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC3830,Books,57,29.29,Somalia,1669.53,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC8728,Books,7,16.84,Somalia,117.88,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC9424,Books,69,24.9,Somalia,1718.1,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC2222,Books,7,75.0,Somalia,525.0,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC3996,Books,90,52.08,Somalia,4687.2,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC1954,Books,66,52.49,Somalia,3464.34,2010-12,2010-12,1
538679,2010-12-13 17:03:00,16455.0,SC6906,Books,12,52.74,Somalia,632.88,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC1369,Books,78,98.09,Somalia,7651.02,2010-12,2010-12,1
538801,2010-12-14 11:51:00,16083.0,SC7927,Books,40,65.21,Somalia,2608.4,2010-12,2010-12,1
538844,2010-12-14 13:19:00,14680.0,SC4747,Books,5,76.99,Somalia,384.95,2010-12,2010-12,1
538864,2010-12-14 14:26:00,17739.0,SC3717,Books,82,56.56,Somalia,4637.92,2010-12,2010-12,1
538886,2010-12-14 16:07:00,13846.0,SC5385,Books,66,20.41,Somalia,1347.06,2010-12,2010-12,1
538894,2010-12-14 17:22:00,16161.0,SC6192,Books,96,12.38,Somalia,1188.48,2010-12,2010-12,1
538945,2010-12-15 11:22:00,17230.0,SC6554,Books,79,62.65,Somalia,4949.349999999999,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC8056,Books,69,95.84,Somalia,6612.96,2010-12,2010-12,1
539046,2010-12-15 15:50:00,17980.0,SC5930,Books,89,38.82,Somalia,3454.98,2010-12,2010-12,1
539079,2010-12-16 08:39:00,17496.0,SC9194,Books,4,91.14,Somalia,364.56,2010-12,2010-12,1
539089,2010-12-16 09:46:00,15246.0,SC4562,Books,42,26.41,Somalia,1109.22,2010-12,2010-12,1
539091,2010-12-16 09:52:00,13756.0,SC4669,Books,76,62.32,Somalia,4736.32,2010-12,2010-12,1
539095,2010-12-16 10:18:00,16037.0,SC2413,Books,3,40.09,Somalia,120.27,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC8489,Books,58,48.81,Somalia,2830.98,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC1852,Books,52,42.53,Somalia,2211.56,2010-12,2010-12,1
539266,2010-12-16 15:07:00,17068.0,SC2907,Books,3,54.97,Somalia,164.91,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC9413,Books,97,23.98,Somalia,2326.06,2010-12,2010-12,1
539321,2010-12-16 19:19:00,14723.0,SC1300,Books,24,38.49,Somalia,923.76,2010-12,2010-12,1
539322,2010-12-16 19:22:00,14713.0,SC4324,Books,82,88.72,Somalia,7275.04,2010-12,2010-12,1
539395,2010-12-17 11:52:00,12471.0,SC3405,Books,65,55.83,Somalia,3628.95,2010-12,2010-12,1
539464,2010-12-19 11:35:00,17913.0,SC4368,Books,41,43.07,Somalia,1765.87,2010-12,2010-12,1
