InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536392,2010-12-01 10:29:00,13705.0,SC5529,Cloths,46,40.8,Somalia,1876.8,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC9910,Cloths,11,78.26,Somalia,860.86,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC1542,Cloths,57,36.93,Somalia,2105.01,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC3677,Cloths,40,96.28,Somalia,3851.2,2010-12,2010-12,1
536594,2010-12-01 17:22:00,15235.0,SC2937,Cloths,56,69.43,Somalia,3888.08,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC4829,Cloths,74,52.54,Somalia,3887.96,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC4485,Cloths,33,29.92,Somalia,987.36,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7773,Cloths,62,89.39,Somalia,5542.18,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC1434,Cloths,50,34.51,Somalia,1725.5,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC4220,Cloths,70,96.26,Somalia,6738.200000000001,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC9367,Cloths,68,48.88,Somalia,3323.84,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC7779,Cloths,59,39.89,Somalia,2353.51,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC8001,Cloths,14,74.57,Somalia,1043.98,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC8095,Cloths,99,97.51,Somalia,9653.49,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9480,Cloths,17,45.1,Somalia,766.7,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC8514,Cloths,30,81.12,Somalia,2433.6000000000004,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7961,Cloths,50,74.52,Somalia,3726.0,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC6281,Cloths,57,5.1,Somalia,290.7,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC8799,Cloths,57,83.11,Somalia,4737.27,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7942,Cloths,84,85.79,Somalia,7206.360000000001,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC2976,Cloths,66,85.33,Somalia,5631.78,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC6329,Cloths,53,36.7,Somalia,1945.1,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC3250,Cloths,38,12.76,Somalia,484.88,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC4615,Cloths,48,71.55,Somalia,3434.4,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7179,Cloths,96,44.4,Somalia,4262.4,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC9472,Cloths,18,32.34,Somalia,582.1200000000001,2010-12,2010-12,1
537217,2010-12-05 15:40:00,15502.0,SC4460,Cloths,15,33.5,Somalia,502.5,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9003,Cloths,1,43.85,Somalia,43.85,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8774,Cloths,59,70.95,Somalia,4186.05,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC5208,Cloths,81,86.97,Somalia,7044.57,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC6879,Cloths,60,99.25,Somalia,5955.0,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC7922,Cloths,100,64.3,Somalia,6430.0,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC7043,Cloths,61,83.92,Somalia,5119.12,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC1894,Cloths,66,35.79,Somalia,2362.14,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC2526,Cloths,67,50.58,Somalia,3388.86,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC7124,Cloths,41,35.87,Somalia,1470.6699999999998,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC8559,Cloths,67,71.61,Somalia,4797.87,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC9865,Cloths,11,70.36,Somalia,773.96,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC1166,Cloths,66,88.04,Somalia,5810.64,2010-12,2010-12,1
537409,2010-12-06 15:00:00,15194.0,SC1193,Cloths,28,37.34,Somalia,1045.52,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC8240,Cloths,45,19.01,Somalia,855.45,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC3937,Cloths,51,56.09,Somalia,2860.59,2010-12,2010-12,1
537620,2010-12-07 14:00:00,13880.0,SC5329,Cloths,89,70.12,Somalia,6240.68,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC8125,Cloths,69,55.03,Somalia,3797.07,2010-12,2010-12,1
537629,2010-12-07 15:03:00,17419.0,SC6306,Cloths,11,4.81,Somalia,52.91,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC9415,Cloths,31,96.01,Somalia,2976.31,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3044,Cloths,64,52.46,Somalia,3357.44,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5577,Cloths,81,63.63,Somalia,5154.030000000001,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC7356,Cloths,1,70.61,Somalia,70.61,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC7085,Cloths,9,55.04,Somalia,495.36,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC4500,Cloths,98,28.14,Somalia,2757.7200000000003,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC4610,Cloths,84,5.17,Somalia,434.28,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC7485,Cloths,49,60.91,Somalia,2984.59,2010-12,2010-12,1
538002,2010-12-09 11:48:00,14932.0,SC7932,Cloths,16,72.43,Somalia,1158.88,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC2615,Cloths,85,59.26,Somalia,5037.099999999999,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC9020,Cloths,97,75.26,Somalia,7300.22,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC1652,Cloths,63,4.23,Somalia,266.49,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC1227,Cloths,12,65.98,Somalia,791.76,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC2363,Cloths,59,28.48,Somalia,1680.32,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC4099,Cloths,96,56.81,Somalia,5453.76,2010-12,2010-12,1
538107,2010-12-09 15:21:00,12826.0,SC2644,Cloths,88,74.39,Somalia,6546.32,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC2195,Cloths,13,46.11,Somalia,599.43,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC1675,Cloths,91,8.93,Somalia,812.63,2010-12,2010-12,1
538263,2010-12-10 12:44:00,18065.0,SC6277,Cloths,27,16.7,Somalia,450.9,2010-12,2010-12,1
538268,2010-12-10 12:45:00,18065.0,SC9124,Cloths,10,65.67,Somalia,656.7,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC7418,Cloths,46,21.32,Somalia,980.72,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC1984,Cloths,98,10.19,Somalia,998.62,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC9177,Cloths,7,53.04,Somalia,371.28,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC2179,Cloths,97,28.42,Somalia,2756.74,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC1194,Cloths,69,15.8,Somalia,1090.2,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC8182,Cloths,20,62.92,Somalia,1258.4,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC7008,Cloths,65,45.76,Somalia,2974.4,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC1764,Cloths,31,59.08,Somalia,1831.48,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC9651,Cloths,32,70.04,Somalia,2241.28,2010-12,2010-12,1
538529,2010-12-13 10:24:00,14290.0,SC6070,Cloths,4,38.88,Somalia,155.52,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC5348,Cloths,60,24.75,Somalia,1485.0,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC6316,Cloths,91,60.63,Somalia,5517.33,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC7101,Cloths,8,36.36,Somalia,290.88,2010-12,2010-12,1
538665,2010-12-13 15:56:00,17576.0,SC2192,Cloths,67,17.28,Somalia,1157.76,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC8734,Cloths,92,76.66,Somalia,7052.719999999999,2010-12,2010-12,1
538892,2010-12-14 16:53:00,16422.0,SC6258,Cloths,60,78.15,Somalia,4689.0,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC8459,Cloths,31,41.29,Somalia,1279.99,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC9117,Cloths,39,29.7,Somalia,1158.3,2010-12,2010-12,1
539086,2010-12-16 09:35:00,17001.0,SC5658,Cloths,65,72.81,Somalia,4732.650000000001,2010-12,2010-12,1
539098,2010-12-16 10:28:00,14841.0,SC4581,Cloths,80,87.51,Somalia,7000.8,2010-12,2010-12,1
539222,2010-12-16 13:00:00,14621.0,SC2073,Cloths,58,78.27,Somalia,4539.66,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC5337,Cloths,55,74.92,Somalia,4120.6,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC8862,Cloths,87,14.01,Somalia,1218.87,2010-12,2010-12,1
539252,2010-12-16 14:17:00,17744.0,SC6740,Cloths,28,68.47,Somalia,1917.16,2010-12,2010-12,1
539263,2010-12-16 14:36:00,16560.0,SC7382,Cloths,74,23.03,Somalia,1704.22,2010-12,2010-12,1
539267,2010-12-16 15:23:00,13534.0,SC6593,Cloths,87,21.52,Somalia,1872.24,2010-12,2010-12,1
539321,2010-12-16 19:19:00,14723.0,SC7075,Cloths,42,49.81,Somalia,2092.02,2010-12,2010-12,1
539325,2010-12-17 08:20:00,13004.0,SC4759,Cloths,13,6.7,Somalia,87.10000000000001,2010-12,2010-12,1
539403,2010-12-17 12:21:00,12647.0,SC4671,Cloths,13,10.69,Somalia,138.97,2010-12,2010-12,1
539407,2010-12-17 12:56:00,12726.0,SC7618,Cloths,92,41.49,Somalia,3817.08,2010-12,2010-12,1
539414,2010-12-17 13:45:00,16931.0,SC8809,Cloths,22,91.59,Somalia,2014.98,2010-12,2010-12,1
539417,2010-12-17 13:57:00,17007.0,SC5904,Cloths,49,45.07,Somalia,2208.43,2010-12,2010-12,1
539501,2010-12-20 11:08:00,17085.0,SC5264,Cloths,27,91.82,Somalia,2479.14,2010-12,2010-12,1
539588,2010-12-20 13:11:00,14527.0,SC4000,Cloths,54,61.45,Somalia,3318.3,2010-12,2010-12,1
539637,2010-12-20 15:22:00,14083.0,SC6841,Cloths,2,12.53,Somalia,25.06,2010-12,2010-12,1
539675,2010-12-21 10:51:00,12971.0,SC4818,Cloths,33,92.68,Somalia,3058.44,2010-12,2010-12,1
539676,2010-12-21 10:54:00,12423.0,SC5034,Cloths,38,14.71,Somalia,558.98,2010-12,2010-12,1
539858,2010-12-22 16:19:00,18092.0,SC5847,Cloths,78,64.82,Somalia,5055.959999999999,2010-12,2010-12,1
539981,2010-12-23 14:35:00,13304.0,SC6181,Cloths,37,81.37,Somalia,3010.69,2010-12,2010-12,1
540027,2011-01-04 13:30:00,14210.0,SC7585,Cloths,81,96.23,Somalia,7794.63,2011-01,2011-01,1
540073,2011-01-04 14:47:00,16814.0,SC7817,Cloths,28,58.54,Somalia,1639.12,2011-01,2011-01,1
540095,2011-01-04 15:40:00,14553.0,SC7807,Cloths,27,18.74,Somalia,505.98,2011-01,2011-01,1
540167,2011-01-05 12:13:00,16600.0,SC9762,Cloths,1,30.03,Somalia,30.03,2011-01,2011-01,1
540176,2011-01-05 12:40:00,17511.0,SC4059,Cloths,9,59.52,Somalia,535.6800000000001,2011-01,2011-01,1
540185,2011-01-05 13:41:00,14653.0,SC6782,Cloths,26,3.76,Somalia,97.76,2011-01,2011-01,1
540239,2011-01-05 14:48:00,12682.0,SC9561,Cloths,60,39.18,Somalia,2350.8,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC7765,Cloths,39,36.33,Somalia,1416.87,2011-01,2011-01,1
540268,2011-01-06 11:25:00,13458.0,SC3194,Cloths,37,49.79,Somalia,1842.23,2011-01,2011-01,1
540276,2011-01-06 12:16:00,14680.0,SC8800,Cloths,75,85.6,Somalia,6420.0,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC5456,Cloths,8,7.25,Somalia,58.0,2011-01,2011-01,1
540397,2011-01-06 18:57:00,13187.0,SC3267,Cloths,78,2.23,Somalia,173.94,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC8961,Cloths,35,54.22,Somalia,1897.7,2011-01,2011-01,1
540482,2011-01-07 15:48:00,14672.0,SC9388,Cloths,76,63.55,Somalia,4829.8,2011-01,2011-01,1
540521,2011-01-09 12:46:00,12651.0,SC6331,Cloths,24,48.84,Somalia,1172.16,2011-01,2011-01,1
540524,2011-01-09 12:53:00,16735.0,SC4770,Cloths,32,84.37,Somalia,2699.84,2011-01,2011-01,1
540540,2011-01-09 15:10:00,17218.0,SC6622,Cloths,27,50.92,Somalia,1374.84,2011-01,2011-01,1
540561,2011-01-10 10:32:00,13004.0,SC2848,Cloths,79,70.68,Somalia,5583.72,2011-01,2010-12,2
540687,2011-01-10 17:18:00,15867.0,SC8507,Cloths,67,10.77,Somalia,721.5899999999999,2011-01,2011-01,1
540697,2011-01-11 09:20:00,16670.0,SC6357,Cloths,19,51.29,Somalia,974.51,2011-01,2011-01,1
540801,2011-01-11 12:25:00,12540.0,SC1845,Cloths,65,40.8,Somalia,2652.0,2011-01,2011-01,1
540834,2011-01-11 14:50:00,14733.0,SC1764,Cloths,91,48.41,Somalia,4405.31,2011-01,2011-01,1
540859,2011-01-12 10:58:00,17965.0,SC5949,Cloths,10,75.16,Somalia,751.5999999999999,2011-01,2011-01,1
540906,2011-01-12 11:51:00,16701.0,SC8152,Cloths,79,28.0,Somalia,2212.0,2011-01,2011-01,1
540971,2011-01-12 14:10:00,12383.0,SC9943,Cloths,39,47.92,Somalia,1868.88,2011-01,2011-01,1
540985,2011-01-12 15:48:00,17389.0,SC9224,Cloths,2,20.22,Somalia,40.44,2011-01,2011-01,1
540997,2011-01-13 09:55:00,17368.0,SC8154,Cloths,49,97.48,Somalia,4776.52,2011-01,2011-01,1
