InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC2664,Cosmetics,84,74.21,Somalia,6233.639999999999,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC9432,Cosmetics,68,9.2,Somalia,625.5999999999999,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7772,Cosmetics,36,37.23,Somalia,1340.28,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC7809,Cosmetics,17,7.38,Somalia,125.46,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9661,Cosmetics,75,20.78,Somalia,1558.5,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4061,Cosmetics,100,35.08,Somalia,3508.0,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3297,Cosmetics,64,13.92,Somalia,890.88,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6894,Cosmetics,46,75.91,Somalia,3491.86,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9624,Cosmetics,71,86.23,Somalia,6122.33,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC2040,Cosmetics,63,20.0,Somalia,1260.0,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC4461,Cosmetics,47,34.92,Somalia,1641.24,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC7783,Cosmetics,99,41.32,Somalia,4090.68,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC3953,Cosmetics,24,76.01,Somalia,1824.24,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC1771,Cosmetics,3,1.22,Somalia,3.66,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC8606,Cosmetics,73,98.18,Somalia,7167.14,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC4484,Cosmetics,31,95.9,Somalia,2972.9,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC6101,Cosmetics,40,22.05,Somalia,882.0,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC7700,Cosmetics,40,84.07,Somalia,3362.8,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5673,Cosmetics,70,29.39,Somalia,2057.3,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC3635,Cosmetics,43,86.26,Somalia,3709.18,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC6264,Cosmetics,38,12.42,Somalia,471.96,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC6985,Cosmetics,49,3.44,Somalia,168.56,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC3040,Cosmetics,12,24.95,Somalia,299.4,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC1785,Cosmetics,16,68.9,Somalia,1102.4,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC8066,Cosmetics,8,48.5,Somalia,388.0,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC3217,Cosmetics,88,22.07,Somalia,1942.16,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC6650,Cosmetics,47,76.23,Somalia,3582.8100000000004,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC1825,Cosmetics,18,33.9,Somalia,610.1999999999999,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC3431,Cosmetics,91,83.53,Somalia,7601.23,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5663,Cosmetics,11,25.03,Somalia,275.33000000000004,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC2315,Cosmetics,27,55.07,Somalia,1486.89,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC6747,Cosmetics,87,20.46,Somalia,1780.02,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC3006,Cosmetics,95,75.55,Somalia,7177.25,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC5683,Cosmetics,37,96.93,Somalia,3586.4100000000003,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC6943,Cosmetics,37,76.59,Somalia,2833.83,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC2027,Cosmetics,16,36.62,Somalia,585.92,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC1441,Cosmetics,4,5.84,Somalia,23.36,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC5395,Cosmetics,13,1.94,Somalia,25.22,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC1035,Cosmetics,13,31.86,Somalia,414.18,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC5372,Cosmetics,18,64.79,Somalia,1166.22,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC8832,Cosmetics,90,35.77,Somalia,3219.3,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC3623,Cosmetics,80,29.11,Somalia,2328.8,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC7071,Cosmetics,69,88.57,Somalia,6111.33,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC3625,Cosmetics,23,87.76,Somalia,2018.48,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC3042,Cosmetics,34,61.89,Somalia,2104.26,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC9665,Cosmetics,23,68.63,Somalia,1578.4899999999998,2010-12,2010-12,1
537655,2010-12-07 16:20:00,15081.0,SC2211,Cosmetics,52,47.38,Somalia,2463.76,2010-12,2010-12,1
537789,2010-12-08 12:49:00,14051.0,SC1087,Cosmetics,73,36.27,Somalia,2647.71,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC8071,Cosmetics,6,89.85,Somalia,539.0999999999999,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC3713,Cosmetics,100,42.38,Somalia,4238.0,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC1019,Cosmetics,74,39.06,Somalia,2890.44,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC2873,Cosmetics,92,1.08,Somalia,99.36,2010-12,2010-12,1
538037,2010-12-09 13:05:00,17430.0,SC2018,Cosmetics,99,2.56,Somalia,253.44,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC2655,Cosmetics,36,60.71,Somalia,2185.56,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC8203,Cosmetics,25,98.13,Somalia,2453.25,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC9628,Cosmetics,17,95.46,Somalia,1622.82,2010-12,2010-12,1
538178,2010-12-10 09:51:00,17696.0,SC8305,Cosmetics,55,21.01,Somalia,1155.5500000000002,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC5667,Cosmetics,6,14.62,Somalia,87.72,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC5463,Cosmetics,15,52.58,Somalia,788.6999999999999,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC9121,Cosmetics,32,8.62,Somalia,275.84,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC6097,Cosmetics,67,32.06,Somalia,2148.02,2010-12,2010-12,1
538473,2010-12-12 12:35:00,13668.0,SC6041,Cosmetics,65,99.05,Somalia,6438.25,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC9354,Cosmetics,16,96.86,Somalia,1549.76,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC7071,Cosmetics,22,26.7,Somalia,587.4,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC9349,Cosmetics,10,81.39,Somalia,813.9,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC9389,Cosmetics,38,78.25,Somalia,2973.5,2010-12,2010-12,1
538511,2010-12-12 13:56:00,13959.0,SC1665,Cosmetics,63,88.14,Somalia,5552.82,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC4207,Cosmetics,85,69.77,Somalia,5930.45,2010-12,2010-12,1
538660,2010-12-13 15:37:00,15808.0,SC5340,Cosmetics,12,93.44,Somalia,1121.28,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC9109,Cosmetics,16,59.05,Somalia,944.8,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC3399,Cosmetics,38,64.81,Somalia,2462.78,2010-12,2010-12,1
538815,2010-12-14 12:30:00,18219.0,SC8422,Cosmetics,33,56.99,Somalia,1880.67,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC2797,Cosmetics,92,6.26,Somalia,575.92,2010-12,2010-12,1
538852,2010-12-14 13:33:00,17372.0,SC9844,Cosmetics,98,18.77,Somalia,1839.46,2010-12,2010-12,1
538945,2010-12-15 11:22:00,17230.0,SC1265,Cosmetics,96,70.1,Somalia,6729.599999999999,2010-12,2010-12,1
538999,2010-12-15 12:09:00,16003.0,SC1429,Cosmetics,6,49.68,Somalia,298.08,2010-12,2010-12,1
539001,2010-12-15 12:29:00,16353.0,SC3750,Cosmetics,100,39.27,Somalia,3927.000000000001,2010-12,2010-12,1
539012,2010-12-15 13:26:00,17858.0,SC4441,Cosmetics,61,79.15,Somalia,4828.150000000001,2010-12,2010-12,1
539015,2010-12-15 13:38:00,15822.0,SC1317,Cosmetics,24,1.18,Somalia,28.32,2010-12,2010-12,1
539018,2010-12-15 14:00:00,16134.0,SC8143,Cosmetics,44,84.04,Somalia,3697.76,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC6624,Cosmetics,69,60.85,Somalia,4198.650000000001,2010-12,2010-12,1
