InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC1259,Electronics,89,38.57,Somalia,3432.73,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC3151,Electronics,82,94.58,Somalia,7755.559999999999,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8402,Electronics,66,85.19,Somalia,5622.54,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC3759,Electronics,87,68.27,Somalia,5939.49,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC9890,Electronics,32,74.53,Somalia,2384.96,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7023,Electronics,91,20.39,Somalia,1855.49,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC9242,Electronics,50,38.7,Somalia,1935.0,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1011,Electronics,56,47.03,Somalia,2633.6800000000003,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4098,Electronics,75,89.92,Somalia,6744.0,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC4846,Electronics,13,36.98,Somalia,480.74,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC2418,Electronics,76,84.99,Somalia,6459.24,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1601,Electronics,86,89.49,Somalia,7696.139999999999,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9882,Electronics,100,33.12,Somalia,3311.9999999999995,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC3899,Electronics,21,58.08,Somalia,1219.68,2010-12,2010-12,1
536748,2010-12-02 13:45:00,15107.0,SC9076,Electronics,86,31.44,Somalia,2703.84,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC3262,Electronics,65,25.88,Somalia,1682.2,2010-12,2010-12,1
536785,2010-12-02 15:22:00,15061.0,SC1012,Electronics,98,12.43,Somalia,1218.14,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6326,Electronics,36,55.77,Somalia,2007.72,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7616,Electronics,59,54.1,Somalia,3191.9,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC5919,Electronics,9,97.55,Somalia,877.9499999999999,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC1475,Electronics,96,35.93,Somalia,3449.28,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC1104,Electronics,27,92.22,Somalia,2489.94,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC7786,Electronics,30,94.63,Somalia,2838.9,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2869,Electronics,83,42.43,Somalia,3521.69,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC9305,Electronics,10,81.65,Somalia,816.5,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC5299,Electronics,28,53.33,Somalia,1493.24,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9381,Electronics,14,34.46,Somalia,482.44,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC2612,Electronics,54,2.1,Somalia,113.4,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC4702,Electronics,24,63.84,Somalia,1532.16,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC6358,Electronics,93,73.04,Somalia,6792.72,2010-12,2010-12,1
537332,2010-12-06 11:58:00,14344.0,SC3617,Electronics,87,21.38,Somalia,1860.06,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC1888,Electronics,2,9.31,Somalia,18.62,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC1707,Electronics,88,82.51,Somalia,7260.88,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC8253,Electronics,45,34.18,Somalia,1538.1,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC6781,Electronics,70,68.28,Somalia,4779.6,2010-12,2010-12,1
537598,2010-12-07 12:37:00,14135.0,SC6599,Electronics,92,94.71,Somalia,8713.32,2010-12,2010-12,1
537617,2010-12-07 13:45:00,16086.0,SC9486,Electronics,20,96.29,Somalia,1925.8,2010-12,2010-12,1
537618,2010-12-07 13:50:00,15061.0,SC4576,Electronics,69,87.56,Somalia,6041.64,2010-12,2010-12,1
537672,2010-12-08 09:30:00,13050.0,SC1917,Electronics,45,43.98,Somalia,1979.1,2010-12,2010-12,1
537672,2010-12-08 09:30:00,13050.0,SC4194,Electronics,47,72.3,Somalia,3398.1,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC5056,Electronics,89,19.71,Somalia,1754.19,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC7736,Electronics,85,34.69,Somalia,2948.65,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC3814,Electronics,59,80.06,Somalia,4723.54,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC8829,Electronics,12,35.21,Somalia,422.52,2010-12,2010-12,1
537830,2010-12-08 14:46:00,13649.0,SC4873,Electronics,47,2.6,Somalia,122.2,2010-12,2010-12,1
537886,2010-12-09 09:49:00,15660.0,SC5375,Electronics,64,24.63,Somalia,1576.32,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC1455,Electronics,34,89.77,Somalia,3052.18,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC5714,Electronics,15,10.99,Somalia,164.85,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC8349,Electronics,67,38.16,Somalia,2556.72,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC9592,Electronics,58,96.28,Somalia,5584.24,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC5444,Electronics,91,58.02,Somalia,5279.820000000001,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC1826,Electronics,73,95.57,Somalia,6976.61,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC5737,Electronics,85,37.33,Somalia,3173.05,2010-12,2010-12,1
538268,2010-12-10 12:45:00,18065.0,SC9817,Electronics,36,29.89,Somalia,1076.04,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC6567,Electronics,73,16.6,Somalia,1211.8000000000002,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC9488,Electronics,33,16.36,Somalia,539.88,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC2018,Electronics,79,57.25,Somalia,4522.75,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC5213,Electronics,3,49.17,Somalia,147.51,2010-12,2010-12,1
538525,2010-12-13 09:39:00,12540.0,SC7464,Electronics,23,68.5,Somalia,1575.5,2010-12,2010-12,1
538527,2010-12-13 09:52:00,15361.0,SC4856,Electronics,70,4.2,Somalia,294.0,2010-12,2010-12,1
538629,2010-12-13 13:10:00,17799.0,SC9011,Electronics,10,42.48,Somalia,424.8,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC5441,Electronics,16,71.31,Somalia,1140.96,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC9281,Electronics,58,80.08,Somalia,4644.64,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC2201,Electronics,70,78.12,Somalia,5468.400000000001,2010-12,2010-12,1
538710,2010-12-14 10:48:00,18075.0,SC2582,Electronics,59,94.44,Somalia,5571.96,2010-12,2010-12,1
538722,2010-12-14 11:12:00,17975.0,SC2797,Electronics,42,80.78,Somalia,3392.76,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC2069,Electronics,65,18.99,Somalia,1234.35,2010-12,2010-12,1
538814,2010-12-14 12:30:00,15983.0,SC9262,Electronics,49,99.58,Somalia,4879.42,2010-12,2010-12,1
538817,2010-12-14 12:38:00,16191.0,SC9486,Electronics,91,54.22,Somalia,4934.02,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC3516,Electronics,70,24.6,Somalia,1722.0,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC4578,Electronics,3,8.08,Somalia,24.24,2010-12,2010-12,1
538901,2010-12-15 09:58:00,17629.0,SC8621,Electronics,85,14.36,Somalia,1220.6,2010-12,2010-12,1
538992,2010-12-15 11:56:00,15950.0,SC1010,Electronics,23,14.59,Somalia,335.57,2010-12,2010-12,1
539016,2010-12-15 13:49:00,13418.0,SC3744,Electronics,60,84.39,Somalia,5063.4,2010-12,2010-12,1
539049,2010-12-15 16:21:00,15615.0,SC8146,Electronics,40,44.5,Somalia,1780.0,2010-12,2010-12,1
539143,2010-12-16 11:35:00,14849.0,SC9038,Electronics,28,54.07,Somalia,1513.96,2010-12,2010-12,1
539259,2010-12-16 14:32:00,13050.0,SC8487,Electronics,24,77.88,Somalia,1869.12,2010-12,2010-12,1
539283,2010-12-16 15:47:00,14092.0,SC3144,Electronics,68,85.84,Somalia,5837.12,2010-12,2010-12,1
539295,2010-12-16 16:54:00,13767.0,SC3730,Electronics,21,39.32,Somalia,825.72,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC7266,Electronics,97,32.04,Somalia,3107.88,2010-12,2010-12,1
539468,2010-12-19 13:31:00,15044.0,SC9357,Electronics,7,25.78,Somalia,180.46,2010-12,2010-12,1
539471,2010-12-19 14:16:00,17358.0,SC5481,Electronics,22,20.41,Somalia,449.02,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC7199,Electronics,21,64.84,Somalia,1361.64,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC1170,Electronics,10,22.45,Somalia,224.5,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC5458,Electronics,40,99.84,Somalia,3993.6,2010-12,2010-12,1
539660,2010-12-21 09:48:00,15581.0,SC6627,Electronics,58,26.25,Somalia,1522.5,2010-12,2010-12,1
539722,2010-12-21 13:45:00,14911.0,SC7947,Electronics,4,80.32,Somalia,321.28,2010-12,2010-12,1
539755,2010-12-21 16:08:00,17961.0,SC7796,Electronics,37,59.45,Somalia,2199.65,2010-12,2010-12,1
539985,2010-12-23 15:16:00,15856.0,SC1718,Electronics,2,88.66,Somalia,177.32,2010-12,2010-12,1
540021,2011-01-04 12:51:00,17841.0,SC7823,Electronics,76,1.1,Somalia,83.60000000000001,2011-01,2011-01,1
540149,2011-01-05 11:00:00,12921.0,SC3213,Electronics,83,54.97,Somalia,4562.51,2011-01,2011-01,1
540157,2011-01-05 11:41:00,15311.0,SC8069,Electronics,62,48.37,Somalia,2998.94,2011-01,2011-01,1
540185,2011-01-05 13:40:00,14653.0,SC9719,Electronics,51,14.64,Somalia,746.64,2011-01,2011-01,1
540187,2011-01-05 13:53:00,15358.0,SC4773,Electronics,75,11.27,Somalia,845.25,2011-01,2011-01,1
540260,2011-01-06 09:40:00,13097.0,SC2947,Electronics,88,10.67,Somalia,938.96,2011-01,2011-01,1
