InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC2582,Furniture,64,40.27,Somalia,2577.28,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6910,Furniture,46,98.45,Somalia,4528.7,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3781,Furniture,9,75.92,Somalia,683.28,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4016,Furniture,98,45.51,Somalia,4459.98,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9924,Furniture,34,22.23,Somalia,755.82,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC1814,Furniture,44,17.46,Somalia,768.24,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC1675,Furniture,69,48.64,Somalia,3356.16,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC6046,Furniture,82,55.66,Somalia,4564.12,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC9209,Furniture,42,36.34,Somalia,1526.2800000000002,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC8153,Furniture,58,39.39,Somalia,2284.62,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC8323,Furniture,55,67.15,Somalia,3693.250000000001,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2336,Furniture,74,7.02,Somalia,519.48,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC6795,Furniture,43,94.29,Somalia,4054.47,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5220,Furniture,39,9.01,Somalia,351.39,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC1085,Furniture,24,23.18,Somalia,556.3199999999999,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC5916,Furniture,17,48.57,Somalia,825.69,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC5769,Furniture,28,3.22,Somalia,90.16,2010-12,2010-12,1
