InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC9456,Jewelry,67,16.62,Somalia,1113.54,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5419,Jewelry,38,63.04,Somalia,2395.52,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5663,Jewelry,88,7.24,Somalia,637.12,2010-12,2010-12,1
536536,2010-12-01 13:45:00,18144.0,SC6967,Jewelry,8,48.55,Somalia,388.4,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1969,Jewelry,10,58.84,Somalia,588.4000000000001,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8283,Jewelry,80,48.13,Somalia,3850.4,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC9800,Jewelry,72,76.16,Somalia,5483.52,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7540,Jewelry,15,89.06,Somalia,1335.9,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC4190,Jewelry,93,8.44,Somalia,784.92,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC7349,Jewelry,97,56.8,Somalia,5509.599999999999,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2316,Jewelry,85,45.09,Somalia,3832.65,2010-12,2010-12,1
536830,2010-12-02 17:38:00,16754.0,SC1710,Jewelry,39,98.94,Somalia,3858.66,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1474,Jewelry,33,36.48,Somalia,1203.84,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9561,Jewelry,69,70.85,Somalia,4888.65,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC8848,Jewelry,50,64.11,Somalia,3205.5,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC3770,Jewelry,22,63.9,Somalia,1405.8,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC5146,Jewelry,83,13.86,Somalia,1150.38,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC8153,Jewelry,81,69.81,Somalia,5654.610000000001,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC2428,Jewelry,79,98.61,Somalia,7790.19,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC8030,Jewelry,49,94.26,Somalia,4618.740000000001,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC5088,Jewelry,12,82.61,Somalia,991.32,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC8211,Jewelry,11,53.75,Somalia,591.25,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC5674,Jewelry,25,66.63,Somalia,1665.75,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7911,Jewelry,24,10.95,Somalia,262.79999999999995,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7809,Jewelry,47,11.6,Somalia,545.1999999999999,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC9370,Jewelry,7,13.28,Somalia,92.96,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC9506,Jewelry,24,4.01,Somalia,96.24,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC2667,Jewelry,17,58.11,Somalia,987.87,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC5640,Jewelry,69,73.68,Somalia,5083.92,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC4724,Jewelry,99,98.1,Somalia,9711.9,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC7873,Jewelry,53,73.69,Somalia,3905.57,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC2734,Jewelry,96,19.27,Somalia,1849.92,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC3155,Jewelry,3,56.48,Somalia,169.44,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC2495,Jewelry,79,67.18,Somalia,5307.22,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC3165,Jewelry,14,51.73,Somalia,724.2199999999999,2010-12,2010-12,1
537767,2010-12-08 12:09:00,15100.0,SC8846,Jewelry,8,24.99,Somalia,199.92,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3098,Jewelry,35,56.05,Somalia,1961.75,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5944,Jewelry,78,34.15,Somalia,2663.7,2010-12,2010-12,1
537789,2010-12-08 12:49:00,14051.0,SC2381,Jewelry,17,69.28,Somalia,1177.76,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC7669,Jewelry,43,92.53,Somalia,3978.79,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC4690,Jewelry,19,77.99,Somalia,1481.81,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC1205,Jewelry,7,71.86,Somalia,503.02,2010-12,2010-12,1
537879,2010-12-09 08:34:00,14243.0,SC6270,Jewelry,72,80.01,Somalia,5760.72,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC5644,Jewelry,76,17.49,Somalia,1329.2399999999998,2010-12,2010-12,1
538067,2010-12-09 13:59:00,15288.0,SC4368,Jewelry,39,50.86,Somalia,1983.54,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC9187,Jewelry,77,99.23,Somalia,7640.71,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC8252,Jewelry,53,87.09,Somalia,4615.77,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC5682,Jewelry,52,84.23,Somalia,4379.96,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC4460,Jewelry,8,97.23,Somalia,777.84,2010-12,2010-12,1
538206,2010-12-10 11:31:00,17827.0,SC9515,Jewelry,11,66.78,Somalia,734.58,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC6955,Jewelry,67,85.57,Somalia,5733.19,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC3806,Jewelry,66,67.42,Somalia,4449.72,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC9764,Jewelry,32,54.2,Somalia,1734.4,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC8827,Jewelry,52,47.45,Somalia,2467.4,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC4043,Jewelry,35,24.71,Somalia,864.85,2010-12,2010-12,1
538470,2010-12-12 12:34:00,15224.0,SC3726,Jewelry,80,8.1,Somalia,648.0,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC5792,Jewelry,100,30.08,Somalia,3008.0,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC5727,Jewelry,27,52.4,Somalia,1414.8,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC7185,Jewelry,1,19.53,Somalia,19.53,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC2060,Jewelry,95,90.2,Somalia,8569.0,2010-12,2010-12,1
