InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC8776,Kitchenware,78,26.6,Somalia,2074.8,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3976,Kitchenware,26,38.35,Somalia,997.1,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2865,Kitchenware,37,50.07,Somalia,1852.59,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4490,Kitchenware,90,12.95,Somalia,1165.5,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4040,Kitchenware,32,27.59,Somalia,882.88,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7560,Kitchenware,83,23.26,Somalia,1930.58,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC6687,Kitchenware,27,91.08,Somalia,2459.16,2010-12,2010-12,1
536577,2010-12-01 16:13:00,13777.0,SC8736,Kitchenware,71,46.93,Somalia,3332.03,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC9478,Kitchenware,12,49.12,Somalia,589.4399999999999,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC3489,Kitchenware,86,47.83,Somalia,4113.38,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC1664,Kitchenware,70,28.55,Somalia,1998.5,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC6846,Kitchenware,46,42.92,Somalia,1974.32,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC3389,Kitchenware,9,85.75,Somalia,771.75,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC3638,Kitchenware,1,24.98,Somalia,24.98,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC3083,Kitchenware,45,5.47,Somalia,246.15,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4965,Kitchenware,78,93.94,Somalia,7327.32,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC6930,Kitchenware,37,76.73,Somalia,2839.01,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC6031,Kitchenware,3,31.72,Somalia,95.16,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC9314,Kitchenware,61,70.94,Somalia,4327.34,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5584,Kitchenware,68,75.44,Somalia,5129.92,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC2514,Kitchenware,89,60.49,Somalia,5383.610000000001,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC3858,Kitchenware,53,63.53,Somalia,3367.09,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC3384,Kitchenware,99,93.77,Somalia,9283.23,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC6442,Kitchenware,16,85.03,Somalia,1360.48,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC8058,Kitchenware,17,57.93,Somalia,984.81,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6437,Kitchenware,41,32.65,Somalia,1338.65,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC5134,Kitchenware,5,88.97,Somalia,444.85,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC9366,Kitchenware,2,27.68,Somalia,55.36,2010-12,2010-12,1
537371,2010-12-06 12:47:00,15028.0,SC8684,Kitchenware,8,63.67,Somalia,509.36,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC2674,Kitchenware,46,39.11,Somalia,1799.06,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC8469,Kitchenware,97,18.72,Somalia,1815.84,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC7587,Kitchenware,96,95.0,Somalia,9120.0,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6751,Kitchenware,92,8.52,Somalia,783.8399999999999,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC5610,Kitchenware,16,87.6,Somalia,1401.6,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC2398,Kitchenware,97,77.97,Somalia,7563.09,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC5865,Kitchenware,57,70.23,Somalia,4003.11,2010-12,2010-12,1
537885,2010-12-09 09:34:00,12942.0,SC2356,Kitchenware,15,23.98,Somalia,359.7,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC6027,Kitchenware,22,11.7,Somalia,257.4,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC9864,Kitchenware,38,90.19,Somalia,3427.22,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC6513,Kitchenware,46,9.46,Somalia,435.16,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC8153,Kitchenware,97,85.63,Somalia,8306.109999999999,2010-12,2010-12,1
538176,2010-12-10 09:48:00,17675.0,SC3302,Kitchenware,69,77.54,Somalia,5350.26,2010-12,2010-12,1
538185,2010-12-10 10:22:00,16265.0,SC1542,Kitchenware,32,3.88,Somalia,124.16,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3377,Kitchenware,94,45.51,Somalia,4277.94,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC5898,Kitchenware,100,23.92,Somalia,2392.0,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC1127,Kitchenware,45,63.78,Somalia,2870.1,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC6448,Kitchenware,11,30.82,Somalia,339.02,2010-12,2010-12,1
538283,2010-12-10 12:56:00,12748.0,SC5273,Kitchenware,28,25.38,Somalia,710.64,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC4668,Kitchenware,24,19.88,Somalia,477.12,2010-12,2010-12,1
538345,2010-12-10 14:45:00,13787.0,SC7310,Kitchenware,65,97.47,Somalia,6335.55,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC5737,Kitchenware,14,91.98,Somalia,1287.72,2010-12,2010-12,1
