InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536390,2010-12-01 10:19:00,17511.0,SC3217,Shoes,69,97.61,Somalia,6735.09,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7966,Shoes,16,50.93,Somalia,814.88,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC5946,Shoes,12,79.56,Somalia,954.72,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8913,Shoes,53,94.43,Somalia,5004.79,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5933,Shoes,31,30.04,Somalia,931.24,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7618,Shoes,75,82.8,Somalia,6210.0,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6213,Shoes,58,45.08,Somalia,2614.64,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9391,Shoes,63,59.47,Somalia,3746.61,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC8508,Shoes,25,99.48,Somalia,2487.0,2010-12,2010-12,1
536797,2010-12-02 15:49:00,16770.0,SC6744,Shoes,70,32.43,Somalia,2270.1,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC1404,Shoes,41,68.99,Somalia,2828.59,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC8197,Shoes,91,90.38,Somalia,8224.58,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC7759,Shoes,40,89.45,Somalia,3578.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5578,Shoes,30,35.78,Somalia,1073.4,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1111,Shoes,82,7.18,Somalia,588.76,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2582,Shoes,50,30.02,Somalia,1501.0,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC6468,Shoes,23,96.95,Somalia,2229.85,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1501,Shoes,87,16.05,Somalia,1396.35,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC3710,Shoes,74,46.69,Somalia,3455.06,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC7092,Shoes,89,16.41,Somalia,1460.49,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC1758,Shoes,46,74.19,Somalia,3412.74,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2881,Shoes,69,4.19,Somalia,289.11,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC5260,Shoes,46,93.47,Somalia,4299.62,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3666,Shoes,78,51.11,Somalia,3986.58,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC1323,Shoes,99,58.92,Somalia,5833.08,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC1672,Shoes,9,61.46,Somalia,553.14,2010-12,2010-12,1
537223,2010-12-05 16:10:00,13579.0,SC9105,Shoes,5,76.52,Somalia,382.6,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC1946,Shoes,89,85.98,Somalia,7652.22,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6267,Shoes,38,34.95,Somalia,1328.1,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC7736,Shoes,6,51.07,Somalia,306.42,2010-12,2010-12,1
537298,2010-12-06 11:37:00,13497.0,SC8234,Shoes,43,23.16,Somalia,995.88,2010-12,2010-12,1
537312,2010-12-06 11:42:00,14189.0,SC4446,Shoes,57,55.58,Somalia,3168.06,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC6844,Shoes,45,33.3,Somalia,1498.4999999999998,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC9524,Shoes,90,10.75,Somalia,967.5,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC4330,Shoes,87,57.25,Somalia,4980.75,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC2135,Shoes,2,32.26,Somalia,64.52,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC6262,Shoes,42,70.94,Somalia,2979.48,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC4522,Shoes,16,52.6,Somalia,841.6,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC1234,Shoes,22,46.66,Somalia,1026.52,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC9753,Shoes,30,14.23,Somalia,426.9,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC9805,Shoes,1,36.2,Somalia,36.2,2010-12,2010-12,1
537676,2010-12-08 09:53:00,12386.0,SC1921,Shoes,31,51.37,Somalia,1592.47,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5185,Shoes,48,86.45,Somalia,4149.6,2010-12,2010-12,1
537804,2010-12-08 13:17:00,12748.0,SC4244,Shoes,4,9.33,Somalia,37.32,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC5326,Shoes,71,70.9,Somalia,5033.900000000001,2010-12,2010-12,1
537862,2010-12-08 16:21:00,12971.0,SC6973,Shoes,8,64.44,Somalia,515.52,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC7781,Shoes,87,45.59,Somalia,3966.33,2010-12,2010-12,1
537915,2010-12-09 10:55:00,12797.0,SC4409,Shoes,55,14.91,Somalia,820.05,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC1984,Shoes,90,71.15,Somalia,6403.500000000001,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC4731,Shoes,56,53.54,Somalia,2998.24,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC8146,Shoes,67,87.29,Somalia,5848.43,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC9015,Shoes,21,8.64,Somalia,181.44,2010-12,2010-12,1
538263,2010-12-10 12:44:00,18065.0,SC6474,Shoes,18,19.6,Somalia,352.8,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC3041,Shoes,90,2.3,Somalia,207.0,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC2530,Shoes,22,76.69,Somalia,1687.1799999999998,2010-12,2010-12,1
538499,2010-12-12 12:46:00,17819.0,SC7847,Shoes,71,28.38,Somalia,2014.98,2010-12,2010-12,1
538504,2010-12-12 13:01:00,16011.0,SC5467,Shoes,16,16.08,Somalia,257.28,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4859,Shoes,91,31.12,Somalia,2831.92,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC7441,Shoes,71,29.86,Somalia,2120.06,2010-12,2010-12,1
538525,2010-12-13 09:39:00,12540.0,SC1185,Shoes,61,72.07,Somalia,4396.27,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC1067,Shoes,84,2.64,Somalia,221.76,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC4313,Shoes,67,42.48,Somalia,2846.16,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC9704,Shoes,58,8.45,Somalia,490.1,2010-12,2010-12,1
538646,2010-12-13 14:55:00,17293.0,SC3671,Shoes,49,76.94,Somalia,3770.06,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC4921,Shoes,30,38.21,Somalia,1146.3,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC1851,Shoes,32,43.03,Somalia,1376.96,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC2708,Shoes,90,61.48,Somalia,5533.2,2010-12,2010-12,1
538657,2010-12-13 15:26:00,15867.0,SC1633,Shoes,99,4.48,Somalia,443.52,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC9587,Shoes,32,84.6,Somalia,2707.2,2010-12,2010-12,1
538689,2010-12-14 09:52:00,13050.0,SC9174,Shoes,94,38.4,Somalia,3609.6,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC5953,Shoes,73,91.67,Somalia,6691.91,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC7355,Shoes,94,48.44,Somalia,4553.36,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC8640,Shoes,72,23.95,Somalia,1724.4,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC3719,Shoes,28,58.36,Somalia,1634.08,2010-12,2010-12,1
538811,2010-12-14 12:22:00,13178.0,SC9703,Shoes,9,87.22,Somalia,784.98,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC3778,Shoes,39,33.27,Somalia,1297.5300000000002,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC6044,Shoes,10,22.73,Somalia,227.3,2010-12,2010-12,1
539042,2010-12-15 15:37:00,15062.0,SC7552,Shoes,44,53.55,Somalia,2356.2,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC6009,Shoes,46,64.94,Somalia,2987.24,2010-12,2010-12,1
539088,2010-12-16 09:45:00,13093.0,SC1405,Shoes,62,23.0,Somalia,1426.0,2010-12,2010-12,1
539111,2010-12-16 11:11:00,14414.0,SC4855,Shoes,11,40.43,Somalia,444.73,2010-12,2010-12,1
539310,2010-12-16 17:51:00,14344.0,SC6664,Shoes,70,49.21,Somalia,3444.7000000000003,2010-12,2010-12,1
539324,2010-12-16 19:51:00,14985.0,SC3215,Shoes,75,6.27,Somalia,470.25,2010-12,2010-12,1
539404,2010-12-17 12:24:00,17315.0,SC4362,Shoes,54,12.46,Somalia,672.84,2010-12,2010-12,1
539411,2010-12-17 13:29:00,14243.0,SC5447,Shoes,68,21.88,Somalia,1487.84,2010-12,2010-12,1
539414,2010-12-17 13:45:00,16931.0,SC4432,Shoes,91,22.91,Somalia,2084.81,2010-12,2010-12,1
539446,2010-12-17 15:58:00,12705.0,SC7458,Shoes,30,28.14,Somalia,844.2,2010-12,2010-12,1
539456,2010-12-17 17:23:00,16885.0,SC7899,Shoes,62,65.54,Somalia,4063.480000000001,2010-12,2010-12,1
