InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536522,2010-12-01 12:49:00,15012.0,SC6118,Toys,96,49.51,Somalia,4752.96,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4352,Toys,59,72.76,Somalia,4292.84,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC3368,Toys,84,29.6,Somalia,2486.4,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC3445,Toys,49,86.34,Somalia,4230.66,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6196,Toys,23,73.89,Somalia,1699.47,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC9108,Toys,73,6.66,Somalia,486.18,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC6291,Toys,87,33.62,Somalia,2924.94,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8721,Toys,22,7.3,Somalia,160.6,2010-12,2010-12,1
536794,2010-12-02 15:40:00,13767.0,SC9112,Toys,47,57.53,Somalia,2703.91,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC3917,Toys,29,26.23,Somalia,760.67,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC1935,Toys,88,69.5,Somalia,6116.0,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC5558,Toys,62,50.09,Somalia,3105.5800000000004,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC3081,Toys,94,17.75,Somalia,1668.5,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC9613,Toys,29,40.07,Somalia,1162.03,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6096,Toys,46,10.48,Somalia,482.08,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7510,Toys,54,97.35,Somalia,5256.9,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2911,Toys,53,60.61,Somalia,3212.33,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5910,Toys,41,55.48,Somalia,2274.68,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4117,Toys,21,60.73,Somalia,1275.33,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC1952,Toys,33,77.66,Somalia,2562.78,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC7391,Toys,93,79.33,Somalia,7377.69,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC7212,Toys,39,7.07,Somalia,275.73,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC9252,Toys,90,44.97,Somalia,4047.3,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC2717,Toys,99,33.13,Somalia,3279.8700000000003,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3029,Toys,93,41.64,Somalia,3872.52,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC7244,Toys,28,58.47,Somalia,1637.16,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC2064,Toys,26,45.94,Somalia,1194.44,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC5722,Toys,14,83.13,Somalia,1163.82,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC5582,Toys,84,93.45,Somalia,7849.8,2010-12,2010-12,1
537359,2010-12-06 12:30:00,14825.0,SC9852,Toys,52,28.94,Somalia,1504.88,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC4367,Toys,63,89.0,Somalia,5607.0,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC2155,Toys,45,90.63,Somalia,4078.35,2010-12,2010-12,1
537371,2010-12-06 12:47:00,15028.0,SC2925,Toys,6,19.72,Somalia,118.32,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC3598,Toys,6,54.45,Somalia,326.70000000000005,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC8562,Toys,49,45.71,Somalia,2239.79,2010-12,2010-12,1
537415,2010-12-06 15:09:00,16654.0,SC9745,Toys,62,55.38,Somalia,3433.56,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC6619,Toys,26,60.34,Somalia,1568.84,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC8749,Toys,55,97.61,Somalia,5368.55,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC3393,Toys,14,45.45,Somalia,636.3000000000001,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC5191,Toys,84,97.95,Somalia,8227.800000000001,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC4399,Toys,90,31.56,Somalia,2840.4,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC9363,Toys,12,74.78,Somalia,897.36,2010-12,2010-12,1
537845,2010-12-08 15:23:00,17690.0,SC8714,Toys,98,8.54,Somalia,836.92,2010-12,2010-12,1
537882,2010-12-09 09:25:00,15079.0,SC5374,Toys,67,52.91,Somalia,3544.97,2010-12,2010-12,1
537890,2010-12-09 10:04:00,15358.0,SC7064,Toys,34,16.66,Somalia,566.44,2010-12,2010-12,1
537890,2010-12-09 10:04:00,15358.0,SC3556,Toys,86,26.82,Somalia,2306.52,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC4031,Toys,13,14.5,Somalia,188.5,2010-12,2010-12,1
538185,2010-12-10 10:22:00,16265.0,SC4916,Toys,33,44.22,Somalia,1459.26,2010-12,2010-12,1
538197,2010-12-10 10:56:00,14419.0,SC1962,Toys,95,7.19,Somalia,683.0500000000001,2010-12,2010-12,1
538216,2010-12-10 11:51:00,14543.0,SC1076,Toys,43,60.57,Somalia,2604.51,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC7200,Toys,13,33.18,Somalia,431.34,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC4484,Toys,6,65.57,Somalia,393.42,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC8410,Toys,42,56.52,Somalia,2373.84,2010-12,2010-12,1
538419,2010-12-12 12:01:00,16367.0,SC3252,Toys,12,76.93,Somalia,923.16,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC9638,Toys,41,96.02,Somalia,3936.82,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC5635,Toys,96,12.9,Somalia,1238.4,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC1170,Toys,15,70.91,Somalia,1063.65,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC7925,Toys,26,31.79,Somalia,826.54,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC6734,Toys,45,36.08,Somalia,1623.6,2010-12,2010-12,1
538512,2010-12-12 14:03:00,16665.0,SC2105,Toys,15,81.39,Somalia,1220.85,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC3891,Toys,100,53.22,Somalia,5322.0,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC9850,Toys,29,10.31,Somalia,298.99,2010-12,2010-12,1
538654,2010-12-13 15:13:00,13089.0,SC6049,Toys,78,45.89,Somalia,3579.42,2010-12,2010-12,1
538683,2010-12-13 17:40:00,14525.0,SC8146,Toys,69,28.32,Somalia,1954.08,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC7899,Toys,44,80.02,Somalia,3520.88,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC4964,Toys,20,71.7,Somalia,1434.0,2010-12,2010-12,1
538800,2010-12-14 11:51:00,16458.0,SC2403,Toys,88,82.85,Somalia,7290.799999999999,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC8655,Toys,93,20.53,Somalia,1909.29,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC9969,Toys,34,42.73,Somalia,1452.82,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC4015,Toys,31,66.61,Somalia,2064.91,2010-12,2010-12,1
538879,2010-12-14 15:50:00,15392.0,SC9403,Toys,64,46.68,Somalia,2987.52,2010-12,2010-12,1
538935,2010-12-15 11:08:00,18168.0,SC7512,Toys,8,83.89,Somalia,671.12,2010-12,2010-12,1
539012,2010-12-15 13:26:00,17858.0,SC2640,Toys,86,18.04,Somalia,1551.4399999999998,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC4838,Toys,51,92.79,Somalia,4732.29,2010-12,2010-12,1
539142,2010-12-16 11:35:00,14849.0,SC3069,Toys,86,79.17,Somalia,6808.62,2010-12,2010-12,1
539196,2010-12-16 12:09:00,18055.0,SC2191,Toys,9,81.51,Somalia,733.59,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC9399,Toys,46,23.81,Somalia,1095.26,2010-12,2010-12,1
539247,2010-12-16 13:33:00,15311.0,SC1296,Toys,62,37.44,Somalia,2321.28,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC7910,Toys,87,99.31,Somalia,8639.97,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC7931,Toys,6,2.4,Somalia,14.4,2010-12,2010-12,1
539586,2010-12-20 13:08:00,14298.0,SC9606,Toys,26,48.82,Somalia,1269.32,2010-12,2010-12,1
539609,2010-12-20 14:15:00,15527.0,SC3019,Toys,9,38.89,Somalia,350.01,2010-12,2010-12,1
539636,2010-12-20 15:15:00,12481.0,SC7570,Toys,29,18.4,Somalia,533.5999999999999,2010-12,2010-12,1
539654,2010-12-20 17:05:00,17340.0,SC2274,Toys,24,25.29,Somalia,606.96,2010-12,2010-12,1
539829,2010-12-22 12:47:00,12734.0,SC6294,Toys,35,13.7,Somalia,479.5,2010-12,2010-12,1
540013,2011-01-04 11:30:00,16255.0,SC4963,Toys,16,9.61,Somalia,153.76,2011-01,2011-01,1
540014,2011-01-04 11:34:00,14606.0,SC6443,Toys,71,2.11,Somalia,149.81,2011-01,2011-01,1
540031,2011-01-04 13:50:00,17975.0,SC8236,Toys,17,95.48,Somalia,1623.16,2011-01,2011-01,1
540033,2011-01-04 14:12:00,13680.0,SC3853,Toys,80,9.23,Somalia,738.4000000000001,2011-01,2011-01,1
540161,2011-01-05 11:52:00,16719.0,SC1523,Toys,48,40.92,Somalia,1964.16,2011-01,2011-01,1
540169,2011-01-05 12:20:00,14527.0,SC7563,Toys,94,27.33,Somalia,2569.02,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC4209,Toys,92,78.99,Somalia,7267.08,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC4940,Toys,68,14.49,Somalia,985.32,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC1834,Toys,57,59.14,Somalia,3370.98,2011-01,2011-01,1
540259,2011-01-06 09:00:00,18226.0,SC7056,Toys,17,98.71,Somalia,1678.07,2011-01,2011-01,1
540267,2011-01-06 11:12:00,12415.0,SC3908,Toys,79,22.1,Somalia,1745.9,2011-01,2011-01,1
540316,2011-01-06 13:00:00,16676.0,SC4637,Toys,35,72.97,Somalia,2553.95,2011-01,2011-01,1
540359,2011-01-06 15:29:00,18041.0,SC1688,Toys,17,61.43,Somalia,1044.31,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC3424,Toys,35,42.23,Somalia,1478.05,2011-01,2010-12,2
540413,2011-01-07 10:29:00,15194.0,SC3159,Toys,29,55.23,Somalia,1601.6699999999998,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6683,Toys,13,48.42,Somalia,629.46,2011-01,2011-01,1
540471,2011-01-07 14:21:00,15601.0,SC6684,Toys,20,48.32,Somalia,966.4,2011-01,2011-01,1
540471,2011-01-07 14:21:00,15601.0,SC7350,Toys,98,26.12,Somalia,2559.76,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC4726,Toys,12,31.39,Somalia,376.68,2011-01,2011-01,1
540477,2011-01-07 14:49:00,13233.0,SC3539,Toys,48,16.55,Somalia,794.4000000000001,2011-01,2011-01,1
540512,2011-01-09 11:39:00,17114.0,SC6143,Toys,90,40.87,Somalia,3678.3,2011-01,2011-01,1
540524,2011-01-09 12:53:00,16735.0,SC8016,Toys,36,86.18,Somalia,3102.4800000000005,2011-01,2011-01,1
540566,2011-01-10 10:58:00,17811.0,SC9468,Toys,58,65.04,Somalia,3772.32,2011-01,2011-01,1
540566,2011-01-10 10:58:00,17811.0,SC8449,Toys,28,13.15,Somalia,368.2,2011-01,2011-01,1
540595,2011-01-10 11:35:00,14321.0,SC1220,Toys,56,31.25,Somalia,1750.0,2011-01,2011-01,1
540803,2011-01-11 12:30:00,14669.0,SC9846,Toys,78,55.49,Somalia,4328.22,2011-01,2011-01,1
540809,2011-01-11 12:37:00,18095.0,SC8834,Toys,50,25.82,Somalia,1291.0,2011-01,2011-01,1
540906,2011-01-12 11:51:00,16701.0,SC9324,Toys,11,3.37,Somalia,37.07,2011-01,2011-01,1
540954,2011-01-12 13:19:00,14606.0,SC5383,Toys,47,95.48,Somalia,4487.56,2011-01,2011-01,1
540968,2011-01-12 13:40:00,17338.0,SC4878,Toys,83,43.3,Somalia,3593.9,2011-01,2011-01,1
540968,2011-01-12 13:40:00,17338.0,SC5551,Toys,7,38.5,Somalia,269.5,2011-01,2011-01,1
540992,2011-01-12 16:57:00,17364.0,SC4979,Toys,78,39.08,Somalia,3048.24,2011-01,2011-01,1
540994,2011-01-13 09:29:00,13089.0,SC7214,Toys,15,24.89,Somalia,373.35,2011-01,2010-12,2
541013,2011-01-13 11:54:00,15694.0,SC7276,Toys,42,34.3,Somalia,1440.6,2011-01,2011-01,1
541115,2011-01-13 15:34:00,12578.0,SC3837,Toys,26,18.06,Somalia,469.56,2011-01,2011-01,1
541205,2011-01-14 12:23:00,18106.0,SC2323,Toys,29,92.64,Somalia,2686.56,2011-01,2011-01,1
541220,2011-01-14 14:11:00,14156.0,SC1405,Toys,43,91.38,Somalia,3929.34,2011-01,2011-01,1
541258,2011-01-16 15:30:00,13634.0,SC8716,Toys,17,99.63,Somalia,1693.71,2011-01,2011-01,1
541266,2011-01-16 16:25:00,15673.0,SC5654,Toys,34,85.7,Somalia,2913.8,2011-01,2011-01,1
541274,2011-01-17 11:24:00,15696.0,SC4019,Toys,42,96.56,Somalia,4055.52,2011-01,2011-01,1
541413,2011-01-17 16:14:00,13859.0,SC5190,Toys,78,48.72,Somalia,3800.16,2011-01,2011-01,1
541523,2011-01-19 10:09:00,17708.0,SC8171,Toys,58,17.3,Somalia,1003.4,2011-01,2011-01,1
541564,2011-01-19 11:38:00,16904.0,SC5206,Toys,39,58.31,Somalia,2274.09,2011-01,2011-01,1
541596,2011-01-19 16:19:00,17602.0,SC6762,Toys,86,96.4,Somalia,8290.4,2011-01,2011-01,1
541655,2011-01-20 12:04:00,14779.0,SC5871,Toys,29,89.06,Somalia,2582.74,2011-01,2011-01,1
541711,2011-01-21 11:18:00,14646.0,SC7371,Toys,14,85.35,Somalia,1194.9,2011-01,2011-01,1
541801,2011-01-21 14:39:00,15235.0,SC4541,Toys,95,70.29,Somalia,6677.55,2011-01,2011-01,1
541848,2011-01-23 13:31:00,17611.0,SC6509,Toys,17,86.79,Somalia,1475.43,2011-01,2011-01,1
541848,2011-01-23 13:31:00,17611.0,SC9357,Toys,80,23.63,Somalia,1890.4,2011-01,2011-01,1
541851,2011-01-23 14:20:00,17841.0,SC2493,Toys,58,72.97,Somalia,4232.26,2011-01,2010-12,2
541854,2011-01-23 14:58:00,18283.0,SC7810,Toys,74,88.45,Somalia,6545.3,2011-01,2011-01,1
541858,2011-01-23 15:34:00,16983.0,SC3984,Toys,15,4.69,Somalia,70.35000000000001,2011-01,2011-01,1
541949,2011-01-24 12:08:00,18136.0,SC2986,Toys,2,95.13,Somalia,190.26,2011-01,2011-01,1
541974,2011-01-24 14:16:00,14541.0,SC7286,Toys,66,10.61,Somalia,700.26,2011-01,2011-01,1
541977,2011-01-24 14:44:00,15078.0,SC2506,Toys,59,46.75,Somalia,2758.25,2011-01,2011-01,1
541985,2011-01-24 15:52:00,15052.0,SC2435,Toys,85,30.78,Somalia,2616.3,2011-01,2011-01,1
542231,2011-01-26 13:40:00,16714.0,SC1489,Toys,41,99.99,Somalia,4099.59,2011-01,2011-01,1
542242,2011-01-26 14:58:00,13754.0,SC7301,Toys,80,10.76,Somalia,860.8,2011-01,2011-01,1
542265,2011-01-26 17:27:00,15867.0,SC9063,Toys,39,96.78,Somalia,3774.42,2011-01,2011-01,1
542268,2011-01-27 08:30:00,15358.0,SC7909,Toys,31,71.53,Somalia,2217.43,2011-01,2010-12,2
542276,2011-01-27 10:19:00,12764.0,SC4512,Toys,5,19.52,Somalia,97.6,2011-01,2011-01,1
542372,2011-01-27 13:37:00,13078.0,SC7852,Toys,85,75.08,Somalia,6381.8,2011-01,2011-01,1
542374,2011-01-27 13:40:00,15696.0,SC6655,Toys,50,75.66,Somalia,3783.0,2011-01,2011-01,1
542384,2011-01-27 14:31:00,15827.0,SC6717,Toys,60,53.39,Somalia,3203.4,2011-01,2011-01,1
542602,2011-01-30 12:09:00,15579.0,SC7347,Toys,46,23.63,Somalia,1086.98,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC7706,Toys,5,63.37,Somalia,316.85,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC3081,Toys,10,83.29,Somalia,832.9000000000001,2011-01,2011-01,1
542626,2011-01-31 09:51:00,12720.0,SC5850,Toys,25,35.18,Somalia,879.5,2011-01,2010-12,2
542678,2011-01-31 12:21:00,14688.0,SC7498,Toys,39,41.59,Somalia,1622.0100000000002,2011-01,2011-01,1
542678,2011-01-31 12:21:00,14688.0,SC5782,Toys,6,63.64,Somalia,381.84,2011-01,2011-01,1
542710,2011-01-31 13:17:00,14776.0,SC1613,Toys,79,88.43,Somalia,6985.97,2011-01,2011-01,1
542727,2011-01-31 15:09:00,17604.0,SC5870,Toys,83,84.25,Somalia,6992.75,2011-01,2011-01,1
542863,2011-02-01 11:58:00,13494.0,SC1957,Toys,39,86.05,Somalia,3355.95,2011-02,2011-02,1
542870,2011-02-01 12:29:00,15203.0,SC4965,Toys,29,41.44,Somalia,1201.76,2011-02,2011-02,1
542928,2011-02-02 10:22:00,17863.0,SC2218,Toys,3,29.94,Somalia,89.82000000000001,2011-02,2011-02,1
543008,2011-02-02 13:07:00,13824.0,SC5645,Toys,16,69.35,Somalia,1109.6,2011-02,2011-02,1
543022,2011-02-02 14:37:00,16771.0,SC9332,Toys,59,22.97,Somalia,1355.23,2011-02,2011-02,1
