InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8768,Books,90,97.34,South Africa,8760.6,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC1261,Books,26,31.28,South Africa,813.28,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9635,Books,44,7.08,South Africa,311.52,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC2287,Books,19,14.31,South Africa,271.89,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC3596,Books,29,21.91,South Africa,635.39,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC9928,Books,62,54.71,South Africa,3392.02,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC6293,Books,49,34.21,South Africa,1676.29,2010-12,2010-12,1
536777,2010-12-02 15:00:00,15732.0,SC5824,Books,67,71.87,South Africa,4815.29,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC7544,Books,73,82.26,South Africa,6004.9800000000005,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9246,Books,51,15.85,South Africa,808.35,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5529,Books,42,84.68,South Africa,3556.5600000000004,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8519,Books,37,42.29,South Africa,1564.73,2010-12,2010-12,1
536858,2010-12-03 10:36:00,13520.0,SC7871,Books,12,17.26,South Africa,207.12,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC7556,Books,89,47.01,South Africa,4183.889999999999,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6690,Books,34,23.76,South Africa,807.84,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC4017,Books,27,42.94,South Africa,1159.38,2010-12,2010-12,1
536990,2010-12-03 15:14:00,12793.0,SC7739,Books,60,31.57,South Africa,1894.2,2010-12,2010-12,1
537052,2010-12-05 11:15:00,16839.0,SC6599,Books,22,94.06,South Africa,2069.32,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC5568,Books,95,1.63,South Africa,154.85,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2523,Books,81,66.17,South Africa,5359.77,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC6834,Books,65,90.59,South Africa,5888.35,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9671,Books,44,91.78,South Africa,4038.32,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC4747,Books,19,15.85,South Africa,301.15,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC8845,Books,17,78.67,South Africa,1337.39,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC1264,Books,30,29.78,South Africa,893.4000000000001,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC3802,Books,35,93.87,South Africa,3285.4500000000003,2010-12,2010-12,1
537214,2010-12-05 15:35:00,16422.0,SC2158,Books,79,36.93,South Africa,2917.47,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC8095,Books,61,10.77,South Africa,656.97,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC9050,Books,63,93.49,South Africa,5889.87,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC5385,Books,5,58.87,South Africa,294.35,2010-12,2010-12,1
537312,2010-12-06 11:42:00,14189.0,SC5506,Books,28,53.39,South Africa,1494.92,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC4331,Books,90,37.44,South Africa,3369.6,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC1882,Books,8,47.7,South Africa,381.6,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC9283,Books,84,29.73,South Africa,2497.32,2010-12,2010-12,1
537407,2010-12-06 14:55:00,15502.0,SC3407,Books,38,21.34,South Africa,810.92,2010-12,2010-12,1
537415,2010-12-06 15:09:00,16654.0,SC6320,Books,76,10.5,South Africa,798.0,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC5241,Books,2,98.56,South Africa,197.12,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC9313,Books,18,88.38,South Africa,1590.84,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC7278,Books,44,23.36,South Africa,1027.84,2010-12,2010-12,1
537476,2010-12-07 11:26:00,15838.0,SC1191,Books,48,94.59,South Africa,4540.32,2010-12,2010-12,1
