InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC5941,Cloths,74,17.23,South Africa,1275.02,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC3528,Cloths,64,47.61,South Africa,3047.04,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC4557,Cloths,83,69.38,South Africa,5758.54,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC2500,Cloths,6,77.75,South Africa,466.5,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC9398,Cloths,84,24.69,South Africa,2073.96,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC5632,Cloths,71,21.73,South Africa,1542.83,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC5152,Cloths,32,95.19,South Africa,3046.08,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC4146,Cloths,9,97.42,South Africa,876.78,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC5578,Cloths,67,24.31,South Africa,1628.77,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC5718,Cloths,54,92.67,South Africa,5004.18,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC8927,Cloths,92,2.94,South Africa,270.48,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC3465,Cloths,88,50.35,South Africa,4430.8,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC6297,Cloths,24,99.85,South Africa,2396.4,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC2669,Cloths,89,63.89,South Africa,5686.21,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC3160,Cloths,63,51.77,South Africa,3261.51,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC7634,Cloths,23,33.36,South Africa,767.28,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC3616,Cloths,64,64.83,South Africa,4149.12,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5062,Cloths,17,88.34,South Africa,1501.78,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC7542,Cloths,95,23.82,South Africa,2262.9,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC4353,Cloths,65,65.3,South Africa,4244.5,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2459,Cloths,38,37.84,South Africa,1437.92,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC1400,Cloths,56,55.16,South Africa,3088.96,2010-12,2010-12,1
537256,2010-12-06 11:06:00,16210.0,SC9649,Cloths,18,75.21,South Africa,1353.78,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC5445,Cloths,54,29.72,South Africa,1604.88,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC4874,Cloths,71,40.95,South Africa,2907.4500000000003,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC2104,Cloths,60,9.42,South Africa,565.2,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC1092,Cloths,87,20.85,South Africa,1813.95,2010-12,2010-12,1
537423,2010-12-06 15:34:00,14215.0,SC5301,Cloths,61,47.97,South Africa,2926.17,2010-12,2010-12,1
537612,2010-12-07 13:28:00,13769.0,SC4930,Cloths,27,40.7,South Africa,1098.9,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC2865,Cloths,1,64.55,South Africa,64.55,2010-12,2010-12,1
537685,2010-12-08 10:21:00,18077.0,SC5653,Cloths,72,81.43,South Africa,5862.960000000001,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC1695,Cloths,63,59.38,South Africa,3740.94,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC3876,Cloths,75,30.83,South Africa,2312.25,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC6696,Cloths,82,85.55,South Africa,7015.099999999999,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6882,Cloths,29,37.61,South Africa,1090.69,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC3720,Cloths,53,65.91,South Africa,3493.23,2010-12,2010-12,1
537806,2010-12-08 13:21:00,13113.0,SC2870,Cloths,33,87.55,South Africa,2889.15,2010-12,2010-12,1
538006,2010-12-09 12:13:00,14987.0,SC4060,Cloths,97,58.53,South Africa,5677.41,2010-12,2010-12,1
538067,2010-12-09 13:59:00,15288.0,SC2460,Cloths,91,92.66,South Africa,8432.06,2010-12,2010-12,1
538113,2010-12-09 15:29:00,15811.0,SC6003,Cloths,88,38.34,South Africa,3373.92,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC8786,Cloths,93,45.69,South Africa,4249.17,2010-12,2010-12,1
538157,2010-12-09 16:57:00,17576.0,SC7358,Cloths,95,96.79,South Africa,9195.05,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC3371,Cloths,45,64.2,South Africa,2889.0,2010-12,2010-12,1
538200,2010-12-10 11:11:00,17912.0,SC5613,Cloths,33,25.43,South Africa,839.1899999999999,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC6425,Cloths,46,55.09,South Africa,2534.1400000000003,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC5306,Cloths,69,71.43,South Africa,4928.67,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC6231,Cloths,32,90.49,South Africa,2895.68,2010-12,2010-12,1
538356,2010-12-10 15:56:00,14062.0,SC1693,Cloths,19,27.66,South Africa,525.54,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC1647,Cloths,4,81.19,South Africa,324.76,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC6325,Cloths,8,38.71,South Africa,309.68,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC1141,Cloths,6,21.97,South Africa,131.82,2010-12,2010-12,1
538417,2010-12-12 11:54:00,16393.0,SC4753,Cloths,30,58.19,South Africa,1745.6999999999998,2010-12,2010-12,1
538504,2010-12-12 13:01:00,16011.0,SC2284,Cloths,3,80.78,South Africa,242.34,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC4339,Cloths,3,87.54,South Africa,262.62,2010-12,2010-12,1
538594,2010-12-13 11:57:00,16927.0,SC5969,Cloths,50,38.87,South Africa,1943.5,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC7194,Cloths,9,87.12,South Africa,784.08,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC5550,Cloths,29,76.95,South Africa,2231.55,2010-12,2010-12,1
538633,2010-12-13 13:28:00,16726.0,SC9994,Cloths,96,13.98,South Africa,1342.08,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC7611,Cloths,55,69.46,South Africa,3820.3,2010-12,2010-12,1
538641,2010-12-13 14:36:00,15640.0,SC2682,Cloths,37,83.79,South Africa,3100.23,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC8718,Cloths,64,10.33,South Africa,661.12,2010-12,2010-12,1
538661,2010-12-13 15:42:00,15194.0,SC6508,Cloths,35,21.25,South Africa,743.75,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC2262,Cloths,4,84.63,South Africa,338.52,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC9407,Cloths,63,55.06,South Africa,3468.78,2010-12,2010-12,1
538832,2010-12-14 13:03:00,17158.0,SC4710,Cloths,50,6.19,South Africa,309.5,2010-12,2010-12,1
538832,2010-12-14 13:03:00,17158.0,SC5081,Cloths,14,40.87,South Africa,572.18,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC4099,Cloths,29,42.09,South Africa,1220.61,2010-12,2010-12,1
538875,2010-12-14 15:18:00,13756.0,SC7966,Cloths,81,78.96,South Africa,6395.759999999999,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC6439,Cloths,33,56.78,South Africa,1873.74,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC7003,Cloths,23,17.15,South Africa,394.45,2010-12,2010-12,1
538942,2010-12-15 11:14:00,17346.0,SC7693,Cloths,29,47.93,South Africa,1389.97,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC6422,Cloths,88,40.67,South Africa,3578.96,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC8912,Cloths,2,72.6,South Africa,145.2,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC8624,Cloths,8,67.98,South Africa,543.84,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC5763,Cloths,2,15.58,South Africa,31.16,2010-12,2010-12,1
539088,2010-12-16 09:45:00,13093.0,SC8473,Cloths,45,39.3,South Africa,1768.4999999999998,2010-12,2010-12,1
539107,2010-12-16 10:52:00,16705.0,SC9972,Cloths,9,88.42,South Africa,795.78,2010-12,2010-12,1
539259,2010-12-16 14:32:00,13050.0,SC7797,Cloths,46,46.97,South Africa,2160.62,2010-12,2010-12,1
539293,2010-12-16 16:42:00,18223.0,SC3575,Cloths,89,37.35,South Africa,3324.15,2010-12,2010-12,1
539315,2010-12-16 18:23:00,18260.0,SC3141,Cloths,85,59.12,South Africa,5025.2,2010-12,2010-12,1
