InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC2124,Cosmetics,2,70.06,South Africa,140.12,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC4930,Cosmetics,32,20.72,South Africa,663.04,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9161,Cosmetics,63,98.85,South Africa,6227.549999999999,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC1440,Cosmetics,78,81.45,South Africa,6353.1,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC3878,Cosmetics,63,4.73,South Africa,297.99,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC4590,Cosmetics,88,12.23,South Africa,1076.24,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1085,Cosmetics,100,49.9,South Africa,4990.0,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC4060,Cosmetics,18,70.78,South Africa,1274.04,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC6390,Cosmetics,49,9.82,South Africa,481.18,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC8350,Cosmetics,11,54.16,South Africa,595.76,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC3183,Cosmetics,61,22.64,South Africa,1381.04,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7775,Cosmetics,68,89.69,South Africa,6098.92,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC5935,Cosmetics,3,45.62,South Africa,136.86,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC9449,Cosmetics,23,98.76,South Africa,2271.48,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3020,Cosmetics,66,69.16,South Africa,4564.56,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC8432,Cosmetics,31,91.75,South Africa,2844.25,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC3059,Cosmetics,99,21.82,South Africa,2160.18,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8716,Cosmetics,84,94.06,South Africa,7901.04,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC4091,Cosmetics,75,24.94,South Africa,1870.5,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5510,Cosmetics,3,22.92,South Africa,68.76,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC4137,Cosmetics,25,22.55,South Africa,563.75,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC6149,Cosmetics,7,46.2,South Africa,323.40000000000003,2010-12,2010-12,1
