InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536390,2010-12-01 10:19:00,17511.0,SC9331,Furniture,11,66.3,South Africa,729.3,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC5919,Furniture,36,51.21,South Africa,1843.56,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3040,Furniture,80,97.59,South Africa,7807.200000000001,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9497,Furniture,32,21.41,South Africa,685.12,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7842,Furniture,33,53.2,South Africa,1755.6,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9714,Furniture,42,73.12,South Africa,3071.04,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5038,Furniture,48,19.69,South Africa,945.12,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8382,Furniture,13,74.61,South Africa,969.93,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC2285,Furniture,90,55.35,South Africa,4981.5,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC9215,Furniture,34,77.85,South Africa,2646.9,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC5953,Furniture,57,87.78,South Africa,5003.46,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2255,Furniture,5,93.79,South Africa,468.9500000000001,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC4931,Furniture,22,93.48,South Africa,2056.56,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC5028,Furniture,90,99.33,South Africa,8939.7,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC1613,Furniture,59,88.23,South Africa,5205.570000000001,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC3816,Furniture,50,78.64,South Africa,3932.0,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC9936,Furniture,72,27.73,South Africa,1996.56,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2467,Furniture,33,74.18,South Africa,2447.94,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8597,Furniture,87,24.36,South Africa,2119.32,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC9129,Furniture,8,31.12,South Africa,248.96,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC6010,Furniture,6,94.66,South Africa,567.96,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC2079,Furniture,9,86.09,South Africa,774.8100000000001,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC6435,Furniture,54,52.32,South Africa,2825.28,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC2745,Furniture,47,67.16,South Africa,3156.52,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC5737,Furniture,67,75.51,South Africa,5059.17,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC3477,Furniture,7,84.59,South Africa,592.13,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC4071,Furniture,4,81.01,South Africa,324.04,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC1000,Furniture,94,4.42,South Africa,415.48,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4566,Furniture,90,5.47,South Africa,492.3,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2795,Furniture,72,17.59,South Africa,1266.48,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC8610,Furniture,75,31.83,South Africa,2387.25,2010-12,2010-12,1
537233,2010-12-06 09:37:00,17428.0,SC3752,Furniture,7,11.45,South Africa,80.14999999999999,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC2890,Furniture,20,41.81,South Africa,836.2,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC2950,Furniture,38,81.49,South Africa,3096.62,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC2737,Furniture,37,35.88,South Africa,1327.5600000000002,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC7497,Furniture,95,37.4,South Africa,3553.0,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC3198,Furniture,7,76.22,South Africa,533.54,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC9819,Furniture,8,23.57,South Africa,188.56,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC7447,Furniture,58,19.07,South Africa,1106.06,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC4871,Furniture,22,43.45,South Africa,955.9,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC1191,Furniture,58,64.41,South Africa,3735.78,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC8201,Furniture,28,99.39,South Africa,2782.92,2010-12,2010-12,1
537635,2010-12-07 15:18:00,16306.0,SC5216,Furniture,5,33.28,South Africa,166.4,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC4611,Furniture,63,8.14,South Africa,512.82,2010-12,2010-12,1
537759,2010-12-08 11:42:00,13126.0,SC7603,Furniture,76,85.4,South Africa,6490.400000000001,2010-12,2010-12,1
537804,2010-12-08 13:17:00,12748.0,SC2934,Furniture,77,81.58,South Africa,6281.66,2010-12,2010-12,1
537817,2010-12-08 13:53:00,18269.0,SC5970,Furniture,17,6.45,South Africa,109.65,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC1779,Furniture,76,53.5,South Africa,4066.0,2010-12,2010-12,1
537831,2010-12-08 14:50:00,17894.0,SC6028,Furniture,13,22.6,South Africa,293.8,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC5655,Furniture,5,14.4,South Africa,72.0,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC7560,Furniture,61,89.96,South Africa,5487.56,2010-12,2010-12,1
537879,2010-12-09 08:34:00,14243.0,SC4552,Furniture,62,83.23,South Africa,5160.26,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC3119,Furniture,7,48.74,South Africa,341.18,2010-12,2010-12,1
538014,2010-12-09 12:49:00,14440.0,SC7792,Furniture,92,63.3,South Africa,5823.599999999999,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC9466,Furniture,47,73.1,South Africa,3435.7,2010-12,2010-12,1
538126,2010-12-09 15:50:00,17838.0,SC1810,Furniture,47,14.48,South Africa,680.5600000000001,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC4646,Furniture,13,75.1,South Africa,976.3,2010-12,2010-12,1
538169,2010-12-09 19:28:00,13230.0,SC8105,Furniture,95,89.17,South Africa,8471.15,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3030,Furniture,89,99.63,South Africa,8867.07,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC1997,Furniture,83,94.28,South Africa,7825.24,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC5485,Furniture,20,35.95,South Africa,719.0,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC3989,Furniture,60,21.74,South Africa,1304.4,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC6361,Furniture,31,30.44,South Africa,943.64,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC1141,Furniture,68,78.65,South Africa,5348.200000000001,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC6210,Furniture,92,76.88,South Africa,7072.959999999999,2010-12,2010-12,1
538529,2010-12-13 10:24:00,14290.0,SC6246,Furniture,53,34.62,South Africa,1834.86,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC5349,Furniture,18,64.1,South Africa,1153.8,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC9467,Furniture,15,41.02,South Africa,615.3000000000001,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC3178,Furniture,72,97.58,South Africa,7025.76,2010-12,2010-12,1
538855,2010-12-14 13:50:00,16503.0,SC5794,Furniture,42,22.44,South Africa,942.48,2010-12,2010-12,1
538909,2010-12-15 10:48:00,13491.0,SC9987,Furniture,58,92.25,South Africa,5350.5,2010-12,2010-12,1
538994,2010-12-15 12:05:00,17525.0,SC5652,Furniture,9,42.28,South Africa,380.52,2010-12,2010-12,1
539007,2010-12-15 13:00:00,17894.0,SC7985,Furniture,48,49.05,South Africa,2354.4,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC8064,Furniture,44,31.51,South Africa,1386.44,2010-12,2010-12,1
539217,2010-12-16 12:46:00,15394.0,SC1908,Furniture,38,77.27,South Africa,2936.26,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC6845,Furniture,89,98.47,South Africa,8763.83,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC9438,Furniture,37,79.85,South Africa,2954.45,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC6877,Furniture,82,63.27,South Africa,5188.14,2010-12,2010-12,1
539466,2010-12-19 12:46:00,12668.0,SC1009,Furniture,2,21.64,South Africa,43.28,2010-12,2010-12,1
539471,2010-12-19 14:16:00,17358.0,SC6044,Furniture,24,77.56,South Africa,1861.44,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC2966,Furniture,58,14.7,South Africa,852.5999999999999,2010-12,2010-12,1
539610,2010-12-20 14:33:00,14606.0,SC8761,Furniture,61,18.96,South Africa,1156.56,2010-12,2010-12,1
539647,2010-12-20 16:08:00,15460.0,SC5657,Furniture,19,56.09,South Africa,1065.71,2010-12,2010-12,1
539760,2010-12-21 17:16:00,17400.0,SC1228,Furniture,23,91.02,South Africa,2093.46,2010-12,2010-12,1
539831,2010-12-22 13:17:00,14606.0,SC1889,Furniture,11,55.7,South Africa,612.7,2010-12,2010-12,1
539836,2010-12-22 13:46:00,17894.0,SC7954,Furniture,54,33.22,South Africa,1793.88,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC2471,Furniture,67,50.84,South Africa,3406.28,2010-12,2010-12,1
540019,2011-01-04 12:18:00,12957.0,SC5500,Furniture,26,97.6,South Africa,2537.6,2011-01,2011-01,1
540099,2011-01-04 16:41:00,15808.0,SC7620,Furniture,68,47.76,South Africa,3247.68,2011-01,2011-01,1
540163,2011-01-05 11:52:00,13089.0,SC2679,Furniture,23,86.6,South Africa,1991.8,2011-01,2011-01,1
540178,2011-01-05 12:42:00,12681.0,SC2030,Furniture,48,22.0,South Africa,1056.0,2011-01,2010-12,2
540188,2011-01-05 13:57:00,16771.0,SC5579,Furniture,3,65.05,South Africa,195.15,2011-01,2011-01,1
540188,2011-01-05 13:57:00,16771.0,SC9793,Furniture,53,76.61,South Africa,4060.33,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC8674,Furniture,63,58.53,South Africa,3687.39,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC6960,Furniture,31,16.51,South Africa,511.81000000000006,2011-01,2011-01,1
540267,2011-01-06 11:12:00,12415.0,SC8774,Furniture,13,54.82,South Africa,712.66,2011-01,2011-01,1
540273,2011-01-06 11:57:00,17368.0,SC8708,Furniture,95,31.64,South Africa,3005.8,2011-01,2011-01,1
540275,2011-01-06 12:11:00,13680.0,SC1496,Furniture,28,11.64,South Africa,325.92,2011-01,2011-01,1
540276,2011-01-06 12:16:00,14680.0,SC7237,Furniture,15,79.21,South Africa,1188.15,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC6168,Furniture,42,1.95,South Africa,81.89999999999999,2011-01,2011-01,1
540349,2011-01-06 14:07:00,15379.0,SC9360,Furniture,1,54.96,South Africa,54.96,2011-01,2011-01,1
540357,2011-01-06 15:14:00,13093.0,SC5097,Furniture,47,71.04,South Africa,3338.88,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC9835,Furniture,82,49.32,South Africa,4044.24,2011-01,2010-12,2
540402,2011-01-07 09:31:00,16567.0,SC4492,Furniture,90,66.78,South Africa,6010.2,2011-01,2011-01,1
540455,2011-01-07 12:07:00,12583.0,SC5560,Furniture,97,1.46,South Africa,141.62,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6264,Furniture,74,59.81,South Africa,4425.9400000000005,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC9127,Furniture,97,72.01,South Africa,6984.97,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC5530,Furniture,19,7.75,South Africa,147.25,2011-01,2011-01,1
540493,2011-01-07 16:34:00,14867.0,SC9693,Furniture,11,22.03,South Africa,242.33,2011-01,2011-01,1
540520,2011-01-09 12:31:00,17555.0,SC4709,Furniture,83,85.85,South Africa,7125.549999999999,2011-01,2011-01,1
