InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536514,2010-12-01 12:40:00,17951.0,SC2652,Jewelry,4,73.14,South Africa,292.56,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4019,Jewelry,67,29.88,South Africa,2001.96,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC2858,Jewelry,44,70.65,South Africa,3108.6000000000004,2010-12,2010-12,1
536585,2010-12-01 16:24:00,17460.0,SC5838,Jewelry,72,12.41,South Africa,893.52,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC8577,Jewelry,38,33.77,South Africa,1283.2600000000002,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC3273,Jewelry,99,82.62,South Africa,8179.38,2010-12,2010-12,1
536626,2010-12-02 10:46:00,13418.0,SC2199,Jewelry,58,65.71,South Africa,3811.18,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC1139,Jewelry,84,10.22,South Africa,858.48,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC1753,Jewelry,70,69.41,South Africa,4858.7,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7839,Jewelry,30,44.09,South Africa,1322.7,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC8618,Jewelry,45,31.06,South Africa,1397.7,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5186,Jewelry,16,11.48,South Africa,183.68,2010-12,2010-12,1
536838,2010-12-02 18:23:00,14865.0,SC1971,Jewelry,5,98.64,South Africa,493.2,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC7631,Jewelry,6,88.67,South Africa,532.02,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC1387,Jewelry,75,69.75,South Africa,5231.25,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC2697,Jewelry,70,18.44,South Africa,1290.8000000000002,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC3711,Jewelry,100,43.01,South Africa,4301.0,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC4822,Jewelry,9,63.97,South Africa,575.73,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC5379,Jewelry,29,18.88,South Africa,547.52,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC9529,Jewelry,73,58.0,South Africa,4234.0,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC8462,Jewelry,25,3.3,South Africa,82.5,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC2710,Jewelry,59,24.64,South Africa,1453.76,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC6769,Jewelry,17,67.26,South Africa,1143.42,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC5191,Jewelry,69,6.31,South Africa,435.39,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2063,Jewelry,4,78.94,South Africa,315.76,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2714,Jewelry,96,8.57,South Africa,822.72,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC8273,Jewelry,96,19.44,South Africa,1866.24,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC7122,Jewelry,56,84.84,South Africa,4751.04,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8462,Jewelry,97,16.8,South Africa,1629.6,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC4458,Jewelry,18,17.61,South Africa,316.98,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC9914,Jewelry,18,24.68,South Africa,444.24,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC8673,Jewelry,64,19.85,South Africa,1270.4,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC7978,Jewelry,31,8.11,South Africa,251.41,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC6410,Jewelry,84,12.89,South Africa,1082.76,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC9052,Jewelry,34,34.86,South Africa,1185.24,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC9497,Jewelry,1,13.49,South Africa,13.49,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC6605,Jewelry,94,52.59,South Africa,4943.46,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC6968,Jewelry,84,35.01,South Africa,2940.84,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC8893,Jewelry,88,69.24,South Africa,6093.12,2010-12,2010-12,1
537896,2010-12-09 10:33:00,18071.0,SC2945,Jewelry,97,70.32,South Africa,6821.039999999999,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC8355,Jewelry,4,75.86,South Africa,303.44,2010-12,2010-12,1
538168,2010-12-09 19:23:00,14702.0,SC3694,Jewelry,86,76.44,South Africa,6573.84,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC5247,Jewelry,75,89.49,South Africa,6711.75,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC7491,Jewelry,23,66.19,South Africa,1522.37,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8704,Jewelry,39,80.06,South Africa,3122.34,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC9334,Jewelry,41,69.3,South Africa,2841.3,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC6043,Jewelry,54,33.7,South Africa,1819.8,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC5038,Jewelry,20,56.33,South Africa,1126.6,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC1417,Jewelry,5,7.55,South Africa,37.75,2010-12,2010-12,1
