InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC9532,Kitchenware,29,50.07,South Africa,1452.03,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6650,Kitchenware,94,27.24,South Africa,2560.56,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6560,Kitchenware,20,11.26,South Africa,225.2,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC6712,Kitchenware,77,23.05,South Africa,1774.85,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC4089,Kitchenware,67,28.99,South Africa,1942.33,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC3765,Kitchenware,92,49.0,South Africa,4508.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2511,Kitchenware,35,2.37,South Africa,82.95,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC8669,Kitchenware,9,77.79,South Africa,700.11,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC6033,Kitchenware,35,62.69,South Africa,2194.15,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5469,Kitchenware,50,67.92,South Africa,3396.0,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC3776,Kitchenware,50,59.22,South Africa,2961.0,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC9776,Kitchenware,14,4.52,South Africa,63.28,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC3809,Kitchenware,82,43.53,South Africa,3569.46,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC2765,Kitchenware,79,28.69,South Africa,2266.51,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3536,Kitchenware,99,17.14,South Africa,1696.86,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC9043,Kitchenware,14,28.96,South Africa,405.44,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC1897,Kitchenware,78,76.71,South Africa,5983.379999999999,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4381,Kitchenware,44,63.94,South Africa,2813.36,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9960,Kitchenware,34,80.26,South Africa,2728.84,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC7827,Kitchenware,27,23.06,South Africa,622.62,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC8969,Kitchenware,6,35.94,South Africa,215.64,2010-12,2010-12,1
