InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC1623,Shoes,71,93.73,South Africa,6654.83,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC4716,Shoes,58,95.0,South Africa,5510.0,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8513,Shoes,84,43.44,South Africa,3648.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9174,Shoes,74,19.67,South Africa,1455.5800000000002,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9932,Shoes,74,97.86,South Africa,7241.64,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3125,Shoes,33,73.43,South Africa,2423.19,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC7208,Shoes,68,36.05,South Africa,2451.4,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC1583,Shoes,90,14.04,South Africa,1263.6,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC8317,Shoes,2,21.45,South Africa,42.9,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC5217,Shoes,98,34.19,South Africa,3350.62,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC1317,Shoes,100,48.57,South Africa,4857.0,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC9105,Shoes,68,5.62,South Africa,382.16,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC6566,Shoes,88,99.29,South Africa,8737.52,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9713,Shoes,26,22.25,South Africa,578.5,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC5615,Shoes,83,9.34,South Africa,775.22,2010-12,2010-12,1
536671,2010-12-02 12:10:00,13305.0,SC6298,Shoes,39,34.86,South Africa,1359.54,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC9677,Shoes,44,5.89,South Africa,259.16,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7763,Shoes,51,81.61,South Africa,4162.11,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8460,Shoes,29,21.82,South Africa,632.78,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC7716,Shoes,26,94.33,South Africa,2452.58,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC7415,Shoes,73,33.52,South Africa,2446.96,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC6878,Shoes,59,64.77,South Africa,3821.43,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC9265,Shoes,51,35.88,South Africa,1829.88,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5292,Shoes,27,28.41,South Africa,767.07,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC3536,Shoes,51,88.66,South Africa,4521.66,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC2350,Shoes,86,12.25,South Africa,1053.5,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC4249,Shoes,2,61.3,South Africa,122.6,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC2134,Shoes,86,4.44,South Africa,381.84,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8141,Shoes,5,29.01,South Africa,145.05,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8801,Shoes,1,45.88,South Africa,45.88,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC4198,Shoes,1,43.01,South Africa,43.01,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC7982,Shoes,17,83.45,South Africa,1418.65,2010-12,2010-12,1
537256,2010-12-06 11:06:00,16210.0,SC1066,Shoes,88,84.16,South Africa,7406.08,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC8428,Shoes,45,1.17,South Africa,52.65,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC8314,Shoes,63,64.99,South Africa,4094.37,2010-12,2010-12,1
537371,2010-12-06 12:47:00,15028.0,SC9158,Shoes,97,36.99,South Africa,3588.03,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC1357,Shoes,39,52.0,South Africa,2028.0,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC6059,Shoes,74,33.29,South Africa,2463.46,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC4598,Shoes,36,85.69,South Africa,3084.84,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC5596,Shoes,25,6.91,South Africa,172.75,2010-12,2010-12,1
537447,2010-12-07 09:21:00,13963.0,SC9081,Shoes,30,59.63,South Africa,1788.9,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC2169,Shoes,10,30.81,South Africa,308.1,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC9249,Shoes,86,55.5,South Africa,4773.0,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC6913,Shoes,60,77.65,South Africa,4659.0,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC4466,Shoes,70,46.9,South Africa,3283.0,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC3419,Shoes,3,24.43,South Africa,73.28999999999999,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC5248,Shoes,21,99.87,South Africa,2097.27,2010-12,2010-12,1
537694,2010-12-08 10:46:00,14901.0,SC2860,Shoes,5,33.4,South Africa,167.0,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC9318,Shoes,91,50.34,South Africa,4580.9400000000005,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1311,Shoes,77,92.19,South Africa,7098.63,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC7103,Shoes,33,58.99,South Africa,1946.67,2010-12,2010-12,1
537866,2010-12-08 16:45:00,17655.0,SC8044,Shoes,14,26.92,South Africa,376.88,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC4768,Shoes,98,39.47,South Africa,3868.06,2010-12,2010-12,1
537887,2010-12-09 10:00:00,18092.0,SC2606,Shoes,21,34.69,South Africa,728.49,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC9825,Shoes,5,61.75,South Africa,308.75,2010-12,2010-12,1
538076,2010-12-09 14:15:00,15311.0,SC3276,Shoes,6,39.14,South Africa,234.84,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC2307,Shoes,77,27.8,South Africa,2140.6,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC8610,Shoes,99,58.92,South Africa,5833.08,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC2953,Shoes,7,71.37,South Africa,499.59,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC9782,Shoes,9,40.39,South Africa,363.51,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC5365,Shoes,67,68.22,South Africa,4570.74,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC7276,Shoes,89,19.01,South Africa,1691.89,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC1087,Shoes,8,79.62,South Africa,636.96,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC8835,Shoes,16,11.1,South Africa,177.6,2010-12,2010-12,1
