InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC3545,Sports Equipment,63,65.89,South Africa,4151.07,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8152,Sports Equipment,58,49.71,South Africa,2883.18,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2335,Sports Equipment,93,18.25,South Africa,1697.25,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC9606,Sports Equipment,78,71.81,South Africa,5601.18,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC1631,Sports Equipment,1,55.61,South Africa,55.61,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC4593,Sports Equipment,62,18.61,South Africa,1153.82,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2028,Sports Equipment,87,13.29,South Africa,1156.23,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC6252,Sports Equipment,83,13.1,South Africa,1087.3,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC7884,Sports Equipment,6,36.03,South Africa,216.18,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC6306,Sports Equipment,38,18.27,South Africa,694.26,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC4326,Sports Equipment,7,28.87,South Africa,202.09,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC5173,Sports Equipment,31,97.78,South Africa,3031.18,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC9562,Sports Equipment,78,16.06,South Africa,1252.6799999999998,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC2494,Sports Equipment,66,35.12,South Africa,2317.92,2010-12,2010-12,1
536834,2010-12-02 17:51:00,14576.0,SC1399,Sports Equipment,98,68.1,South Africa,6673.799999999999,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC3517,Sports Equipment,70,32.62,South Africa,2283.4,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC4339,Sports Equipment,77,66.67,South Africa,5133.59,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC3356,Sports Equipment,17,85.21,South Africa,1448.57,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC7000,Sports Equipment,41,97.29,South Africa,3988.89,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC4454,Sports Equipment,72,38.38,South Africa,2763.36,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC4062,Sports Equipment,43,22.47,South Africa,966.21,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC6335,Sports Equipment,47,7.43,South Africa,349.21,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC8510,Sports Equipment,63,89.46,South Africa,5635.98,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC6064,Sports Equipment,94,15.48,South Africa,1455.12,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC6282,Sports Equipment,2,95.73,South Africa,191.46,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC1744,Sports Equipment,85,88.22,South Africa,7498.7,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC1089,Sports Equipment,38,75.03,South Africa,2851.14,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6668,Sports Equipment,63,70.87,South Africa,4464.81,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC7477,Sports Equipment,44,22.73,South Africa,1000.12,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8028,Sports Equipment,4,11.1,South Africa,44.4,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8379,Sports Equipment,37,44.95,South Africa,1663.15,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC1790,Sports Equipment,64,47.33,South Africa,3029.12,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC4637,Sports Equipment,33,20.09,South Africa,662.97,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC3921,Sports Equipment,60,51.56,South Africa,3093.6000000000004,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC2079,Sports Equipment,72,29.25,South Africa,2106.0,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3085,Sports Equipment,79,66.04,South Africa,5217.160000000001,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC2679,Sports Equipment,68,42.66,South Africa,2900.88,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC7475,Sports Equipment,11,88.63,South Africa,974.93,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC6062,Sports Equipment,86,42.63,South Africa,3666.18,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC8481,Sports Equipment,18,58.6,South Africa,1054.8,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC1586,Sports Equipment,81,24.45,South Africa,1980.45,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC4905,Sports Equipment,21,20.18,South Africa,423.78,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC9108,Sports Equipment,84,63.62,South Africa,5344.08,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC4776,Sports Equipment,41,66.69,South Africa,2734.29,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC2855,Sports Equipment,71,83.5,South Africa,5928.5,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9874,Sports Equipment,68,66.61,South Africa,4529.48,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC1238,Sports Equipment,10,21.92,South Africa,219.2,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC2903,Sports Equipment,2,24.71,South Africa,49.42,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC1353,Sports Equipment,33,34.26,South Africa,1130.58,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC1881,Sports Equipment,99,90.58,South Africa,8967.42,2010-12,2010-12,1
538182,2010-12-10 10:18:00,17827.0,SC1448,Sports Equipment,84,37.57,South Africa,3155.88,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC6281,Sports Equipment,80,2.1,South Africa,168.0,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC6837,Sports Equipment,8,44.17,South Africa,353.36,2010-12,2010-12,1
538280,2010-12-10 12:50:00,12748.0,SC8486,Sports Equipment,5,65.86,South Africa,329.3,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC3456,Sports Equipment,82,28.95,South Africa,2373.9,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC9894,Sports Equipment,98,6.26,South Africa,613.48,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC4210,Sports Equipment,29,97.69,South Africa,2833.01,2010-12,2010-12,1
538419,2010-12-12 12:01:00,16367.0,SC1320,Sports Equipment,52,68.01,South Africa,3536.5200000000004,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC5287,Sports Equipment,65,27.97,South Africa,1818.05,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC2279,Sports Equipment,41,70.23,South Africa,2879.4300000000003,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC9708,Sports Equipment,41,57.19,South Africa,2344.79,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC7712,Sports Equipment,23,21.82,South Africa,501.86,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC5346,Sports Equipment,11,84.85,South Africa,933.35,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC4075,Sports Equipment,9,96.4,South Africa,867.6,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC8063,Sports Equipment,24,14.08,South Africa,337.92,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC7651,Sports Equipment,39,97.79,South Africa,3813.81,2010-12,2010-12,1
538886,2010-12-14 16:07:00,13846.0,SC9325,Sports Equipment,85,44.53,South Africa,3785.05,2010-12,2010-12,1
538894,2010-12-14 17:22:00,16161.0,SC7289,Sports Equipment,88,13.23,South Africa,1164.24,2010-12,2010-12,1
538901,2010-12-15 09:58:00,17629.0,SC1277,Sports Equipment,67,78.82,South Africa,5280.94,2010-12,2010-12,1
538935,2010-12-15 11:08:00,18168.0,SC3073,Sports Equipment,36,96.69,South Africa,3480.84,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC8959,Sports Equipment,60,14.06,South Africa,843.6,2010-12,2010-12,1
539086,2010-12-16 09:35:00,17001.0,SC1117,Sports Equipment,68,10.78,South Africa,733.04,2010-12,2010-12,1
539160,2010-12-16 11:43:00,16746.0,SC9962,Sports Equipment,73,42.7,South Africa,3117.1000000000004,2010-12,2010-12,1
539212,2010-12-16 12:20:00,17146.0,SC8776,Sports Equipment,53,40.6,South Africa,2151.8,2010-12,2010-12,1
539212,2010-12-16 12:20:00,17146.0,SC2420,Sports Equipment,28,53.74,South Africa,1504.72,2010-12,2010-12,1
539374,2010-12-17 11:40:00,14769.0,SC1973,Sports Equipment,53,87.96,South Africa,4661.88,2010-12,2010-12,1
539456,2010-12-17 17:23:00,16885.0,SC3166,Sports Equipment,2,22.85,South Africa,45.7,2010-12,2010-12,1
539474,2010-12-19 14:27:00,15581.0,SC1474,Sports Equipment,54,53.46,South Africa,2886.84,2010-12,2010-12,1
539483,2010-12-19 15:31:00,17218.0,SC7899,Sports Equipment,98,30.37,South Africa,2976.26,2010-12,2010-12,1
539490,2010-12-20 10:00:00,17069.0,SC1008,Sports Equipment,7,37.02,South Africa,259.14000000000004,2010-12,2010-12,1
539579,2010-12-20 12:51:00,16713.0,SC6683,Sports Equipment,86,58.14,South Africa,5000.04,2010-12,2010-12,1
539579,2010-12-20 12:51:00,16713.0,SC6973,Sports Equipment,37,62.18,South Africa,2300.66,2010-12,2010-12,1
539579,2010-12-20 12:51:00,16713.0,SC7105,Sports Equipment,43,62.61,South Africa,2692.23,2010-12,2010-12,1
539588,2010-12-20 13:11:00,14527.0,SC8040,Sports Equipment,48,79.66,South Africa,3823.68,2010-12,2010-12,1
539610,2010-12-20 14:33:00,14606.0,SC8652,Sports Equipment,67,50.11,South Africa,3357.37,2010-12,2010-12,1
539647,2010-12-20 16:08:00,15460.0,SC2970,Sports Equipment,90,64.72,South Africa,5824.8,2010-12,2010-12,1
539660,2010-12-21 09:48:00,15581.0,SC7947,Sports Equipment,90,16.68,South Africa,1501.2,2010-12,2010-12,1
539722,2010-12-21 13:45:00,14911.0,SC3888,Sports Equipment,28,9.77,South Africa,273.56,2010-12,2010-12,1
539760,2010-12-21 17:16:00,17400.0,SC1990,Sports Equipment,77,10.79,South Africa,830.8299999999999,2010-12,2010-12,1
539761,2010-12-22 10:29:00,17593.0,SC4002,Sports Equipment,77,91.14,South Africa,7017.78,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC6249,Sports Equipment,100,91.53,South Africa,9153.0,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC6843,Sports Equipment,82,47.38,South Africa,3885.16,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC1194,Sports Equipment,32,12.73,South Africa,407.36,2010-12,2010-12,1
540014,2011-01-04 11:34:00,14606.0,SC4040,Sports Equipment,35,63.54,South Africa,2223.9,2011-01,2010-12,2
540014,2011-01-04 11:34:00,14606.0,SC2331,Sports Equipment,39,40.24,South Africa,1569.36,2011-01,2010-12,2
540016,2011-01-04 11:42:00,16282.0,SC4053,Sports Equipment,73,38.73,South Africa,2827.29,2011-01,2011-01,1
540019,2011-01-04 12:18:00,12957.0,SC6642,Sports Equipment,27,86.25,South Africa,2328.75,2011-01,2011-01,1
540033,2011-01-04 14:12:00,13680.0,SC2207,Sports Equipment,69,43.0,South Africa,2967.0,2011-01,2011-01,1
540060,2011-01-04 14:40:00,14732.0,SC9035,Sports Equipment,14,26.82,South Africa,375.48,2011-01,2011-01,1
540099,2011-01-04 16:41:00,15808.0,SC2441,Sports Equipment,18,86.95,South Africa,1565.1,2011-01,2011-01,1
540146,2011-01-05 10:51:00,15002.0,SC2530,Sports Equipment,50,72.07,South Africa,3603.5,2011-01,2011-01,1
540184,2011-01-05 13:40:00,15266.0,SC1001,Sports Equipment,63,29.0,South Africa,1827.0,2011-01,2011-01,1
540239,2011-01-05 14:48:00,12682.0,SC3727,Sports Equipment,19,67.59,South Africa,1284.21,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC2226,Sports Equipment,88,45.47,South Africa,4001.36,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC2487,Sports Equipment,25,94.74,South Africa,2368.5,2011-01,2011-01,1
540414,2011-01-07 10:32:00,12481.0,SC7328,Sports Equipment,39,66.16,South Africa,2580.24,2011-01,2011-01,1
540455,2011-01-07 12:07:00,12583.0,SC6993,Sports Equipment,51,62.51,South Africa,3188.01,2011-01,2011-01,1
540456,2011-01-07 12:14:00,13534.0,SC5804,Sports Equipment,97,39.73,South Africa,3853.81,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6211,Sports Equipment,94,45.88,South Africa,4312.72,2011-01,2011-01,1
540471,2011-01-07 14:21:00,15601.0,SC8924,Sports Equipment,35,98.02,South Africa,3430.7,2011-01,2011-01,1
540477,2011-01-07 14:49:00,13233.0,SC4730,Sports Equipment,65,72.58,South Africa,4717.7,2011-01,2011-01,1
540493,2011-01-07 16:34:00,14867.0,SC6476,Sports Equipment,17,60.87,South Africa,1034.79,2011-01,2011-01,1
540531,2011-01-09 14:03:00,16549.0,SC1477,Sports Equipment,57,78.27,South Africa,4461.389999999999,2011-01,2011-01,1
540540,2011-01-09 15:10:00,17218.0,SC3046,Sports Equipment,67,42.15,South Africa,2824.05,2011-01,2010-12,2
540568,2011-01-10 11:22:00,15039.0,SC9623,Sports Equipment,76,21.72,South Africa,1650.7199999999998,2011-01,2011-01,1
540640,2011-01-10 12:36:00,14527.0,SC4615,Sports Equipment,2,87.47,South Africa,174.94,2011-01,2010-12,2
540644,2011-01-10 14:16:00,16303.0,SC3491,Sports Equipment,100,38.46,South Africa,3846.0,2011-01,2011-01,1
540691,2011-01-11 08:50:00,17450.0,SC9349,Sports Equipment,47,18.53,South Africa,870.9100000000001,2011-01,2011-01,1
540692,2011-01-11 09:12:00,14320.0,SC6138,Sports Equipment,29,1.7,South Africa,49.3,2011-01,2011-01,1
540802,2011-01-11 12:29:00,15189.0,SC5248,Sports Equipment,78,61.2,South Africa,4773.6,2011-01,2011-01,1
540839,2011-01-11 15:42:00,16791.0,SC9323,Sports Equipment,43,82.56,South Africa,3550.08,2011-01,2011-01,1
540839,2011-01-11 15:42:00,16791.0,SC4556,Sports Equipment,67,43.97,South Africa,2945.99,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC1503,Sports Equipment,73,67.51,South Africa,4928.2300000000005,2011-01,2011-01,1
540992,2011-01-12 16:57:00,17364.0,SC5607,Sports Equipment,74,11.21,South Africa,829.5400000000001,2011-01,2011-01,1
541138,2011-01-14 10:42:00,12553.0,SC5079,Sports Equipment,34,10.48,South Africa,356.32,2011-01,2011-01,1
541213,2011-01-14 13:28:00,15033.0,SC9680,Sports Equipment,49,78.19,South Africa,3831.31,2011-01,2011-01,1
541223,2011-01-14 14:39:00,17954.0,SC5246,Sports Equipment,28,13.21,South Africa,369.88,2011-01,2011-01,1
541239,2011-01-16 10:56:00,16401.0,SC2402,Sports Equipment,83,22.88,South Africa,1899.04,2011-01,2011-01,1
541240,2011-01-16 11:07:00,16206.0,SC1353,Sports Equipment,60,68.18,South Africa,4090.8,2011-01,2011-01,1
541265,2011-01-16 16:23:00,17609.0,SC8063,Sports Equipment,64,25.31,South Africa,1619.84,2011-01,2011-01,1
541265,2011-01-16 16:23:00,17609.0,SC9990,Sports Equipment,22,31.06,South Africa,683.3199999999999,2011-01,2011-01,1
541267,2011-01-17 10:37:00,12779.0,SC5767,Sports Equipment,70,67.63,South Africa,4734.099999999999,2011-01,2011-01,1
541279,2011-01-17 11:55:00,18223.0,SC1575,Sports Equipment,74,52.19,South Africa,3862.06,2011-01,2011-01,1
541405,2011-01-17 15:17:00,12683.0,SC5625,Sports Equipment,71,15.72,South Africa,1116.12,2011-01,2011-01,1
541489,2011-01-18 13:38:00,15023.0,SC7759,Sports Equipment,86,26.82,South Africa,2306.52,2011-01,2011-01,1
541565,2011-01-19 11:48:00,14527.0,SC1320,Sports Equipment,12,49.96,South Africa,599.52,2011-01,2010-12,2
541594,2011-01-19 15:30:00,14916.0,SC8603,Sports Equipment,43,18.22,South Africa,783.4599999999999,2011-01,2011-01,1
541631,2011-01-20 10:47:00,12637.0,SC9595,Sports Equipment,37,35.47,South Africa,1312.39,2011-01,2011-01,1
541648,2011-01-20 11:15:00,17811.0,SC1746,Sports Equipment,91,5.96,South Africa,542.36,2011-01,2011-01,1
541648,2011-01-20 11:15:00,17811.0,SC7511,Sports Equipment,27,32.63,South Africa,881.0100000000001,2011-01,2011-01,1
541660,2011-01-20 12:20:00,17787.0,SC8473,Sports Equipment,3,8.04,South Africa,24.12,2011-01,2011-01,1
541678,2011-01-20 14:13:00,17771.0,SC1040,Sports Equipment,53,81.18,South Africa,4302.54,2011-01,2011-01,1
541680,2011-01-20 14:18:00,14062.0,SC6330,Sports Equipment,78,43.05,South Africa,3357.9,2011-01,2011-01,1
541732,2011-01-21 11:34:00,16387.0,SC9075,Sports Equipment,77,67.48,South Africa,5195.96,2011-01,2011-01,1
541793,2011-01-21 13:13:00,13969.0,SC3988,Sports Equipment,44,98.85,South Africa,4349.4,2011-01,2011-01,1
541838,2011-01-23 10:43:00,12916.0,SC1889,Sports Equipment,75,45.31,South Africa,3398.25,2011-01,2011-01,1
541855,2011-01-23 14:59:00,13742.0,SC4233,Sports Equipment,54,91.71,South Africa,4952.339999999999,2011-01,2011-01,1
541865,2011-01-24 08:20:00,13068.0,SC8929,Sports Equipment,40,41.05,South Africa,1642.0,2011-01,2011-01,1
541866,2011-01-24 09:25:00,16477.0,SC6667,Sports Equipment,40,84.86,South Africa,3394.4,2011-01,2011-01,1
541919,2011-01-24 11:35:00,14334.0,SC4089,Sports Equipment,4,75.1,South Africa,300.4,2011-01,2011-01,1
542058,2011-01-25 11:59:00,15601.0,SC8265,Sports Equipment,48,67.96,South Africa,3262.08,2011-01,2011-01,1
542102,2011-01-25 13:26:00,12744.0,SC8845,Sports Equipment,64,91.36,South Africa,5847.04,2011-01,2011-01,1
542107,2011-01-25 13:38:00,16222.0,SC5641,Sports Equipment,1,91.06,South Africa,91.06,2011-01,2011-01,1
542231,2011-01-26 13:40:00,16714.0,SC7830,Sports Equipment,90,44.82,South Africa,4033.8,2011-01,2011-01,1
542237,2011-01-26 14:30:00,12347.0,SC7985,Sports Equipment,1,19.26,South Africa,19.26,2011-01,2011-01,1
542265,2011-01-26 17:27:00,15867.0,SC2543,Sports Equipment,39,31.02,South Africa,1209.78,2011-01,2011-01,1
542265,2011-01-26 17:27:00,15867.0,SC7963,Sports Equipment,50,97.4,South Africa,4870.0,2011-01,2011-01,1
542354,2011-01-27 12:19:00,14709.0,SC6658,Sports Equipment,70,97.75,South Africa,6842.5,2011-01,2011-01,1
542384,2011-01-27 14:31:00,15827.0,SC3089,Sports Equipment,83,99.78,South Africa,8281.74,2011-01,2011-01,1
542399,2011-01-27 15:38:00,15549.0,SC4510,Sports Equipment,24,19.5,South Africa,468.0,2011-01,2011-01,1
