InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC6228,Toys,15,24.73,South Africa,370.95,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC7111,Toys,6,43.1,South Africa,258.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC8284,Toys,80,10.87,South Africa,869.5999999999999,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4977,Toys,53,44.67,South Africa,2367.51,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC1996,Toys,16,25.32,South Africa,405.12,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC5202,Toys,88,57.75,South Africa,5082.0,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC6996,Toys,41,45.48,South Africa,1864.68,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC5874,Toys,98,13.52,South Africa,1324.96,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC2093,Toys,72,5.35,South Africa,385.2,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC8134,Toys,29,76.91,South Africa,2230.39,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC5066,Toys,85,5.76,South Africa,489.6,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC3702,Toys,71,21.42,South Africa,1520.8200000000002,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC1100,Toys,99,2.2,South Africa,217.8,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC4101,Toys,68,41.16,South Africa,2798.88,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8286,Toys,94,65.83,South Africa,6188.02,2010-12,2010-12,1
536838,2010-12-02 18:23:00,14865.0,SC2552,Toys,79,7.04,South Africa,556.16,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC4716,Toys,71,96.83,South Africa,6874.93,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9577,Toys,11,67.87,South Africa,746.57,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC2701,Toys,62,47.76,South Africa,2961.12,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC2280,Toys,59,14.72,South Africa,868.48,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6006,Toys,7,42.08,South Africa,294.56,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC8408,Toys,54,40.88,South Africa,2207.52,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC6784,Toys,18,57.55,South Africa,1035.9,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC7759,Toys,53,61.04,South Africa,3235.12,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC4026,Toys,42,61.57,South Africa,2585.94,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC6887,Toys,42,61.72,South Africa,2592.24,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC6462,Toys,41,58.85,South Africa,2412.85,2010-12,2010-12,1
537298,2010-12-06 11:37:00,13497.0,SC3775,Toys,53,29.37,South Africa,1556.61,2010-12,2010-12,1
