InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC9849,Cloths,15,71.16,Sudan,1067.4,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1843,Cloths,58,10.61,Sudan,615.38,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC1100,Cloths,66,59.19,Sudan,3906.54,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC2267,Cloths,31,84.48,Sudan,2618.88,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4346,Cloths,45,39.85,Sudan,1793.25,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5841,Cloths,82,10.93,Sudan,896.26,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC3985,Cloths,96,3.09,Sudan,296.64,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC2315,Cloths,25,84.72,Sudan,2118.0,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC4841,Cloths,58,89.97,Sudan,5218.26,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC9598,Cloths,33,1.24,Sudan,40.92,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC7586,Cloths,51,82.48,Sudan,4206.4800000000005,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5130,Cloths,6,44.14,Sudan,264.84000000000003,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC9382,Cloths,83,92.84,Sudan,7705.72,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1578,Cloths,50,31.46,Sudan,1573.0,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC3876,Cloths,99,74.58,Sudan,7383.42,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC6229,Cloths,45,67.53,Sudan,3038.85,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7221,Cloths,37,35.66,Sudan,1319.4199999999998,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC3353,Cloths,76,21.94,Sudan,1667.44,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC3209,Cloths,99,70.21,Sudan,6950.789999999999,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC4478,Cloths,75,73.3,Sudan,5497.5,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC8142,Cloths,79,91.29,Sudan,7211.910000000001,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7830,Cloths,28,21.06,Sudan,589.68,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2334,Cloths,92,7.97,Sudan,733.24,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC3083,Cloths,11,86.64,Sudan,953.04,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC8655,Cloths,10,34.78,Sudan,347.8,2010-12,2010-12,1
