InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC7701,Cosmetics,7,88.98,Sudan,622.86,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC4294,Cosmetics,60,73.13,Sudan,4387.799999999999,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5667,Cosmetics,95,36.0,Sudan,3420.0,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9580,Cosmetics,93,79.28,Sudan,7373.04,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC8918,Cosmetics,51,40.58,Sudan,2069.58,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3672,Cosmetics,14,11.59,Sudan,162.26,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC3009,Cosmetics,24,7.06,Sudan,169.44,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5895,Cosmetics,34,2.49,Sudan,84.66000000000001,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC9336,Cosmetics,55,10.16,Sudan,558.8,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC1191,Cosmetics,42,91.3,Sudan,3834.6,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC4477,Cosmetics,76,84.02,Sudan,6385.52,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2042,Cosmetics,68,66.96,Sudan,4553.28,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC8473,Cosmetics,3,50.33,Sudan,150.99,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC7167,Cosmetics,49,63.33,Sudan,3103.17,2010-12,2010-12,1
536795,2010-12-02 15:40:00,15640.0,SC9493,Cosmetics,29,89.5,Sudan,2595.5,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7362,Cosmetics,27,88.1,Sudan,2378.7,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC3158,Cosmetics,14,89.02,Sudan,1246.28,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC2303,Cosmetics,65,14.58,Sudan,947.7,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC9887,Cosmetics,20,35.23,Sudan,704.5999999999999,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC1421,Cosmetics,30,95.7,Sudan,2871.0,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7719,Cosmetics,11,12.82,Sudan,141.02,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9407,Cosmetics,7,87.81,Sudan,614.6700000000001,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC1840,Cosmetics,48,6.35,Sudan,304.79999999999995,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9159,Cosmetics,78,51.25,Sudan,3997.5,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC7838,Cosmetics,23,79.56,Sudan,1829.88,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC1838,Cosmetics,57,76.14,Sudan,4339.9800000000005,2010-12,2010-12,1
537198,2010-12-05 14:03:00,12647.0,SC5266,Cosmetics,34,24.65,Sudan,838.0999999999999,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC4411,Cosmetics,72,55.86,Sudan,4021.92,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC1233,Cosmetics,40,6.65,Sudan,266.0,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC2657,Cosmetics,42,91.57,Sudan,3845.94,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC9305,Cosmetics,22,69.15,Sudan,1521.3000000000002,2010-12,2010-12,1
