InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536466,2010-12-01 12:23:00,14849.0,SC6842,Electronics,89,45.08,Sudan,4012.12,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1502,Electronics,94,48.42,Sudan,4551.4800000000005,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1208,Electronics,17,6.53,Sudan,111.01,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC7203,Electronics,17,33.47,Sudan,568.99,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC6952,Electronics,38,62.77,Sudan,2385.26,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC3845,Electronics,74,41.25,Sudan,3052.5,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC3245,Electronics,33,75.47,Sudan,2490.51,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5158,Electronics,11,57.37,Sudan,631.0699999999999,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1908,Electronics,71,73.01,Sudan,5183.71,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1477,Electronics,10,72.67,Sudan,726.7,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5295,Electronics,11,17.34,Sudan,190.74,2010-12,2010-12,1
537031,2010-12-03 16:45:00,16455.0,SC8640,Electronics,67,57.84,Sudan,3875.28,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC2733,Electronics,24,55.98,Sudan,1343.52,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC3375,Electronics,95,7.0,Sudan,665.0,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC2424,Electronics,89,75.21,Sudan,6693.69,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC4497,Electronics,89,61.92,Sudan,5510.88,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8824,Electronics,13,98.8,Sudan,1284.4,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC6440,Electronics,76,90.82,Sudan,6902.32,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6689,Electronics,52,16.15,Sudan,839.8,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7999,Electronics,67,39.68,Sudan,2658.56,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4569,Electronics,57,64.6,Sudan,3682.2,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC7185,Electronics,65,28.27,Sudan,1837.55,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC5694,Electronics,26,59.96,Sudan,1558.96,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC9714,Electronics,28,45.4,Sudan,1271.2,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC4931,Electronics,81,25.08,Sudan,2031.48,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC7730,Electronics,33,80.14,Sudan,2644.62,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC2337,Electronics,58,47.21,Sudan,2738.18,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC3648,Electronics,20,8.68,Sudan,173.6,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC5802,Electronics,93,1.4,Sudan,130.2,2010-12,2010-12,1
537625,2010-12-07 14:57:00,15180.0,SC6872,Electronics,96,74.52,Sudan,7153.92,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC6208,Electronics,42,95.41,Sudan,4007.22,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3329,Electronics,91,80.28,Sudan,7305.48,2010-12,2010-12,1
537707,2010-12-08 10:53:00,14032.0,SC4514,Electronics,53,6.21,Sudan,329.13,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC2341,Electronics,22,45.06,Sudan,991.32,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC7364,Electronics,9,61.77,Sudan,555.9300000000001,2010-12,2010-12,1
