InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC3194,Furniture,96,69.69,Sudan,6690.24,2010-12,2010-12,1
536466,2010-12-01 12:23:00,14849.0,SC5918,Furniture,23,88.25,Sudan,2029.75,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC5295,Furniture,46,64.2,Sudan,2953.2000000000003,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8899,Furniture,7,1.55,Sudan,10.85,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3199,Furniture,33,47.24,Sudan,1558.92,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9954,Furniture,38,85.89,Sudan,3263.82,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC6618,Furniture,27,36.92,Sudan,996.84,2010-12,2010-12,1
536536,2010-12-01 13:45:00,18144.0,SC3236,Furniture,4,32.36,Sudan,129.44,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC1650,Furniture,36,80.75,Sudan,2907.0,2010-12,2010-12,1
536610,2010-12-02 09:42:00,17850.0,SC6560,Furniture,8,54.3,Sudan,434.4,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7078,Furniture,93,61.31,Sudan,5701.83,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6530,Furniture,2,50.95,Sudan,101.9,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC1383,Furniture,90,78.23,Sudan,7040.700000000001,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7324,Furniture,29,32.9,Sudan,954.1,2010-12,2010-12,1
536835,2010-12-02 18:06:00,13145.0,SC6690,Furniture,89,48.79,Sudan,4342.31,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC5800,Furniture,48,8.32,Sudan,399.36,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9143,Furniture,24,13.72,Sudan,329.28000000000003,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC5309,Furniture,92,38.79,Sudan,3568.68,2010-12,2010-12,1
