InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC9927,Jewelry,50,79.05,Sudan,3952.5,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2616,Jewelry,66,97.49,Sudan,6434.339999999999,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC6788,Jewelry,67,67.24,Sudan,4505.08,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6992,Jewelry,47,47.09,Sudan,2213.23,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC2475,Jewelry,88,94.63,Sudan,8327.439999999999,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC1698,Jewelry,37,81.84,Sudan,3028.08,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC9110,Jewelry,88,7.64,Sudan,672.3199999999999,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC9921,Jewelry,71,24.18,Sudan,1716.78,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC9503,Jewelry,10,10.18,Sudan,101.8,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC8780,Jewelry,29,84.33,Sudan,2445.57,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC3244,Jewelry,8,65.69,Sudan,525.52,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC8742,Jewelry,58,81.45,Sudan,4724.1,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3718,Jewelry,49,10.6,Sudan,519.4,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC4234,Jewelry,89,98.64,Sudan,8778.960000000001,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC9078,Jewelry,26,27.38,Sudan,711.88,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6000,Jewelry,77,3.92,Sudan,301.84,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC1608,Jewelry,87,12.51,Sudan,1088.37,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC9472,Jewelry,56,70.49,Sudan,3947.44,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC6381,Jewelry,86,7.78,Sudan,669.08,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC1155,Jewelry,19,44.33,Sudan,842.27,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC5288,Jewelry,29,50.0,Sudan,1450.0,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC5018,Jewelry,72,55.84,Sudan,4020.480000000001,2010-12,2010-12,1
537040,2010-12-05 10:27:00,13089.0,SC5628,Jewelry,93,60.71,Sudan,5646.03,2010-12,2010-12,1
537048,2010-12-05 11:03:00,13069.0,SC3671,Jewelry,15,6.16,Sudan,92.4,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3922,Jewelry,60,99.9,Sudan,5994.0,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC4812,Jewelry,67,24.69,Sudan,1654.23,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC7673,Jewelry,1,83.34,Sudan,83.34,2010-12,2010-12,1
