InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536394,2010-12-01 10:39:00,13408.0,SC6421,Kitchenware,50,34.88,Sudan,1744.0000000000002,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6549,Kitchenware,56,29.73,Sudan,1664.88,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3079,Kitchenware,33,72.64,Sudan,2397.12,2010-12,2010-12,1
536593,2010-12-01 17:15:00,16835.0,SC6480,Kitchenware,14,46.18,Sudan,646.52,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC5812,Kitchenware,29,38.13,Sudan,1105.77,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC7502,Kitchenware,60,34.25,Sudan,2055.0,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC6472,Kitchenware,63,36.63,Sudan,2307.69,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC1698,Kitchenware,41,41.29,Sudan,1692.89,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC9038,Kitchenware,16,10.44,Sudan,167.04,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC2522,Kitchenware,63,68.44,Sudan,4311.72,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC2280,Kitchenware,83,35.58,Sudan,2953.14,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8276,Kitchenware,51,9.85,Sudan,502.35,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC4318,Kitchenware,24,98.04,Sudan,2352.96,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC4854,Kitchenware,31,75.07,Sudan,2327.17,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC1994,Kitchenware,64,65.73,Sudan,4206.72,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC9915,Kitchenware,46,10.91,Sudan,501.86,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC8050,Kitchenware,21,64.23,Sudan,1348.8300000000002,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC3485,Kitchenware,27,64.83,Sudan,1750.41,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC8493,Kitchenware,10,70.91,Sudan,709.0999999999999,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC8503,Kitchenware,68,33.2,Sudan,2257.6000000000004,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC7897,Kitchenware,55,37.55,Sudan,2065.25,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9532,Kitchenware,72,99.13,Sudan,7137.36,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC6045,Kitchenware,40,47.78,Sudan,1911.2,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC6105,Kitchenware,27,74.34,Sudan,2007.18,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7037,Kitchenware,82,24.16,Sudan,1981.12,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7498,Kitchenware,23,74.54,Sudan,1714.42,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC3262,Kitchenware,100,34.18,Sudan,3418.0,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2015,Kitchenware,98,21.05,Sudan,2062.9,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC3274,Kitchenware,11,99.67,Sudan,1096.37,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC6383,Kitchenware,16,56.19,Sudan,899.04,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC3329,Kitchenware,34,25.13,Sudan,854.42,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC4590,Kitchenware,26,77.13,Sudan,2005.38,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC2900,Kitchenware,2,98.44,Sudan,196.88,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC8270,Kitchenware,35,67.9,Sudan,2376.5,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC4835,Kitchenware,91,65.62,Sudan,5971.42,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC6469,Kitchenware,15,8.79,Sudan,131.85,2010-12,2010-12,1
537674,2010-12-08 09:51:00,15628.0,SC8818,Kitchenware,33,10.01,Sudan,330.33,2010-12,2010-12,1
537685,2010-12-08 10:21:00,18077.0,SC4539,Kitchenware,62,54.56,Sudan,3382.7200000000003,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC3227,Kitchenware,27,34.07,Sudan,919.89,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC5945,Kitchenware,77,15.38,Sudan,1184.26,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC3652,Kitchenware,34,8.64,Sudan,293.76,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3767,Kitchenware,87,90.13,Sudan,7841.309999999999,2010-12,2010-12,1
537806,2010-12-08 13:21:00,13113.0,SC6949,Kitchenware,28,50.62,Sudan,1417.36,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC7725,Kitchenware,77,7.2,Sudan,554.4,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC2796,Kitchenware,16,86.69,Sudan,1387.04,2010-12,2010-12,1
537887,2010-12-09 10:00:00,18092.0,SC9589,Kitchenware,2,60.05,Sudan,120.1,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC6620,Kitchenware,32,19.25,Sudan,616.0,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC7491,Kitchenware,68,92.87,Sudan,6315.16,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC4786,Kitchenware,80,14.31,Sudan,1144.8,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC8644,Kitchenware,59,52.29,Sudan,3085.11,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC3507,Kitchenware,75,1.37,Sudan,102.75,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC9448,Kitchenware,74,76.98,Sudan,5696.52,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC1003,Kitchenware,48,87.75,Sudan,4212.0,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC2544,Kitchenware,25,67.46,Sudan,1686.4999999999998,2010-12,2010-12,1
538087,2010-12-09 14:44:00,17339.0,SC1185,Kitchenware,86,32.93,Sudan,2831.98,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC5568,Kitchenware,44,1.6,Sudan,70.4,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC7523,Kitchenware,24,12.5,Sudan,300.0,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC1809,Kitchenware,3,13.94,Sudan,41.82,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC8380,Kitchenware,27,84.15,Sudan,2272.05,2010-12,2010-12,1
