InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC9395,Shoes,66,82.55,Sudan,5448.3,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC4369,Shoes,30,18.56,Sudan,556.8,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8210,Shoes,13,57.76,Sudan,750.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2283,Shoes,35,55.64,Sudan,1947.4,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6477,Shoes,73,18.67,Sudan,1362.91,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8675,Shoes,93,59.81,Sudan,5562.33,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC4251,Shoes,69,98.66,Sudan,6807.54,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC9024,Shoes,58,65.63,Sudan,3806.54,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3536,Shoes,97,84.39,Sudan,8185.83,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC7860,Shoes,28,42.01,Sudan,1176.28,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC2790,Shoes,12,26.87,Sudan,322.44,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC5287,Shoes,89,9.59,Sudan,853.51,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6639,Shoes,23,53.76,Sudan,1236.48,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4682,Shoes,19,38.72,Sudan,735.68,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9800,Shoes,29,73.27,Sudan,2124.83,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC4332,Shoes,13,71.98,Sudan,935.74,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC4474,Shoes,45,28.2,Sudan,1269.0,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC8396,Shoes,45,65.0,Sudan,2925.0,2010-12,2010-12,1
