InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC6449,Sports Equipment,54,13.1,Sudan,707.4,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC2114,Sports Equipment,38,66.84,Sudan,2539.92,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3714,Sports Equipment,70,67.52,Sudan,4726.4,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC3882,Sports Equipment,90,44.28,Sudan,3985.2,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC3714,Sports Equipment,62,35.26,Sudan,2186.12,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4479,Sports Equipment,12,40.83,Sudan,489.96,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3093,Sports Equipment,15,85.18,Sudan,1277.7,2010-12,2010-12,1
536610,2010-12-02 09:42:00,17850.0,SC4315,Sports Equipment,4,43.02,Sudan,172.08,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC1204,Sports Equipment,68,38.64,Sudan,2627.52,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC9352,Sports Equipment,87,84.65,Sudan,7364.55,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC3605,Sports Equipment,90,63.34,Sudan,5700.6,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC1320,Sports Equipment,10,97.52,Sudan,975.2,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC7813,Sports Equipment,94,14.59,Sudan,1371.46,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7216,Sports Equipment,37,55.22,Sudan,2043.14,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC7113,Sports Equipment,77,46.1,Sudan,3549.7000000000003,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC5535,Sports Equipment,10,3.93,Sudan,39.3,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC1170,Sports Equipment,78,35.93,Sudan,2802.54,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC6450,Sports Equipment,69,46.61,Sudan,3216.09,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC9030,Sports Equipment,20,28.06,Sudan,561.1999999999999,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC6576,Sports Equipment,2,62.12,Sudan,124.24,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC6116,Sports Equipment,69,25.01,Sudan,1725.69,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC6962,Sports Equipment,61,43.1,Sudan,2629.1,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6736,Sports Equipment,14,30.84,Sudan,431.76,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC7634,Sports Equipment,44,58.07,Sudan,2555.08,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC4111,Sports Equipment,53,21.39,Sudan,1133.67,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2626,Sports Equipment,95,92.38,Sudan,8776.1,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC9951,Sports Equipment,74,78.99,Sudan,5845.259999999999,2010-12,2010-12,1
537359,2010-12-06 12:30:00,14825.0,SC3950,Sports Equipment,51,30.74,Sudan,1567.74,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC7719,Sports Equipment,58,96.35,Sudan,5588.299999999999,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC1924,Sports Equipment,19,69.23,Sudan,1315.37,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC7281,Sports Equipment,13,95.4,Sudan,1240.2,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC7641,Sports Equipment,52,96.74,Sudan,5030.48,2010-12,2010-12,1
537601,2010-12-07 12:43:00,17287.0,SC9503,Sports Equipment,82,93.54,Sudan,7670.280000000001,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC3877,Sports Equipment,62,6.14,Sudan,380.68,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC7718,Sports Equipment,68,90.99,Sudan,6187.32,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC7475,Sports Equipment,27,70.01,Sudan,1890.27,2010-12,2010-12,1
537789,2010-12-08 12:49:00,14051.0,SC4498,Sports Equipment,29,46.77,Sudan,1356.3300000000002,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC1166,Sports Equipment,55,41.21,Sudan,2266.55,2010-12,2010-12,1
537851,2010-12-08 15:39:00,13758.0,SC3574,Sports Equipment,94,28.43,Sudan,2672.42,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC4507,Sports Equipment,100,55.42,Sudan,5542.0,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC3962,Sports Equipment,50,76.2,Sudan,3810.0,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC3457,Sports Equipment,7,96.88,Sudan,678.16,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC2742,Sports Equipment,97,13.55,Sudan,1314.35,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC3425,Sports Equipment,15,65.41,Sudan,981.15,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC7107,Sports Equipment,12,47.52,Sudan,570.24,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC8027,Sports Equipment,39,7.9,Sudan,308.1,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC8164,Sports Equipment,73,71.33,Sudan,5207.09,2010-12,2010-12,1
538097,2010-12-09 14:56:00,15192.0,SC9215,Sports Equipment,90,6.88,Sudan,619.2,2010-12,2010-12,1
538107,2010-12-09 15:21:00,12826.0,SC3879,Sports Equipment,34,11.74,Sudan,399.16,2010-12,2010-12,1
538108,2010-12-09 15:23:00,17456.0,SC7231,Sports Equipment,21,12.34,Sudan,259.14,2010-12,2010-12,1
538180,2010-12-10 09:53:00,13418.0,SC3840,Sports Equipment,25,64.46,Sudan,1611.4999999999998,2010-12,2010-12,1
538187,2010-12-10 10:27:00,16499.0,SC6165,Sports Equipment,60,1.94,Sudan,116.4,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC9145,Sports Equipment,89,23.41,Sudan,2083.49,2010-12,2010-12,1
538203,2010-12-10 11:21:00,13767.0,SC7935,Sports Equipment,5,91.17,Sudan,455.85,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC6454,Sports Equipment,22,81.27,Sudan,1787.9399999999998,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC4356,Sports Equipment,37,89.63,Sudan,3316.31,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC9507,Sports Equipment,14,65.23,Sudan,913.22,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC3579,Sports Equipment,90,16.62,Sudan,1495.8000000000002,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC3034,Sports Equipment,6,12.53,Sudan,75.17999999999999,2010-12,2010-12,1
538513,2010-12-12 14:21:00,15454.0,SC2377,Sports Equipment,36,43.66,Sudan,1571.7599999999998,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC7736,Sports Equipment,59,23.54,Sudan,1388.86,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC4600,Sports Equipment,87,59.43,Sudan,5170.41,2010-12,2010-12,1
