InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC3348,Toys,26,63.64,Sudan,1654.64,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC1576,Toys,29,83.53,Sudan,2422.37,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8506,Toys,64,67.96,Sudan,4349.44,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC9648,Toys,96,80.35,Sudan,7713.599999999999,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC2780,Toys,80,75.64,Sudan,6051.2,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7582,Toys,9,37.64,Sudan,338.76,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC1788,Toys,89,37.29,Sudan,3318.81,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5144,Toys,9,95.75,Sudan,861.75,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC2681,Toys,38,62.85,Sudan,2388.3,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC8308,Toys,82,44.39,Sudan,3639.98,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC6100,Toys,9,90.83,Sudan,817.47,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC7772,Toys,87,81.56,Sudan,7095.72,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5537,Toys,25,5.3,Sudan,132.5,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC3747,Toys,63,98.35,Sudan,6196.049999999999,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC2211,Toys,2,12.62,Sudan,25.24,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2383,Toys,43,45.04,Sudan,1936.72,2010-12,2010-12,1
536844,2010-12-02 18:49:00,14236.0,SC3329,Toys,71,87.54,Sudan,6215.34,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7115,Toys,17,89.03,Sudan,1513.51,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC5685,Toys,67,8.58,Sudan,574.86,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC7092,Toys,34,27.57,Sudan,937.38,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5634,Toys,84,54.35,Sudan,4565.400000000001,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC5543,Toys,24,33.82,Sudan,811.6800000000001,2010-12,2010-12,1
