InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536520,2010-12-01 12:43:00,14729.0,SC3056,Books,61,52.69,Tanzania,3214.09,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC6374,Books,2,76.36,Tanzania,152.72,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC1330,Books,99,13.39,Tanzania,1325.61,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC9909,Books,99,36.33,Tanzania,3596.67,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC9567,Books,20,15.1,Tanzania,302.0,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC4107,Books,13,5.28,Tanzania,68.64,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC9423,Books,34,29.46,Tanzania,1001.64,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC6038,Books,91,99.02,Tanzania,9010.82,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2957,Books,73,66.8,Tanzania,4876.4,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC7310,Books,21,91.56,Tanzania,1922.76,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC7625,Books,4,18.98,Tanzania,75.92,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3759,Books,25,16.82,Tanzania,420.5,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC2538,Books,54,82.41,Tanzania,4450.139999999999,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC4559,Books,48,9.81,Tanzania,470.88,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6090,Books,49,54.61,Tanzania,2675.89,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC5370,Books,98,49.36,Tanzania,4837.28,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC3627,Books,34,34.87,Tanzania,1185.58,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC9734,Books,67,68.51,Tanzania,4590.17,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5648,Books,41,53.9,Tanzania,2209.9,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC8544,Books,33,91.93,Tanzania,3033.69,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC1043,Books,72,6.19,Tanzania,445.68,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3518,Books,30,31.89,Tanzania,956.7,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC6704,Books,17,81.7,Tanzania,1388.9,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC7012,Books,9,82.48,Tanzania,742.32,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC2775,Books,80,93.3,Tanzania,7464.0,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC5370,Books,11,11.75,Tanzania,129.25,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC4397,Books,47,75.81,Tanzania,3563.07,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5939,Books,68,32.52,Tanzania,2211.36,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC9928,Books,69,35.39,Tanzania,2441.91,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC8382,Books,11,3.45,Tanzania,37.95,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC8049,Books,43,76.88,Tanzania,3305.84,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC2863,Books,98,97.4,Tanzania,9545.2,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2981,Books,55,67.98,Tanzania,3738.9,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC7097,Books,76,20.25,Tanzania,1539.0,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC9008,Books,42,78.54,Tanzania,3298.6800000000003,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC1809,Books,67,51.6,Tanzania,3457.2000000000003,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC1143,Books,23,76.43,Tanzania,1757.89,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC4831,Books,10,26.43,Tanzania,264.3,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5276,Books,52,61.51,Tanzania,3198.52,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5814,Books,81,33.87,Tanzania,2743.47,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC4294,Books,25,16.3,Tanzania,407.5,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC8809,Books,3,43.3,Tanzania,129.89999999999998,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC9401,Books,8,32.1,Tanzania,256.8,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC5270,Books,82,38.53,Tanzania,3159.46,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC1399,Books,93,87.34,Tanzania,8122.62,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC4060,Books,76,4.26,Tanzania,323.76,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC6527,Books,66,97.66,Tanzania,6445.56,2010-12,2010-12,1
