InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC4166,Cloths,56,4.17,Tanzania,233.52,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC2742,Cloths,22,12.62,Tanzania,277.64,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4017,Cloths,21,30.58,Tanzania,642.18,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC4236,Cloths,82,53.79,Tanzania,4410.78,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC8594,Cloths,93,84.55,Tanzania,7863.15,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4705,Cloths,29,36.19,Tanzania,1049.51,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2805,Cloths,97,35.89,Tanzania,3481.33,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC1250,Cloths,7,44.49,Tanzania,311.43,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC3651,Cloths,32,10.38,Tanzania,332.16,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC3328,Cloths,33,3.77,Tanzania,124.41,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9298,Cloths,50,16.33,Tanzania,816.4999999999999,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC1692,Cloths,36,39.31,Tanzania,1415.16,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC1477,Cloths,94,95.52,Tanzania,8978.88,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC8280,Cloths,44,69.86,Tanzania,3073.84,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2016,Cloths,20,23.0,Tanzania,460.0,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC3174,Cloths,77,12.53,Tanzania,964.81,2010-12,2010-12,1
