InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC8876,Cosmetics,70,73.43,Tanzania,5140.1,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC8004,Cosmetics,25,71.32,Tanzania,1782.9999999999998,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4646,Cosmetics,40,27.82,Tanzania,1112.8,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1875,Cosmetics,1,60.07,Tanzania,60.07,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3126,Cosmetics,26,34.55,Tanzania,898.3,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC2681,Cosmetics,53,42.79,Tanzania,2267.87,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1317,Cosmetics,23,94.77,Tanzania,2179.71,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC5373,Cosmetics,69,65.99,Tanzania,4553.31,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9331,Cosmetics,96,64.49,Tanzania,6191.039999999999,2010-12,2010-12,1
536593,2010-12-01 17:15:00,16835.0,SC1605,Cosmetics,65,64.44,Tanzania,4188.599999999999,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC3919,Cosmetics,73,72.99,Tanzania,5328.27,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC8970,Cosmetics,24,75.64,Tanzania,1815.36,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7371,Cosmetics,56,63.59,Tanzania,3561.04,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC4545,Cosmetics,12,66.66,Tanzania,799.92,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC1280,Cosmetics,59,86.5,Tanzania,5103.5,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC5326,Cosmetics,89,71.05,Tanzania,6323.45,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7290,Cosmetics,53,55.53,Tanzania,2943.09,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC9371,Cosmetics,20,67.52,Tanzania,1350.4,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC5015,Cosmetics,72,75.23,Tanzania,5416.56,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9989,Cosmetics,53,95.69,Tanzania,5071.57,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC4054,Cosmetics,13,8.77,Tanzania,114.01,2010-12,2010-12,1
537139,2010-12-05 12:47:00,17026.0,SC7639,Cosmetics,74,35.91,Tanzania,2657.34,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2489,Cosmetics,80,1.69,Tanzania,135.2,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC7600,Cosmetics,71,24.02,Tanzania,1705.42,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7407,Cosmetics,13,19.85,Tanzania,258.05,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8762,Cosmetics,8,27.93,Tanzania,223.44,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC8724,Cosmetics,66,7.96,Tanzania,525.36,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC5626,Cosmetics,16,79.72,Tanzania,1275.52,2010-12,2010-12,1
537250,2010-12-06 10:43:00,12708.0,SC3346,Cosmetics,52,87.84,Tanzania,4567.68,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC2969,Cosmetics,25,90.23,Tanzania,2255.75,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC6020,Cosmetics,3,80.85,Tanzania,242.55,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC6630,Cosmetics,66,55.72,Tanzania,3677.52,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC9185,Cosmetics,91,68.95,Tanzania,6274.45,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC6115,Cosmetics,34,91.9,Tanzania,3124.6000000000004,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC5537,Cosmetics,36,38.69,Tanzania,1392.84,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC9399,Cosmetics,23,97.11,Tanzania,2233.53,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC4038,Cosmetics,15,33.29,Tanzania,499.35,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC8230,Cosmetics,13,26.4,Tanzania,343.2,2010-12,2010-12,1
537678,2010-12-08 09:56:00,16779.0,SC9438,Cosmetics,38,50.91,Tanzania,1934.58,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC6651,Cosmetics,17,84.72,Tanzania,1440.24,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC9306,Cosmetics,81,70.73,Tanzania,5729.13,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC4153,Cosmetics,57,79.46,Tanzania,4529.219999999999,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC2771,Cosmetics,59,31.16,Tanzania,1838.44,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5245,Cosmetics,18,35.64,Tanzania,641.52,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC1350,Cosmetics,93,34.34,Tanzania,3193.6200000000003,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC2260,Cosmetics,43,24.62,Tanzania,1058.66,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC5401,Cosmetics,5,53.74,Tanzania,268.7,2010-12,2010-12,1
