InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC7503,Electronics,2,16.6,Tanzania,33.2,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC4245,Electronics,81,23.15,Tanzania,1875.15,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7070,Electronics,45,99.84,Tanzania,4492.8,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2093,Electronics,62,20.54,Tanzania,1273.48,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC9371,Electronics,55,78.28,Tanzania,4305.4,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC8264,Electronics,32,66.19,Tanzania,2118.08,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2037,Electronics,12,51.85,Tanzania,622.2,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC4908,Electronics,11,19.73,Tanzania,217.03,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC7734,Electronics,86,37.31,Tanzania,3208.6600000000003,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC6023,Electronics,68,2.64,Tanzania,179.52,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC8422,Electronics,67,51.84,Tanzania,3473.28,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3252,Electronics,79,52.26,Tanzania,4128.54,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC4877,Electronics,96,1.5,Tanzania,144.0,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC4444,Electronics,69,14.53,Tanzania,1002.57,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC3884,Electronics,81,49.34,Tanzania,3996.54,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8669,Electronics,89,19.43,Tanzania,1729.27,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8437,Electronics,3,27.74,Tanzania,83.22,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC3801,Electronics,97,85.93,Tanzania,8335.210000000001,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC6347,Electronics,3,34.93,Tanzania,104.79,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC2083,Electronics,78,43.99,Tanzania,3431.2200000000003,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9394,Electronics,29,55.06,Tanzania,1596.74,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9805,Electronics,92,43.88,Tanzania,4036.96,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC8314,Electronics,36,58.25,Tanzania,2097.0,2010-12,2010-12,1
537067,2010-12-05 11:57:00,14813.0,SC3471,Electronics,81,13.72,Tanzania,1111.3200000000002,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9059,Electronics,49,13.37,Tanzania,655.13,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7050,Electronics,53,88.76,Tanzania,4704.280000000001,2010-12,2010-12,1
