InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC4300,Furniture,30,82.92,Tanzania,2487.6,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC2139,Furniture,73,99.74,Tanzania,7281.019999999999,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC2260,Furniture,44,14.06,Tanzania,618.64,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC2812,Furniture,23,54.8,Tanzania,1260.4,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC6008,Furniture,49,21.22,Tanzania,1039.78,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC6014,Furniture,50,29.98,Tanzania,1499.0,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1805,Furniture,40,43.04,Tanzania,1721.6,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1855,Furniture,36,92.96,Tanzania,3346.56,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3928,Furniture,82,4.65,Tanzania,381.3,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC9813,Furniture,73,90.3,Tanzania,6591.9,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC2382,Furniture,77,81.38,Tanzania,6266.259999999999,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6742,Furniture,19,6.69,Tanzania,127.11,2010-12,2010-12,1
536663,2010-12-02 12:07:00,16546.0,SC4188,Furniture,89,1.79,Tanzania,159.31,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC4980,Furniture,72,18.36,Tanzania,1321.92,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC9817,Furniture,95,42.5,Tanzania,4037.5,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC8815,Furniture,31,20.6,Tanzania,638.6,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6290,Furniture,12,30.93,Tanzania,371.16,2010-12,2010-12,1
536971,2010-12-03 13:40:00,12779.0,SC8376,Furniture,69,38.95,Tanzania,2687.55,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC8095,Furniture,5,37.87,Tanzania,189.35,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC4963,Furniture,37,63.28,Tanzania,2341.36,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC8643,Furniture,28,11.7,Tanzania,327.6,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC5860,Furniture,30,82.25,Tanzania,2467.5,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC7085,Furniture,3,73.71,Tanzania,221.13,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC8867,Furniture,8,27.49,Tanzania,219.92,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC1249,Furniture,61,50.63,Tanzania,3088.4300000000003,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC8358,Furniture,84,45.51,Tanzania,3822.84,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC5971,Furniture,76,35.1,Tanzania,2667.6,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6410,Furniture,16,20.57,Tanzania,329.12,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC1514,Furniture,86,94.26,Tanzania,8106.360000000001,2010-12,2010-12,1
