InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536522,2010-12-01 12:49:00,15012.0,SC7797,Jewelry,1,90.53,Tanzania,90.53,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2754,Jewelry,43,79.43,Tanzania,3415.49,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC3383,Jewelry,85,22.1,Tanzania,1878.5,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8500,Jewelry,10,70.06,Tanzania,700.6,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC2753,Jewelry,20,80.04,Tanzania,1600.8000000000002,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC6754,Jewelry,31,52.09,Tanzania,1614.7900000000002,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC5080,Jewelry,11,98.85,Tanzania,1087.35,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC9584,Jewelry,1,60.68,Tanzania,60.68,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC9587,Jewelry,99,62.04,Tanzania,6141.96,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC2416,Jewelry,71,8.14,Tanzania,577.94,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC9252,Jewelry,79,86.91,Tanzania,6865.889999999999,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC1884,Jewelry,30,52.24,Tanzania,1567.2,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3693,Jewelry,91,40.05,Tanzania,3644.55,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4925,Jewelry,93,61.69,Tanzania,5737.17,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8875,Jewelry,41,28.25,Tanzania,1158.25,2010-12,2010-12,1
537179,2010-12-05 13:29:00,13767.0,SC2263,Jewelry,11,67.48,Tanzania,742.2800000000001,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC3016,Jewelry,43,6.81,Tanzania,292.83,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3471,Jewelry,39,20.54,Tanzania,801.06,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6773,Jewelry,42,95.08,Tanzania,3993.36,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC8970,Jewelry,5,45.78,Tanzania,228.9,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2666,Jewelry,98,64.76,Tanzania,6346.4800000000005,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC8803,Jewelry,95,19.36,Tanzania,1839.2,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC7217,Jewelry,72,44.03,Tanzania,3170.16,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC1952,Jewelry,2,76.8,Tanzania,153.6,2010-12,2010-12,1
537509,2010-12-07 11:41:00,13756.0,SC5682,Jewelry,90,40.73,Tanzania,3665.7,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC3164,Jewelry,38,53.34,Tanzania,2026.92,2010-12,2010-12,1
537693,2010-12-08 10:45:00,12441.0,SC8406,Jewelry,73,60.8,Tanzania,4438.4,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC2964,Jewelry,21,11.9,Tanzania,249.9,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC1143,Jewelry,82,78.23,Tanzania,6414.860000000001,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC5916,Jewelry,96,18.75,Tanzania,1800.0,2010-12,2010-12,1
537995,2010-12-09 11:39:00,12712.0,SC8283,Jewelry,87,16.95,Tanzania,1474.65,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC9600,Jewelry,86,40.15,Tanzania,3452.9,2010-12,2010-12,1
538010,2010-12-09 12:20:00,17526.0,SC1210,Jewelry,96,82.47,Tanzania,7917.12,2010-12,2010-12,1
538073,2010-12-09 14:10:00,17816.0,SC6535,Jewelry,38,46.88,Tanzania,1781.44,2010-12,2010-12,1
538076,2010-12-09 14:15:00,15311.0,SC6440,Jewelry,77,1.52,Tanzania,117.04,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC6339,Jewelry,93,16.85,Tanzania,1567.0500000000002,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC2587,Jewelry,1,80.89,Tanzania,80.89,2010-12,2010-12,1
