InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC8979,Kitchenware,84,41.63,Tanzania,3496.92,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6672,Kitchenware,94,86.85,Tanzania,8163.9,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1827,Kitchenware,15,28.41,Tanzania,426.15,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC8860,Kitchenware,40,20.42,Tanzania,816.8000000000001,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8721,Kitchenware,37,81.99,Tanzania,3033.63,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8564,Kitchenware,49,80.57,Tanzania,3947.93,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC4365,Kitchenware,33,69.32,Tanzania,2287.56,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC6508,Kitchenware,57,97.48,Tanzania,5556.360000000001,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC4489,Kitchenware,96,96.26,Tanzania,9240.96,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC9444,Kitchenware,41,23.15,Tanzania,949.15,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC1187,Kitchenware,42,45.7,Tanzania,1919.4,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9275,Kitchenware,88,76.65,Tanzania,6745.200000000001,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC4753,Kitchenware,55,73.33,Tanzania,4033.15,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1252,Kitchenware,36,87.89,Tanzania,3164.04,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC6204,Kitchenware,72,79.4,Tanzania,5716.8,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC6423,Kitchenware,76,23.68,Tanzania,1799.68,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC5735,Kitchenware,89,35.67,Tanzania,3174.63,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC5536,Kitchenware,15,45.1,Tanzania,676.5,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC6750,Kitchenware,80,57.56,Tanzania,4604.8,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC2786,Kitchenware,1,73.28,Tanzania,73.28,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC5973,Kitchenware,65,32.3,Tanzania,2099.5,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC9636,Kitchenware,4,96.25,Tanzania,385.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9590,Kitchenware,52,73.47,Tanzania,3820.44,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC8519,Kitchenware,67,63.52,Tanzania,4255.84,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2419,Kitchenware,63,71.39,Tanzania,4497.57,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC5235,Kitchenware,51,12.6,Tanzania,642.6,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC4525,Kitchenware,87,41.62,Tanzania,3620.94,2010-12,2010-12,1
537206,2010-12-05 15:02:00,15235.0,SC2922,Kitchenware,52,3.67,Tanzania,190.84,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC7933,Kitchenware,46,43.97,Tanzania,2022.62,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC3371,Kitchenware,10,27.62,Tanzania,276.2,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1686,Kitchenware,4,29.68,Tanzania,118.72,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC5177,Kitchenware,51,80.85,Tanzania,4123.349999999999,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC9443,Kitchenware,47,81.11,Tanzania,3812.17,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC8964,Kitchenware,63,23.95,Tanzania,1508.85,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC1752,Kitchenware,3,81.35,Tanzania,244.05,2010-12,2010-12,1
537678,2010-12-08 09:56:00,16779.0,SC1252,Kitchenware,39,44.43,Tanzania,1732.77,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC7549,Kitchenware,64,18.49,Tanzania,1183.36,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC7119,Kitchenware,92,31.71,Tanzania,2917.32,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC6950,Kitchenware,11,46.05,Tanzania,506.55,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC8222,Kitchenware,9,80.65,Tanzania,725.85,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1104,Kitchenware,80,35.24,Tanzania,2819.2000000000003,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC5962,Kitchenware,68,50.45,Tanzania,3430.6000000000004,2010-12,2010-12,1
537880,2010-12-09 09:14:00,12963.0,SC6519,Kitchenware,97,71.9,Tanzania,6974.3,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC7472,Kitchenware,54,36.81,Tanzania,1987.74,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC8520,Kitchenware,49,13.75,Tanzania,673.75,2010-12,2010-12,1
538113,2010-12-09 15:29:00,15811.0,SC2730,Kitchenware,47,9.49,Tanzania,446.03,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC7153,Kitchenware,14,13.55,Tanzania,189.7,2010-12,2010-12,1
538168,2010-12-09 19:23:00,14702.0,SC2229,Kitchenware,56,73.69,Tanzania,4126.639999999999,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC3811,Kitchenware,90,87.57,Tanzania,7881.299999999999,2010-12,2010-12,1
538187,2010-12-10 10:27:00,16499.0,SC7486,Kitchenware,4,31.74,Tanzania,126.96,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC6147,Kitchenware,6,42.17,Tanzania,253.02,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC9759,Kitchenware,71,51.57,Tanzania,3661.47,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC9257,Kitchenware,35,1.85,Tanzania,64.75,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC3909,Kitchenware,85,12.07,Tanzania,1025.95,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC7189,Kitchenware,48,53.92,Tanzania,2588.16,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC7103,Kitchenware,9,37.14,Tanzania,334.26,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC5069,Kitchenware,91,71.36,Tanzania,6493.76,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC8571,Kitchenware,49,68.22,Tanzania,3342.78,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC7264,Kitchenware,20,13.68,Tanzania,273.6,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC2277,Kitchenware,63,87.01,Tanzania,5481.63,2010-12,2010-12,1
538541,2010-12-13 10:46:00,17428.0,SC6700,Kitchenware,12,41.36,Tanzania,496.32,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC4075,Kitchenware,5,10.36,Tanzania,51.8,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC8471,Kitchenware,34,27.13,Tanzania,922.42,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC3465,Kitchenware,29,35.75,Tanzania,1036.75,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC5752,Kitchenware,80,97.81,Tanzania,7824.8,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC3988,Kitchenware,22,71.39,Tanzania,1570.58,2010-12,2010-12,1
538668,2010-12-13 16:17:00,13211.0,SC9356,Kitchenware,87,5.59,Tanzania,486.33,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC3812,Kitchenware,59,86.83,Tanzania,5122.97,2010-12,2010-12,1
538858,2010-12-14 13:58:00,16553.0,SC2460,Kitchenware,85,66.47,Tanzania,5649.95,2010-12,2010-12,1
538905,2010-12-15 10:31:00,13611.0,SC1882,Kitchenware,16,86.03,Tanzania,1376.48,2010-12,2010-12,1
538944,2010-12-15 11:21:00,13295.0,SC7618,Kitchenware,31,72.65,Tanzania,2252.15,2010-12,2010-12,1
539008,2010-12-15 13:21:00,17033.0,SC1470,Kitchenware,17,30.36,Tanzania,516.12,2010-12,2010-12,1
539009,2010-12-15 13:24:00,13221.0,SC1639,Kitchenware,50,77.04,Tanzania,3852.000000000001,2010-12,2010-12,1
539009,2010-12-15 13:24:00,13221.0,SC1580,Kitchenware,85,67.63,Tanzania,5748.549999999999,2010-12,2010-12,1
539018,2010-12-15 14:00:00,16134.0,SC3361,Kitchenware,98,34.65,Tanzania,3395.7,2010-12,2010-12,1
539030,2010-12-15 14:25:00,13089.0,SC7317,Kitchenware,30,41.76,Tanzania,1252.8,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC8511,Kitchenware,20,31.57,Tanzania,631.4,2010-12,2010-12,1
539101,2010-12-16 10:35:00,16029.0,SC5426,Kitchenware,45,33.75,Tanzania,1518.75,2010-12,2010-12,1
539211,2010-12-16 12:15:00,16743.0,SC2356,Kitchenware,79,13.63,Tanzania,1076.77,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC6462,Kitchenware,13,31.57,Tanzania,410.41,2010-12,2010-12,1
