InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536477,2010-12-01 12:27:00,16210.0,SC3302,Shoes,20,32.7,Tanzania,654.0,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9637,Shoes,35,77.19,Tanzania,2701.65,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2255,Shoes,76,8.64,Tanzania,656.6400000000001,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC8671,Shoes,65,30.84,Tanzania,2004.6,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC2837,Shoes,14,52.31,Tanzania,732.34,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3361,Shoes,89,28.72,Tanzania,2556.08,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2096,Shoes,62,47.39,Tanzania,2938.18,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC2269,Shoes,78,61.96,Tanzania,4832.88,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC9054,Shoes,39,14.57,Tanzania,568.23,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3538,Shoes,27,57.54,Tanzania,1553.58,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC4602,Shoes,77,69.18,Tanzania,5326.860000000001,2010-12,2010-12,1
536795,2010-12-02 15:40:00,15640.0,SC6946,Shoes,78,48.82,Tanzania,3807.96,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC1266,Shoes,63,67.8,Tanzania,4271.4,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC4016,Shoes,43,6.13,Tanzania,263.59,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC1790,Shoes,90,40.89,Tanzania,3680.1,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC2494,Shoes,23,22.47,Tanzania,516.81,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC4747,Shoes,80,37.55,Tanzania,3004.0,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6761,Shoes,86,77.03,Tanzania,6624.58,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC1184,Shoes,71,77.95,Tanzania,5534.45,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1407,Shoes,74,37.8,Tanzania,2797.2,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7589,Shoes,74,48.51,Tanzania,3589.74,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC3702,Shoes,94,10.03,Tanzania,942.82,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2965,Shoes,99,51.09,Tanzania,5057.910000000001,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2714,Shoes,92,62.11,Tanzania,5714.12,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC6018,Shoes,39,85.13,Tanzania,3320.07,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC2114,Shoes,49,33.22,Tanzania,1627.78,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC5383,Shoes,70,50.39,Tanzania,3527.3,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2881,Shoes,5,60.51,Tanzania,302.55,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC5292,Shoes,86,6.45,Tanzania,554.7,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC9378,Shoes,99,67.27,Tanzania,6659.73,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC2674,Shoes,30,67.45,Tanzania,2023.5,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC6927,Shoes,29,83.04,Tanzania,2408.1600000000003,2010-12,2010-12,1
537404,2010-12-06 14:46:00,17191.0,SC7088,Shoes,49,77.6,Tanzania,3802.4,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC9741,Shoes,70,33.05,Tanzania,2313.5,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC5372,Shoes,63,26.38,Tanzania,1661.9399999999998,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC7315,Shoes,26,46.49,Tanzania,1208.74,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC1843,Shoes,46,6.28,Tanzania,288.88,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC2006,Shoes,83,11.49,Tanzania,953.67,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC9549,Shoes,74,94.54,Tanzania,6995.96,2010-12,2010-12,1
537615,2010-12-07 13:30:00,15898.0,SC4760,Shoes,48,97.76,Tanzania,4692.4800000000005,2010-12,2010-12,1
537629,2010-12-07 15:03:00,17419.0,SC5238,Shoes,23,27.58,Tanzania,634.3399999999999,2010-12,2010-12,1
537758,2010-12-08 11:41:00,16122.0,SC2473,Shoes,19,63.25,Tanzania,1201.75,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC2378,Shoes,76,75.54,Tanzania,5741.040000000001,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC6817,Shoes,92,60.37,Tanzania,5554.04,2010-12,2010-12,1
537815,2010-12-08 13:49:00,17676.0,SC7680,Shoes,91,42.43,Tanzania,3861.13,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC1702,Shoes,6,69.89,Tanzania,419.34,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC3983,Shoes,18,72.08,Tanzania,1297.44,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC5974,Shoes,83,80.02,Tanzania,6641.66,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC2837,Shoes,91,15.34,Tanzania,1395.94,2010-12,2010-12,1
