InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC9450,Sports Equipment,87,8.0,Tanzania,696.0,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC6891,Sports Equipment,5,68.66,Tanzania,343.29999999999995,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3242,Sports Equipment,28,20.55,Tanzania,575.4,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC9432,Sports Equipment,56,3.03,Tanzania,169.67999999999998,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2247,Sports Equipment,67,33.31,Tanzania,2231.77,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3971,Sports Equipment,10,25.53,Tanzania,255.3,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC2616,Sports Equipment,56,18.75,Tanzania,1050.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5134,Sports Equipment,84,72.78,Tanzania,6113.52,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC7454,Sports Equipment,47,57.97,Tanzania,2724.59,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC3571,Sports Equipment,61,20.13,Tanzania,1227.9299999999998,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC7471,Sports Equipment,32,75.29,Tanzania,2409.28,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC8529,Sports Equipment,37,30.56,Tanzania,1130.72,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC7223,Sports Equipment,75,64.43,Tanzania,4832.250000000001,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC4600,Sports Equipment,83,63.24,Tanzania,5248.92,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7732,Sports Equipment,9,38.17,Tanzania,343.53000000000003,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1100,Sports Equipment,28,60.01,Tanzania,1680.28,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC9145,Sports Equipment,3,2.57,Tanzania,7.709999999999999,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4545,Sports Equipment,5,32.8,Tanzania,164.0,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC3908,Sports Equipment,3,79.45,Tanzania,238.35,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC6880,Sports Equipment,12,6.76,Tanzania,81.12,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6045,Sports Equipment,86,11.89,Tanzania,1022.54,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2490,Sports Equipment,20,40.99,Tanzania,819.8000000000001,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC7791,Sports Equipment,8,73.08,Tanzania,584.64,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC4650,Sports Equipment,43,86.47,Tanzania,3718.21,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC9334,Sports Equipment,15,10.44,Tanzania,156.6,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3026,Sports Equipment,17,52.29,Tanzania,888.93,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9933,Sports Equipment,26,67.12,Tanzania,1745.12,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC4488,Sports Equipment,22,50.89,Tanzania,1119.58,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC4838,Sports Equipment,91,57.25,Tanzania,5209.75,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC7597,Sports Equipment,99,12.23,Tanzania,1210.77,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2515,Sports Equipment,7,18.77,Tanzania,131.39,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9452,Sports Equipment,48,26.45,Tanzania,1269.6,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1931,Sports Equipment,34,90.45,Tanzania,3075.3,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC1861,Sports Equipment,74,89.65,Tanzania,6634.1,2010-12,2010-12,1
537312,2010-12-06 11:42:00,14189.0,SC3235,Sports Equipment,1,44.3,Tanzania,44.3,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC4203,Sports Equipment,74,85.02,Tanzania,6291.48,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC1225,Sports Equipment,78,85.55,Tanzania,6672.9,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC7314,Sports Equipment,93,74.29,Tanzania,6908.97,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC5336,Sports Equipment,100,45.85,Tanzania,4585.0,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC5855,Sports Equipment,78,63.54,Tanzania,4956.12,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC8634,Sports Equipment,34,75.3,Tanzania,2560.2,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC5980,Sports Equipment,70,22.76,Tanzania,1593.2,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC2735,Sports Equipment,47,46.89,Tanzania,2203.83,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC4548,Sports Equipment,5,54.76,Tanzania,273.8,2010-12,2010-12,1
537766,2010-12-08 12:08:00,17677.0,SC8028,Sports Equipment,7,17.1,Tanzania,119.70000000000002,2010-12,2010-12,1
537774,2010-12-08 12:40:00,14060.0,SC4665,Sports Equipment,7,92.47,Tanzania,647.29,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC9556,Sports Equipment,74,94.8,Tanzania,7015.2,2010-12,2010-12,1
537843,2010-12-08 15:16:00,15713.0,SC1171,Sports Equipment,14,48.25,Tanzania,675.5,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC9291,Sports Equipment,60,97.45,Tanzania,5847.0,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC9159,Sports Equipment,32,26.6,Tanzania,851.2,2010-12,2010-12,1
537981,2010-12-09 11:35:00,17857.0,SC5566,Sports Equipment,65,74.9,Tanzania,4868.5,2010-12,2010-12,1
538010,2010-12-09 12:20:00,17526.0,SC7584,Sports Equipment,33,64.8,Tanzania,2138.4,2010-12,2010-12,1
538013,2010-12-09 12:37:00,17062.0,SC3962,Sports Equipment,15,28.18,Tanzania,422.7,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC5699,Sports Equipment,18,4.51,Tanzania,81.17999999999999,2010-12,2010-12,1
538070,2010-12-09 14:08:00,16519.0,SC9749,Sports Equipment,97,95.79,Tanzania,9291.63,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC6125,Sports Equipment,21,73.89,Tanzania,1551.69,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC4893,Sports Equipment,23,66.65,Tanzania,1532.95,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC4631,Sports Equipment,89,97.37,Tanzania,8665.93,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC2767,Sports Equipment,7,71.15,Tanzania,498.05000000000007,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC1574,Sports Equipment,79,20.58,Tanzania,1625.82,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC4950,Sports Equipment,28,43.4,Tanzania,1215.2,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC2754,Sports Equipment,37,39.43,Tanzania,1458.91,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC7910,Sports Equipment,72,55.52,Tanzania,3997.44,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC8254,Sports Equipment,12,85.38,Tanzania,1024.56,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC6974,Sports Equipment,35,22.48,Tanzania,786.8000000000001,2010-12,2010-12,1
538511,2010-12-12 13:56:00,13959.0,SC9020,Sports Equipment,30,40.14,Tanzania,1204.2,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC4003,Sports Equipment,16,16.53,Tanzania,264.48,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC6573,Sports Equipment,47,38.54,Tanzania,1811.38,2010-12,2010-12,1
538722,2010-12-14 11:12:00,17975.0,SC5122,Sports Equipment,96,44.42,Tanzania,4264.32,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC6956,Sports Equipment,77,63.2,Tanzania,4866.400000000001,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC5550,Sports Equipment,22,26.91,Tanzania,592.02,2010-12,2010-12,1
538855,2010-12-14 13:50:00,16503.0,SC9973,Sports Equipment,37,98.78,Tanzania,3654.86,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC9927,Sports Equipment,46,18.43,Tanzania,847.78,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC2971,Sports Equipment,26,15.11,Tanzania,392.86,2010-12,2010-12,1
538945,2010-12-15 11:22:00,17230.0,SC3792,Sports Equipment,20,79.75,Tanzania,1595.0,2010-12,2010-12,1
539000,2010-12-15 12:27:00,13092.0,SC9855,Sports Equipment,49,64.05,Tanzania,3138.45,2010-12,2010-12,1
539004,2010-12-15 12:43:00,13426.0,SC1926,Sports Equipment,41,71.53,Tanzania,2932.73,2010-12,2010-12,1
539009,2010-12-15 13:24:00,13221.0,SC6795,Sports Equipment,32,43.17,Tanzania,1381.44,2010-12,2010-12,1
539011,2010-12-15 13:25:00,14201.0,SC4878,Sports Equipment,14,84.27,Tanzania,1179.78,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC6527,Sports Equipment,73,71.85,Tanzania,5245.049999999999,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC4719,Sports Equipment,48,81.08,Tanzania,3891.84,2010-12,2010-12,1
539261,2010-12-16 14:34:00,15620.0,SC6929,Sports Equipment,93,50.89,Tanzania,4732.77,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC9944,Sports Equipment,19,25.32,Tanzania,481.08,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC6347,Sports Equipment,8,99.27,Tanzania,794.16,2010-12,2010-12,1
539325,2010-12-17 08:20:00,13004.0,SC9607,Sports Equipment,70,60.1,Tanzania,4207.0,2010-12,2010-12,1
539464,2010-12-19 11:35:00,17913.0,SC9777,Sports Equipment,18,94.71,Tanzania,1704.78,2010-12,2010-12,1
539587,2010-12-20 13:10:00,14298.0,SC2181,Sports Equipment,72,49.03,Tanzania,3530.16,2010-12,2010-12,1
539764,2010-12-22 11:07:00,14533.0,SC3363,Sports Equipment,5,24.65,Tanzania,123.25,2010-12,2010-12,1
539921,2010-12-23 11:09:00,12748.0,SC6560,Sports Equipment,20,58.13,Tanzania,1162.6,2010-12,2010-12,1
539982,2010-12-23 14:40:00,15311.0,SC6743,Sports Equipment,21,28.22,Tanzania,592.62,2010-12,2010-12,1
539984,2010-12-23 14:58:00,14911.0,SC1335,Sports Equipment,93,99.1,Tanzania,9216.3,2010-12,2010-12,1
539984,2010-12-23 14:58:00,14911.0,SC8962,Sports Equipment,7,52.62,Tanzania,368.34,2010-12,2010-12,1
540096,2011-01-04 15:43:00,13253.0,SC2877,Sports Equipment,91,66.21,Tanzania,6025.11,2011-01,2011-01,1
540113,2011-01-05 09:11:00,13126.0,SC8586,Sports Equipment,7,12.85,Tanzania,89.95,2011-01,2011-01,1
540113,2011-01-05 09:11:00,13126.0,SC4198,Sports Equipment,58,74.2,Tanzania,4303.6,2011-01,2011-01,1
540113,2011-01-05 09:11:00,13126.0,SC6939,Sports Equipment,15,20.26,Tanzania,303.90000000000003,2011-01,2011-01,1
540149,2011-01-05 11:00:00,12921.0,SC8675,Sports Equipment,27,10.92,Tanzania,294.84,2011-01,2010-12,2
540178,2011-01-05 12:42:00,12681.0,SC1127,Sports Equipment,49,78.21,Tanzania,3832.29,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC4499,Sports Equipment,17,20.82,Tanzania,353.94,2011-01,2011-01,1
540240,2011-01-05 15:09:00,17585.0,SC6669,Sports Equipment,37,66.21,Tanzania,2449.77,2011-01,2011-01,1
540275,2011-01-06 12:11:00,13680.0,SC6714,Sports Equipment,31,11.53,Tanzania,357.43,2011-01,2011-01,1
540277,2011-01-06 12:18:00,14258.0,SC1619,Sports Equipment,42,68.37,Tanzania,2871.54,2011-01,2011-01,1
540349,2011-01-06 14:07:00,15379.0,SC2184,Sports Equipment,37,42.85,Tanzania,1585.45,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC4375,Sports Equipment,9,69.33,Tanzania,623.97,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC5509,Sports Equipment,95,53.13,Tanzania,5047.35,2011-01,2011-01,1
540395,2011-01-06 18:24:00,14702.0,SC7723,Sports Equipment,89,99.72,Tanzania,8875.08,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC7769,Sports Equipment,78,17.36,Tanzania,1354.08,2011-01,2011-01,1
540480,2011-01-07 15:27:00,12480.0,SC4834,Sports Equipment,4,4.79,Tanzania,19.16,2011-01,2011-01,1
540501,2011-01-09 10:43:00,13162.0,SC6472,Sports Equipment,3,29.44,Tanzania,88.32000000000001,2011-01,2011-01,1
540506,2011-01-09 11:12:00,17796.0,SC6665,Sports Equipment,40,2.27,Tanzania,90.8,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC4161,Sports Equipment,3,60.11,Tanzania,180.33,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC5357,Sports Equipment,94,26.63,Tanzania,2503.22,2011-01,2011-01,1
540907,2011-01-12 11:52:00,13488.0,SC6016,Sports Equipment,36,14.8,Tanzania,532.8000000000001,2011-01,2011-01,1
540907,2011-01-12 11:52:00,13488.0,SC7460,Sports Equipment,65,51.81,Tanzania,3367.65,2011-01,2011-01,1
540979,2011-01-12 15:06:00,15727.0,SC3184,Sports Equipment,56,96.41,Tanzania,5398.96,2011-01,2011-01,1
540983,2011-01-12 15:36:00,15171.0,SC3195,Sports Equipment,85,49.22,Tanzania,4183.7,2011-01,2011-01,1
540992,2011-01-12 16:57:00,17364.0,SC1418,Sports Equipment,73,28.02,Tanzania,2045.46,2011-01,2011-01,1
540992,2011-01-12 16:57:00,17364.0,SC4769,Sports Equipment,84,57.12,Tanzania,4798.08,2011-01,2011-01,1
540994,2011-01-13 09:29:00,13089.0,SC2697,Sports Equipment,39,47.27,Tanzania,1843.53,2011-01,2011-01,1
541120,2011-01-14 09:13:00,12490.0,SC4781,Sports Equipment,82,5.85,Tanzania,479.7,2011-01,2011-01,1
541138,2011-01-14 10:42:00,12553.0,SC7702,Sports Equipment,26,37.32,Tanzania,970.32,2011-01,2011-01,1
541208,2011-01-14 12:29:00,15159.0,SC7540,Sports Equipment,69,45.73,Tanzania,3155.37,2011-01,2011-01,1
541215,2011-01-14 13:42:00,14329.0,SC4090,Sports Equipment,29,12.46,Tanzania,361.34,2011-01,2011-01,1
541225,2011-01-14 14:47:00,14099.0,SC3235,Sports Equipment,83,31.25,Tanzania,2593.75,2011-01,2011-01,1
541268,2011-01-17 10:52:00,12872.0,SC6453,Sports Equipment,2,71.0,Tanzania,142.0,2011-01,2010-12,2
541273,2011-01-17 11:21:00,13155.0,SC1965,Sports Equipment,52,15.15,Tanzania,787.8000000000001,2011-01,2011-01,1
541371,2011-01-17 14:51:00,13983.0,SC7030,Sports Equipment,52,17.76,Tanzania,923.52,2011-01,2011-01,1
541489,2011-01-18 13:38:00,15023.0,SC5513,Sports Equipment,6,49.72,Tanzania,298.32,2011-01,2011-01,1
541593,2011-01-19 15:20:00,17611.0,SC6551,Sports Equipment,29,65.32,Tanzania,1894.28,2011-01,2011-01,1
541596,2011-01-19 16:19:00,17602.0,SC1713,Sports Equipment,84,79.36,Tanzania,6666.24,2011-01,2011-01,1
541611,2011-01-20 10:18:00,16029.0,SC2244,Sports Equipment,67,13.54,Tanzania,907.18,2011-01,2011-01,1
541615,2011-01-20 10:43:00,16395.0,SC7853,Sports Equipment,31,80.69,Tanzania,2501.39,2011-01,2011-01,1
541648,2011-01-20 11:15:00,17811.0,SC2828,Sports Equipment,100,99.71,Tanzania,9971.0,2011-01,2011-01,1
541658,2011-01-20 12:16:00,15529.0,SC6645,Sports Equipment,21,13.34,Tanzania,280.14,2011-01,2011-01,1
541703,2011-01-21 09:52:00,12594.0,SC9992,Sports Equipment,77,95.16,Tanzania,7327.32,2011-01,2011-01,1
541795,2011-01-21 13:47:00,14692.0,SC9148,Sports Equipment,8,37.51,Tanzania,300.08,2011-01,2011-01,1
541850,2011-01-23 13:58:00,14224.0,SC6548,Sports Equipment,33,7.03,Tanzania,231.99,2011-01,2011-01,1
541853,2011-01-23 14:29:00,17858.0,SC1655,Sports Equipment,12,45.97,Tanzania,551.64,2011-01,2011-01,1
541858,2011-01-23 15:34:00,16983.0,SC9925,Sports Equipment,51,76.5,Tanzania,3901.5,2011-01,2011-01,1
541877,2011-01-24 10:12:00,12559.0,SC1823,Sports Equipment,15,32.26,Tanzania,483.9,2011-01,2011-01,1
541987,2011-01-24 16:05:00,14130.0,SC9629,Sports Equipment,26,29.55,Tanzania,768.3000000000001,2011-01,2011-01,1
541987,2011-01-24 16:05:00,14130.0,SC1392,Sports Equipment,18,64.7,Tanzania,1164.6,2011-01,2011-01,1
541995,2011-01-25 09:58:00,13158.0,SC7804,Sports Equipment,100,43.96,Tanzania,4396.0,2011-01,2011-01,1
542000,2011-01-25 10:49:00,14257.0,SC6388,Sports Equipment,71,81.19,Tanzania,5764.49,2011-01,2011-01,1
542059,2011-01-25 11:59:00,16757.0,SC6650,Sports Equipment,78,9.74,Tanzania,759.72,2011-01,2011-01,1
542093,2011-01-25 12:46:00,17677.0,SC9347,Sports Equipment,8,93.37,Tanzania,746.96,2011-01,2010-12,2
542103,2011-01-25 13:26:00,13198.0,SC4441,Sports Equipment,99,26.0,Tanzania,2574.0,2011-01,2011-01,1
542130,2011-01-25 15:36:00,13468.0,SC4126,Sports Equipment,40,56.97,Tanzania,2278.8,2011-01,2011-01,1
542131,2011-01-25 15:55:00,16133.0,SC8927,Sports Equipment,51,56.75,Tanzania,2894.25,2011-01,2011-01,1
542192,2011-01-26 11:27:00,14049.0,SC2458,Sports Equipment,1,8.28,Tanzania,8.28,2011-01,2011-01,1
542217,2011-01-26 12:36:00,14606.0,SC6902,Sports Equipment,58,89.52,Tanzania,5192.16,2011-01,2011-01,1
542219,2011-01-26 12:36:00,17735.0,SC9571,Sports Equipment,60,63.87,Tanzania,3832.2,2011-01,2011-01,1
542237,2011-01-26 14:30:00,12347.0,SC3024,Sports Equipment,73,9.34,Tanzania,681.8199999999999,2011-01,2011-01,1
542247,2011-01-26 15:49:00,12997.0,SC4063,Sports Equipment,97,56.74,Tanzania,5503.78,2011-01,2011-01,1
542268,2011-01-27 08:30:00,15358.0,SC9423,Sports Equipment,59,97.5,Tanzania,5752.5,2011-01,2011-01,1
542393,2011-01-27 15:02:00,18125.0,SC2833,Sports Equipment,86,41.49,Tanzania,3568.1400000000003,2011-01,2011-01,1
542408,2011-01-27 16:29:00,13280.0,SC9210,Sports Equipment,5,63.87,Tanzania,319.35,2011-01,2011-01,1
542420,2011-01-27 18:05:00,17180.0,SC3798,Sports Equipment,8,89.59,Tanzania,716.72,2011-01,2011-01,1
542503,2011-01-28 11:58:00,16327.0,SC7333,Sports Equipment,5,70.85,Tanzania,354.25,2011-01,2010-12,2
542597,2011-01-30 10:33:00,16326.0,SC7521,Sports Equipment,9,71.88,Tanzania,646.92,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC8654,Sports Equipment,72,95.64,Tanzania,6886.08,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC1150,Sports Equipment,49,62.61,Tanzania,3067.89,2011-01,2011-01,1
542623,2011-01-31 09:41:00,17239.0,SC8247,Sports Equipment,1,46.26,Tanzania,46.26,2011-01,2011-01,1
542649,2011-01-31 11:46:00,17373.0,SC4242,Sports Equipment,19,58.7,Tanzania,1115.3,2011-01,2011-01,1
542662,2011-01-31 12:10:00,18145.0,SC3093,Sports Equipment,51,17.86,Tanzania,910.86,2011-01,2011-01,1
542667,2011-01-31 12:16:00,17068.0,SC9819,Sports Equipment,20,51.35,Tanzania,1027.0,2011-01,2011-01,1
542789,2011-02-01 10:38:00,17511.0,SC2180,Sports Equipment,85,12.74,Tanzania,1082.9,2011-02,2011-02,1
542789,2011-02-01 10:38:00,17511.0,SC9967,Sports Equipment,99,32.27,Tanzania,3194.7300000000005,2011-02,2011-02,1
542869,2011-02-01 12:27:00,17035.0,SC4608,Sports Equipment,36,71.63,Tanzania,2578.68,2011-02,2011-02,1
542891,2011-02-01 13:26:00,16705.0,SC9081,Sports Equipment,25,41.04,Tanzania,1026.0,2011-02,2011-02,1
542893,2011-02-01 13:36:00,18202.0,SC3452,Sports Equipment,73,66.76,Tanzania,4873.4800000000005,2011-02,2011-02,1
542895,2011-02-01 13:47:00,14549.0,SC9669,Sports Equipment,19,21.19,Tanzania,402.61,2011-02,2011-02,1
