InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536425,2010-12-01 12:08:00,13758.0,SC9949,Toys,5,6.58,Tanzania,32.9,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC6453,Toys,45,67.7,Tanzania,3046.5,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC4590,Toys,13,29.93,Tanzania,389.09,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC2123,Toys,67,69.63,Tanzania,4665.21,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8560,Toys,13,51.69,Tanzania,671.97,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC9690,Toys,100,77.03,Tanzania,7703.0,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC5715,Toys,42,8.81,Tanzania,370.02,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC1971,Toys,20,19.97,Tanzania,399.4,2010-12,2010-12,1
536794,2010-12-02 15:40:00,13767.0,SC7182,Toys,55,50.88,Tanzania,2798.4,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9887,Toys,18,20.02,Tanzania,360.36,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC3982,Toys,97,44.98,Tanzania,4363.06,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC8637,Toys,3,93.4,Tanzania,280.20000000000005,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC5457,Toys,64,18.11,Tanzania,1159.04,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC8973,Toys,6,46.16,Tanzania,276.96,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2547,Toys,98,47.83,Tanzania,4687.34,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9588,Toys,4,87.7,Tanzania,350.8,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2059,Toys,40,28.61,Tanzania,1144.4,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2929,Toys,92,21.62,Tanzania,1989.04,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2763,Toys,99,85.88,Tanzania,8502.119999999999,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC3348,Toys,5,49.37,Tanzania,246.85,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC2716,Toys,52,25.55,Tanzania,1328.6,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC1194,Toys,3,72.66,Tanzania,217.98,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC6763,Toys,16,91.24,Tanzania,1459.84,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC5169,Toys,71,51.8,Tanzania,3677.8,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC1016,Toys,32,48.72,Tanzania,1559.04,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC3939,Toys,46,94.59,Tanzania,4351.14,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC3891,Toys,89,75.67,Tanzania,6734.63,2010-12,2010-12,1
