InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC6051,Books,18,87.89,Togo,1582.02,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9983,Books,4,92.75,Togo,371.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3286,Books,56,56.78,Togo,3179.6800000000003,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC3728,Books,16,43.06,Togo,688.96,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC9237,Books,3,50.87,Togo,152.61,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC9623,Books,62,42.61,Togo,2641.82,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3975,Books,86,6.2,Togo,533.2,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC7792,Books,65,29.83,Togo,1938.95,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC5722,Books,13,82.53,Togo,1072.89,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC7336,Books,97,23.18,Togo,2248.46,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC7164,Books,27,40.93,Togo,1105.11,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC5356,Books,24,24.53,Togo,588.72,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9646,Books,99,41.23,Togo,4081.77,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC1478,Books,6,58.05,Togo,348.29999999999995,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC3627,Books,47,21.81,Togo,1025.07,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC1971,Books,50,63.25,Togo,3162.5,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC5114,Books,22,95.58,Togo,2102.76,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC4219,Books,44,25.29,Togo,1112.76,2010-12,2010-12,1
