InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC5717,Cloths,17,32.87,Togo,558.79,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6016,Cloths,62,63.32,Togo,3925.84,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2759,Cloths,26,25.64,Togo,666.64,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC6464,Cloths,69,82.49,Togo,5691.81,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC2366,Cloths,9,67.65,Togo,608.85,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC5827,Cloths,97,71.93,Togo,6977.210000000001,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC6179,Cloths,73,42.65,Togo,3113.45,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC4303,Cloths,20,79.8,Togo,1596.0,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC6819,Cloths,53,47.38,Togo,2511.1400000000003,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5009,Cloths,9,70.99,Togo,638.91,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1896,Cloths,68,29.35,Togo,1995.8,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6192,Cloths,100,45.87,Togo,4587.0,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC7418,Cloths,74,53.36,Togo,3948.64,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4060,Cloths,67,11.09,Togo,743.03,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC1167,Cloths,65,49.63,Togo,3225.9500000000003,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9071,Cloths,5,37.53,Togo,187.65,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC7524,Cloths,23,88.85,Togo,2043.55,2010-12,2010-12,1
536849,2010-12-03 09:45:00,17396.0,SC9676,Cloths,63,23.16,Togo,1459.08,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8812,Cloths,11,65.68,Togo,722.48,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC7034,Cloths,77,88.51,Togo,6815.27,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC2377,Cloths,14,26.86,Togo,376.04,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC5476,Cloths,82,90.49,Togo,7420.179999999999,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC1710,Cloths,15,82.77,Togo,1241.55,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6467,Cloths,66,35.26,Togo,2327.16,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC8822,Cloths,29,5.62,Togo,162.98,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC4124,Cloths,94,99.76,Togo,9377.44,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3764,Cloths,56,61.0,Togo,3416.0,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC3882,Cloths,27,54.56,Togo,1473.12,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC3023,Cloths,65,35.54,Togo,2310.1,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC4703,Cloths,46,93.77,Togo,4313.42,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4040,Cloths,21,96.6,Togo,2028.6,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3990,Cloths,95,59.49,Togo,5651.55,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC6156,Cloths,20,33.32,Togo,666.4,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC4464,Cloths,21,83.93,Togo,1762.5300000000002,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC9315,Cloths,81,47.07,Togo,3812.67,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC2473,Cloths,3,79.12,Togo,237.36,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC1554,Cloths,31,18.98,Togo,588.38,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC4257,Cloths,6,12.6,Togo,75.6,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC4397,Cloths,14,47.97,Togo,671.5799999999999,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC1600,Cloths,26,7.66,Togo,199.16,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC1496,Cloths,43,89.49,Togo,3848.07,2010-12,2010-12,1
537419,2010-12-06 15:14:00,13495.0,SC5945,Cloths,93,47.59,Togo,4425.87,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC5080,Cloths,90,62.16,Togo,5594.4,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC2508,Cloths,74,56.45,Togo,4177.3,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8248,Cloths,45,90.13,Togo,4055.85,2010-12,2010-12,1
537620,2010-12-07 14:00:00,13880.0,SC6429,Cloths,85,58.06,Togo,4935.1,2010-12,2010-12,1
537669,2010-12-08 08:58:00,16863.0,SC6878,Cloths,86,71.87,Togo,6180.820000000001,2010-12,2010-12,1
537698,2010-12-08 10:51:00,13199.0,SC2009,Cloths,19,29.06,Togo,552.14,2010-12,2010-12,1
537751,2010-12-08 11:04:00,17706.0,SC3785,Cloths,34,48.51,Togo,1649.34,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5531,Cloths,9,61.83,Togo,556.47,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC2493,Cloths,99,30.03,Togo,2972.9700000000003,2010-12,2010-12,1
537819,2010-12-08 13:55:00,15298.0,SC4165,Cloths,33,10.7,Togo,353.1,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC9943,Cloths,2,60.05,Togo,120.1,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC1548,Cloths,91,61.51,Togo,5597.41,2010-12,2010-12,1
537885,2010-12-09 09:34:00,12942.0,SC6659,Cloths,78,69.54,Togo,5424.120000000001,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC1070,Cloths,36,4.83,Togo,173.88,2010-12,2010-12,1
