InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536386,2010-12-01 09:57:00,16029.0,SC8962,Cosmetics,37,20.71,Togo,766.27,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC1581,Cosmetics,94,95.43,Togo,8970.42,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5447,Cosmetics,72,27.54,Togo,1982.88,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6660,Cosmetics,82,3.04,Togo,249.28,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC1664,Cosmetics,99,56.62,Togo,5605.38,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC6220,Cosmetics,45,35.94,Togo,1617.3,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC8355,Cosmetics,4,49.76,Togo,199.04,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6158,Cosmetics,91,81.84,Togo,7447.44,2010-12,2010-12,1
536663,2010-12-02 12:07:00,16546.0,SC2131,Cosmetics,23,61.46,Togo,1413.58,2010-12,2010-12,1
536663,2010-12-02 12:07:00,16546.0,SC9641,Cosmetics,72,2.99,Togo,215.28000000000003,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC6390,Cosmetics,40,72.71,Togo,2908.4,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC2374,Cosmetics,64,6.98,Togo,446.72,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2204,Cosmetics,46,61.99,Togo,2851.54,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6512,Cosmetics,70,61.13,Togo,4279.1,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC9419,Cosmetics,4,88.41,Togo,353.64,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2146,Cosmetics,78,45.42,Togo,3542.76,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC6565,Cosmetics,21,51.07,Togo,1072.47,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC9486,Cosmetics,30,98.56,Togo,2956.8,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC1439,Cosmetics,41,91.09,Togo,3734.69,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC3082,Cosmetics,99,47.08,Togo,4660.92,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC5764,Cosmetics,50,32.63,Togo,1631.5000000000002,2010-12,2010-12,1
