InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536394,2010-12-01 10:39:00,13408.0,SC2735,Electronics,47,87.93,Togo,4132.71,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC1988,Electronics,6,85.32,Togo,511.92,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2305,Electronics,8,10.23,Togo,81.84,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9453,Electronics,14,51.71,Togo,723.94,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5920,Electronics,57,20.92,Togo,1192.44,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC2714,Electronics,98,72.94,Togo,7148.12,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC5764,Electronics,99,51.39,Togo,5087.61,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC5408,Electronics,8,40.8,Togo,326.4,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6972,Electronics,26,3.38,Togo,87.88,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC1978,Electronics,89,99.58,Togo,8862.619999999999,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC8925,Electronics,7,20.26,Togo,141.82000000000002,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1757,Electronics,41,25.31,Togo,1037.71,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC8747,Electronics,32,82.66,Togo,2645.12,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC7658,Electronics,26,87.78,Togo,2282.28,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7814,Electronics,48,94.24,Togo,4523.52,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC9924,Electronics,37,91.95,Togo,3402.15,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3741,Electronics,31,42.59,Togo,1320.2900000000002,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC6576,Electronics,15,18.72,Togo,280.79999999999995,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8158,Electronics,63,90.73,Togo,5715.990000000001,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5618,Electronics,17,98.07,Togo,1667.1899999999998,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC1734,Electronics,98,10.59,Togo,1037.82,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC7011,Electronics,34,42.57,Togo,1447.38,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC5918,Electronics,42,56.68,Togo,2380.56,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC8081,Electronics,7,59.25,Togo,414.75,2010-12,2010-12,1
537223,2010-12-05 16:10:00,13579.0,SC8415,Electronics,3,92.49,Togo,277.47,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9786,Electronics,67,29.87,Togo,2001.29,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5864,Electronics,5,4.15,Togo,20.75,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC8103,Electronics,45,91.02,Togo,4095.9,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC9440,Electronics,31,31.36,Togo,972.16,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC6931,Electronics,52,7.17,Togo,372.84,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC1318,Electronics,16,8.21,Togo,131.36,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC1259,Electronics,62,7.72,Togo,478.64,2010-12,2010-12,1
537538,2010-12-07 11:49:00,15353.0,SC7875,Electronics,7,19.58,Togo,137.06,2010-12,2010-12,1
537601,2010-12-07 12:43:00,17287.0,SC9004,Electronics,63,1.56,Togo,98.28,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC4248,Electronics,59,24.42,Togo,1440.7800000000002,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC1777,Electronics,82,71.58,Togo,5869.56,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC5781,Electronics,12,11.72,Togo,140.64,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC8266,Electronics,77,65.05,Togo,5008.849999999999,2010-12,2010-12,1
537967,2010-12-09 11:31:00,12494.0,SC2332,Electronics,61,4.82,Togo,294.02000000000004,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC9659,Electronics,61,55.81,Togo,3404.4100000000003,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC5409,Electronics,35,49.13,Togo,1719.5500000000002,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC3495,Electronics,61,31.6,Togo,1927.6,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC8334,Electronics,30,72.36,Togo,2170.8,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC6549,Electronics,7,27.02,Togo,189.14,2010-12,2010-12,1
538190,2010-12-10 10:47:00,17790.0,SC3739,Electronics,9,43.08,Togo,387.72,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC6401,Electronics,88,74.12,Togo,6522.56,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC1916,Electronics,96,34.99,Togo,3359.04,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC3999,Electronics,4,49.53,Togo,198.12,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC4903,Electronics,36,87.94,Togo,3165.84,2010-12,2010-12,1
538361,2010-12-10 16:36:00,17757.0,SC7070,Electronics,17,11.74,Togo,199.58,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC7086,Electronics,6,82.58,Togo,495.48,2010-12,2010-12,1
538504,2010-12-12 13:01:00,16011.0,SC2270,Electronics,96,28.4,Togo,2726.4,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC8719,Electronics,17,91.19,Togo,1550.23,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC1370,Electronics,38,62.19,Togo,2363.22,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC8410,Electronics,16,16.01,Togo,256.16,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC1569,Electronics,79,59.79,Togo,4723.41,2010-12,2010-12,1
538591,2010-12-13 11:44:00,14741.0,SC7236,Electronics,55,49.8,Togo,2739.0,2010-12,2010-12,1
538593,2010-12-13 11:51:00,16701.0,SC9181,Electronics,15,85.79,Togo,1286.85,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC2985,Electronics,68,21.61,Togo,1469.48,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC9328,Electronics,79,97.45,Togo,7698.55,2010-12,2010-12,1
538648,2010-12-13 14:56:00,17937.0,SC5212,Electronics,53,45.39,Togo,2405.67,2010-12,2010-12,1
538648,2010-12-13 14:56:00,17937.0,SC1830,Electronics,71,96.51,Togo,6852.21,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC8062,Electronics,70,67.3,Togo,4711.0,2010-12,2010-12,1
538858,2010-12-14 13:58:00,16553.0,SC2982,Electronics,60,95.4,Togo,5724.0,2010-12,2010-12,1
538996,2010-12-15 12:06:00,15465.0,SC9414,Electronics,53,17.63,Togo,934.39,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC9613,Electronics,16,44.73,Togo,715.68,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC5405,Electronics,75,14.88,Togo,1116.0,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC1070,Electronics,37,3.77,Togo,139.49,2010-12,2010-12,1
539092,2010-12-16 10:08:00,15482.0,SC9763,Electronics,88,46.01,Togo,4048.88,2010-12,2010-12,1
539196,2010-12-16 12:09:00,18055.0,SC1505,Electronics,95,61.64,Togo,5855.8,2010-12,2010-12,1
539214,2010-12-16 12:31:00,17062.0,SC6809,Electronics,80,54.04,Togo,4323.2,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC8205,Electronics,57,77.97,Togo,4444.29,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC9017,Electronics,77,12.23,Togo,941.71,2010-12,2010-12,1
539247,2010-12-16 13:33:00,15311.0,SC1013,Electronics,28,51.89,Togo,1452.92,2010-12,2010-12,1
539252,2010-12-16 14:17:00,17744.0,SC7865,Electronics,97,65.44,Togo,6347.679999999999,2010-12,2010-12,1
539261,2010-12-16 14:34:00,15620.0,SC4792,Electronics,6,71.95,Togo,431.7000000000001,2010-12,2010-12,1
539295,2010-12-16 16:54:00,13767.0,SC5513,Electronics,11,87.7,Togo,964.7,2010-12,2010-12,1
539324,2010-12-16 19:51:00,14985.0,SC2739,Electronics,22,2.5,Togo,55.0,2010-12,2010-12,1
539353,2010-12-17 11:30:00,12782.0,SC6991,Electronics,85,51.19,Togo,4351.15,2010-12,2010-12,1
539403,2010-12-17 12:21:00,12647.0,SC3410,Electronics,45,67.07,Togo,3018.15,2010-12,2010-12,1
539487,2010-12-20 09:22:00,16153.0,SC7430,Electronics,82,43.06,Togo,3530.92,2010-12,2010-12,1
539502,2010-12-20 11:14:00,14099.0,SC9246,Electronics,47,41.94,Togo,1971.18,2010-12,2010-12,1
539551,2010-12-20 11:38:00,12721.0,SC3414,Electronics,15,24.65,Togo,369.75,2010-12,2010-12,1
539551,2010-12-20 11:38:00,12721.0,SC7196,Electronics,52,58.84,Togo,3059.6800000000003,2010-12,2010-12,1
539642,2010-12-20 15:35:00,15867.0,SC9854,Electronics,63,27.14,Togo,1709.82,2010-12,2010-12,1
539654,2010-12-20 17:05:00,17340.0,SC1434,Electronics,47,25.46,Togo,1196.62,2010-12,2010-12,1
539728,2010-12-21 14:26:00,16270.0,SC1706,Electronics,61,75.48,Togo,4604.280000000001,2010-12,2010-12,1
539933,2010-12-23 11:24:00,15235.0,SC9589,Electronics,62,56.43,Togo,3498.66,2010-12,2010-12,1
540120,2011-01-05 10:08:00,17675.0,SC5334,Electronics,50,37.54,Togo,1877.0,2011-01,2011-01,1
540181,2011-01-05 13:09:00,13199.0,SC2148,Electronics,37,96.45,Togo,3568.65,2011-01,2011-01,1
540240,2011-01-05 15:09:00,17585.0,SC8092,Electronics,36,74.46,Togo,2680.56,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC5351,Electronics,39,36.97,Togo,1441.83,2011-01,2011-01,1
540480,2011-01-07 15:27:00,12480.0,SC9951,Electronics,39,93.69,Togo,3653.91,2011-01,2011-01,1
540500,2011-01-09 10:26:00,15465.0,SC5585,Electronics,5,61.82,Togo,309.1,2011-01,2010-12,2
540506,2011-01-09 11:12:00,17796.0,SC7652,Electronics,57,20.01,Togo,1140.5700000000002,2011-01,2011-01,1
540514,2011-01-09 11:43:00,15708.0,SC2499,Electronics,5,46.98,Togo,234.9,2011-01,2011-01,1
540520,2011-01-09 12:31:00,17555.0,SC1629,Electronics,88,88.62,Togo,7798.56,2011-01,2011-01,1
540521,2011-01-09 12:46:00,12651.0,SC4602,Electronics,87,38.24,Togo,3326.88,2011-01,2011-01,1
540533,2011-01-09 14:12:00,15005.0,SC8557,Electronics,76,90.95,Togo,6912.2,2011-01,2010-12,2
540546,2011-01-09 15:56:00,12766.0,SC8061,Electronics,74,67.24,Togo,4975.759999999999,2011-01,2011-01,1
540561,2011-01-10 10:32:00,13004.0,SC6119,Electronics,62,86.98,Togo,5392.76,2011-01,2011-01,1
540647,2011-01-10 14:57:00,17406.0,SC9911,Electronics,32,91.44,Togo,2926.08,2011-01,2011-01,1
540803,2011-01-11 12:30:00,14669.0,SC7178,Electronics,66,61.25,Togo,4042.5,2011-01,2011-01,1
540827,2011-01-11 14:15:00,17569.0,SC2694,Electronics,42,82.02,Togo,3444.84,2011-01,2011-01,1
540838,2011-01-11 15:13:00,13862.0,SC3305,Electronics,12,9.05,Togo,108.6,2011-01,2011-01,1
540839,2011-01-11 15:42:00,16791.0,SC7349,Electronics,62,69.28,Togo,4295.36,2011-01,2011-01,1
540907,2011-01-12 11:52:00,13488.0,SC7825,Electronics,16,75.42,Togo,1206.72,2011-01,2011-01,1
540979,2011-01-12 15:06:00,15727.0,SC3667,Electronics,94,90.8,Togo,8535.199999999999,2011-01,2010-12,2
541014,2011-01-13 11:54:00,14085.0,SC9390,Electronics,31,38.48,Togo,1192.88,2011-01,2011-01,1
541086,2011-01-13 12:32:00,16503.0,SC5524,Electronics,70,57.29,Togo,4010.3,2011-01,2011-01,1
541215,2011-01-14 13:42:00,14329.0,SC1806,Electronics,75,37.51,Togo,2813.25,2011-01,2011-01,1
541238,2011-01-16 10:42:00,16746.0,SC4210,Electronics,45,55.87,Togo,2514.15,2011-01,2011-01,1
541259,2011-01-16 15:38:00,14404.0,SC5480,Electronics,98,25.54,Togo,2502.92,2011-01,2011-01,1
541410,2011-01-17 16:06:00,13089.0,SC9316,Electronics,37,83.72,Togo,3097.64,2011-01,2011-01,1
541491,2011-01-18 14:04:00,12510.0,SC7349,Electronics,44,96.86,Togo,4261.84,2011-01,2011-01,1
541604,2011-01-19 17:23:00,14572.0,SC7625,Electronics,95,56.93,Togo,5408.35,2011-01,2011-01,1
541604,2011-01-19 17:23:00,14572.0,SC3249,Electronics,8,5.07,Togo,40.56,2011-01,2011-01,1
541648,2011-01-20 11:15:00,17811.0,SC8176,Electronics,38,47.95,Togo,1822.1,2011-01,2011-01,1
541670,2011-01-20 12:34:00,14911.0,SC5076,Electronics,35,27.48,Togo,961.8,2011-01,2010-12,2
541684,2011-01-20 15:22:00,15498.0,SC5508,Electronics,4,41.78,Togo,167.12,2011-01,2011-01,1
541789,2011-01-21 13:07:00,14088.0,SC5702,Electronics,56,23.42,Togo,1311.52,2011-01,2011-01,1
541841,2011-01-23 11:53:00,14450.0,SC8875,Electronics,72,36.01,Togo,2592.72,2011-01,2011-01,1
541843,2011-01-23 12:08:00,13659.0,SC2430,Electronics,95,90.6,Togo,8607.0,2011-01,2011-01,1
541843,2011-01-23 12:08:00,13659.0,SC2345,Electronics,24,59.0,Togo,1416.0,2011-01,2011-01,1
541845,2011-01-23 12:41:00,15167.0,SC7126,Electronics,54,50.26,Togo,2714.04,2011-01,2011-01,1
541854,2011-01-23 14:58:00,18283.0,SC7655,Electronics,21,89.53,Togo,1880.13,2011-01,2011-01,1
541857,2011-01-23 15:17:00,12727.0,SC7345,Electronics,95,75.47,Togo,7169.65,2011-01,2011-01,1
541919,2011-01-24 11:35:00,14334.0,SC1493,Electronics,28,1.48,Togo,41.44,2011-01,2011-01,1
541985,2011-01-24 15:52:00,15052.0,SC4262,Electronics,22,30.41,Togo,669.02,2011-01,2011-01,1
541987,2011-01-24 16:05:00,14130.0,SC1643,Electronics,24,54.8,Togo,1315.1999999999998,2011-01,2011-01,1
541996,2011-01-25 10:20:00,18075.0,SC4849,Electronics,47,33.27,Togo,1563.69,2011-01,2011-01,1
542001,2011-01-25 10:56:00,14298.0,SC6878,Electronics,15,89.46,Togo,1341.9,2011-01,2011-01,1
542087,2011-01-25 12:35:00,14849.0,SC9612,Electronics,30,32.16,Togo,964.8,2011-01,2011-01,1
542151,2011-01-26 10:30:00,13491.0,SC2456,Electronics,66,91.06,Togo,6009.96,2011-01,2011-01,1
542231,2011-01-26 13:40:00,16714.0,SC3873,Electronics,84,68.22,Togo,5730.48,2011-01,2011-01,1
542241,2011-01-26 14:51:00,16409.0,SC9327,Electronics,86,65.68,Togo,5648.4800000000005,2011-01,2011-01,1
542345,2011-01-27 11:55:00,15910.0,SC9975,Electronics,85,10.56,Togo,897.6,2011-01,2011-01,1
542347,2011-01-27 12:06:00,12826.0,SC4937,Electronics,76,96.39,Togo,7325.64,2011-01,2011-01,1
542360,2011-01-27 12:40:00,14701.0,SC5803,Electronics,35,87.29,Togo,3055.15,2011-01,2011-01,1
542398,2011-01-27 15:36:00,13174.0,SC4353,Electronics,34,14.22,Togo,483.48,2011-01,2010-12,2
542587,2011-01-28 15:53:00,14401.0,SC9795,Electronics,56,57.08,Togo,3196.48,2011-01,2011-01,1
542595,2011-01-30 10:19:00,14040.0,SC7674,Electronics,23,45.06,Togo,1036.38,2011-01,2011-01,1
542601,2011-01-30 11:52:00,16897.0,SC4025,Electronics,30,9.42,Togo,282.6,2011-01,2011-01,1
542608,2011-01-30 13:51:00,16770.0,SC4966,Electronics,70,3.05,Togo,213.5,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC7013,Electronics,87,56.97,Togo,4956.39,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC4727,Electronics,87,1.16,Togo,100.92,2011-01,2011-01,1
542627,2011-01-31 09:51:00,14426.0,SC7795,Electronics,96,83.22,Togo,7989.12,2011-01,2011-01,1
542727,2011-01-31 15:09:00,17604.0,SC3705,Electronics,38,75.5,Togo,2869.0,2011-01,2011-01,1
