InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536420,2010-12-01 12:03:00,16583.0,SC4209,Furniture,36,14.67,Togo,528.12,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8786,Furniture,48,71.02,Togo,3408.96,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC4193,Furniture,14,86.36,Togo,1209.04,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC9092,Furniture,41,6.2,Togo,254.2,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8926,Furniture,93,78.22,Togo,7274.46,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC5200,Furniture,23,76.7,Togo,1764.1,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2452,Furniture,72,4.94,Togo,355.68,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC1554,Furniture,68,65.96,Togo,4485.28,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC1880,Furniture,28,1.19,Togo,33.32,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC9033,Furniture,12,77.79,Togo,933.48,2010-12,2010-12,1
536794,2010-12-02 15:40:00,13767.0,SC7061,Furniture,2,70.29,Togo,140.58,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC8074,Furniture,1,15.32,Togo,15.32,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC9176,Furniture,44,53.02,Togo,2332.88,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC4418,Furniture,60,84.68,Togo,5080.8,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC9037,Furniture,58,7.37,Togo,427.46,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC2794,Furniture,69,30.46,Togo,2101.74,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC9045,Furniture,99,84.97,Togo,8412.03,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC1590,Furniture,60,59.03,Togo,3541.8,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC4788,Furniture,1,24.27,Togo,24.27,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC8228,Furniture,80,10.62,Togo,849.5999999999999,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4449,Furniture,22,99.51,Togo,2189.2200000000003,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7118,Furniture,42,55.18,Togo,2317.56,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC5621,Furniture,67,32.68,Togo,2189.56,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC2749,Furniture,69,97.06,Togo,6697.14,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC8486,Furniture,22,15.92,Togo,350.24,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC6263,Furniture,43,60.85,Togo,2616.55,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC7344,Furniture,20,50.09,Togo,1001.8,2010-12,2010-12,1
537403,2010-12-06 14:43:00,17191.0,SC8963,Furniture,89,40.88,Togo,3638.32,2010-12,2010-12,1
537433,2010-12-06 16:36:00,12913.0,SC3155,Furniture,18,55.31,Togo,995.58,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC6914,Furniture,13,80.33,Togo,1044.29,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC1991,Furniture,81,35.11,Togo,2843.91,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC1041,Furniture,56,33.98,Togo,1902.88,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC9056,Furniture,74,59.29,Togo,4387.46,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC1622,Furniture,2,7.44,Togo,14.88,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC1553,Furniture,44,17.54,Togo,771.76,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC2803,Furniture,14,60.87,Togo,852.18,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC7787,Furniture,4,80.09,Togo,320.36,2010-12,2010-12,1
537819,2010-12-08 13:55:00,15298.0,SC7688,Furniture,43,56.23,Togo,2417.89,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC4547,Furniture,20,63.25,Togo,1265.0,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC4748,Furniture,88,1.22,Togo,107.36,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC5278,Furniture,84,93.77,Togo,7876.679999999999,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC7112,Furniture,56,88.07,Togo,4931.92,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC7937,Furniture,32,6.17,Togo,197.44,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC6813,Furniture,90,13.73,Togo,1235.7,2010-12,2010-12,1
