InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8678,Jewelry,3,99.58,Togo,298.74,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC8825,Jewelry,66,34.62,Togo,2284.92,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC6726,Jewelry,76,61.19,Togo,4650.44,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9438,Jewelry,82,74.4,Togo,6100.8,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2003,Jewelry,77,57.82,Togo,4452.14,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC1717,Jewelry,26,67.38,Togo,1751.88,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC9084,Jewelry,68,46.89,Togo,3188.52,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC7005,Jewelry,81,17.0,Togo,1377.0,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC6471,Jewelry,93,65.43,Togo,6084.990000000001,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6503,Jewelry,70,8.37,Togo,585.9,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC3962,Jewelry,45,68.46,Togo,3080.7,2010-12,2010-12,1
536735,2010-12-02 12:58:00,17381.0,SC5346,Jewelry,72,78.5,Togo,5652.0,2010-12,2010-12,1
536736,2010-12-02 12:59:00,17381.0,SC2013,Jewelry,87,16.13,Togo,1403.31,2010-12,2010-12,1
536777,2010-12-02 15:00:00,15732.0,SC8889,Jewelry,26,79.9,Togo,2077.4,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC6735,Jewelry,88,32.27,Togo,2839.76,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC9315,Jewelry,19,71.75,Togo,1363.25,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC8015,Jewelry,85,14.68,Togo,1247.8,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC3657,Jewelry,81,87.42,Togo,7081.02,2010-12,2010-12,1
