InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536528,2010-12-01 13:17:00,15525.0,SC9505,Kitchenware,74,39.29,Togo,2907.46,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC5596,Kitchenware,42,4.87,Togo,204.54,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC4536,Kitchenware,27,79.39,Togo,2143.53,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC5342,Kitchenware,73,56.62,Togo,4133.26,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC5045,Kitchenware,26,80.13,Togo,2083.38,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7675,Kitchenware,21,4.86,Togo,102.06,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8490,Kitchenware,55,27.22,Togo,1497.1,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8196,Kitchenware,54,24.66,Togo,1331.64,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC2142,Kitchenware,86,49.54,Togo,4260.44,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC8052,Kitchenware,96,84.67,Togo,8128.32,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC9347,Kitchenware,18,90.32,Togo,1625.7599999999998,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC9419,Kitchenware,85,79.25,Togo,6736.25,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC4869,Kitchenware,51,67.18,Togo,3426.1800000000003,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC7994,Kitchenware,7,24.89,Togo,174.23000000000002,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5588,Kitchenware,33,59.17,Togo,1952.61,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4856,Kitchenware,83,50.5,Togo,4191.5,2010-12,2010-12,1
