InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC1249,Sports Equipment,99,99.38,Togo,9838.62,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3322,Sports Equipment,3,71.34,Togo,214.02,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC5208,Sports Equipment,99,1.57,Togo,155.43,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8490,Sports Equipment,84,92.43,Togo,7764.120000000001,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC5338,Sports Equipment,82,52.45,Togo,4300.900000000001,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC6704,Sports Equipment,41,89.32,Togo,3662.12,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC2694,Sports Equipment,61,3.37,Togo,205.57,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC9470,Sports Equipment,83,7.4,Togo,614.2,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC2438,Sports Equipment,84,24.62,Togo,2068.08,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC5859,Sports Equipment,89,13.74,Togo,1222.86,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9062,Sports Equipment,5,92.41,Togo,462.05,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC7058,Sports Equipment,9,50.01,Togo,450.09,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC8473,Sports Equipment,66,31.65,Togo,2088.9,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC6679,Sports Equipment,13,52.08,Togo,677.04,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC8207,Sports Equipment,59,83.73,Togo,4940.070000000001,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC8224,Sports Equipment,96,18.56,Togo,1781.7599999999998,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2487,Sports Equipment,28,20.35,Togo,569.8000000000001,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC1946,Sports Equipment,41,55.25,Togo,2265.25,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC9981,Sports Equipment,83,94.57,Togo,7849.309999999999,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC5711,Sports Equipment,4,10.49,Togo,41.96,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC3769,Sports Equipment,83,79.92,Togo,6633.360000000001,2010-12,2010-12,1
537067,2010-12-05 11:57:00,14813.0,SC3838,Sports Equipment,5,56.8,Togo,284.0,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC6428,Sports Equipment,31,86.34,Togo,2676.54,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC7551,Sports Equipment,2,78.67,Togo,157.34,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC9569,Sports Equipment,52,2.01,Togo,104.51999999999998,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC6396,Sports Equipment,54,11.88,Togo,641.5200000000001,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC4102,Sports Equipment,64,74.87,Togo,4791.68,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC5019,Sports Equipment,75,97.69,Togo,7326.75,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1393,Sports Equipment,12,34.96,Togo,419.52,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC9973,Sports Equipment,59,80.53,Togo,4751.27,2010-12,2010-12,1
537258,2010-12-06 11:16:00,17227.0,SC8497,Sports Equipment,43,53.32,Togo,2292.76,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC1172,Sports Equipment,65,20.68,Togo,1344.2,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC2066,Sports Equipment,26,50.45,Togo,1311.7,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC8449,Sports Equipment,83,42.68,Togo,3542.44,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC6632,Sports Equipment,55,47.43,Togo,2608.65,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC1027,Sports Equipment,74,70.56,Togo,5221.4400000000005,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC5664,Sports Equipment,25,29.71,Togo,742.75,2010-12,2010-12,1
537419,2010-12-06 15:14:00,13495.0,SC5305,Sports Equipment,99,93.87,Togo,9293.13,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC2757,Sports Equipment,40,15.87,Togo,634.8,2010-12,2010-12,1
537470,2010-12-07 10:47:00,15018.0,SC7462,Sports Equipment,41,75.01,Togo,3075.4100000000003,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC6119,Sports Equipment,10,24.82,Togo,248.2,2010-12,2010-12,1
537538,2010-12-07 11:49:00,15353.0,SC2516,Sports Equipment,35,76.67,Togo,2683.4500000000003,2010-12,2010-12,1
537598,2010-12-07 12:37:00,14135.0,SC6102,Sports Equipment,26,44.06,Togo,1145.56,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC9548,Sports Equipment,64,96.33,Togo,6165.12,2010-12,2010-12,1
537681,2010-12-08 10:11:00,13329.0,SC1940,Sports Equipment,4,49.41,Togo,197.64,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC6752,Sports Equipment,32,10.31,Togo,329.92,2010-12,2010-12,1
537758,2010-12-08 11:41:00,16122.0,SC3515,Sports Equipment,19,11.22,Togo,213.18,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC2599,Sports Equipment,64,71.37,Togo,4567.68,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC5070,Sports Equipment,1,26.3,Togo,26.3,2010-12,2010-12,1
538010,2010-12-09 12:20:00,17526.0,SC7409,Sports Equipment,38,39.75,Togo,1510.5,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC7163,Sports Equipment,71,28.19,Togo,2001.49,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC2671,Sports Equipment,41,84.49,Togo,3464.09,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC8529,Sports Equipment,98,28.85,Togo,2827.3,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC1543,Sports Equipment,19,54.02,Togo,1026.38,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC3850,Sports Equipment,89,17.35,Togo,1544.15,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC5073,Sports Equipment,5,37.34,Togo,186.7,2010-12,2010-12,1
538113,2010-12-09 15:29:00,15811.0,SC4418,Sports Equipment,91,86.13,Togo,7837.83,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC7337,Sports Equipment,61,65.84,Togo,4016.24,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC8236,Sports Equipment,14,32.38,Togo,453.3200000000001,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC3257,Sports Equipment,53,57.43,Togo,3043.79,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC7249,Sports Equipment,43,80.37,Togo,3455.9100000000003,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC5036,Sports Equipment,43,63.08,Togo,2712.44,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3570,Sports Equipment,58,98.99,Togo,5741.42,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC2619,Sports Equipment,4,72.08,Togo,288.32,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC6253,Sports Equipment,6,18.86,Togo,113.16,2010-12,2010-12,1
538263,2010-12-10 12:44:00,18065.0,SC9177,Sports Equipment,78,48.99,Togo,3821.22,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC9910,Sports Equipment,39,78.86,Togo,3075.54,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC2163,Sports Equipment,52,40.63,Togo,2112.76,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC8299,Sports Equipment,89,43.17,Togo,3842.13,2010-12,2010-12,1
538363,2010-12-10 17:14:00,18016.0,SC8241,Sports Equipment,31,18.79,Togo,582.49,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC5803,Sports Equipment,55,34.01,Togo,1870.55,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC2419,Sports Equipment,66,75.86,Togo,5006.76,2010-12,2010-12,1
538409,2010-12-12 11:49:00,17236.0,SC1980,Sports Equipment,17,99.76,Togo,1695.92,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC7671,Sports Equipment,77,27.42,Togo,2111.34,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC7347,Sports Equipment,95,99.51,Togo,9453.45,2010-12,2010-12,1
538519,2010-12-12 16:20:00,18037.0,SC3639,Sports Equipment,22,79.63,Togo,1751.86,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC6327,Sports Equipment,80,94.1,Togo,7528.0,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC4911,Sports Equipment,99,63.5,Togo,6286.5,2010-12,2010-12,1
538722,2010-12-14 11:12:00,17975.0,SC6616,Sports Equipment,84,6.35,Togo,533.4,2010-12,2010-12,1
538722,2010-12-14 11:12:00,17975.0,SC8297,Sports Equipment,40,82.21,Togo,3288.4,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC5420,Sports Equipment,65,66.9,Togo,4348.5,2010-12,2010-12,1
538841,2010-12-14 13:11:00,16899.0,SC1912,Sports Equipment,9,85.94,Togo,773.46,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC1164,Sports Equipment,46,1.69,Togo,77.74,2010-12,2010-12,1
538967,2010-12-15 11:32:00,13495.0,SC3251,Sports Equipment,17,87.72,Togo,1491.24,2010-12,2010-12,1
539040,2010-12-15 15:14:00,17214.0,SC4267,Sports Equipment,93,79.27,Togo,7372.11,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC5623,Sports Equipment,9,89.32,Togo,803.8799999999999,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC5529,Sports Equipment,32,94.86,Togo,3035.52,2010-12,2010-12,1
539053,2010-12-15 16:32:00,16725.0,SC2368,Sports Equipment,91,99.25,Togo,9031.75,2010-12,2010-12,1
539086,2010-12-16 09:35:00,17001.0,SC6940,Sports Equipment,79,8.14,Togo,643.0600000000001,2010-12,2010-12,1
539112,2010-12-16 11:15:00,13468.0,SC6711,Sports Equipment,68,11.96,Togo,813.2800000000001,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC3654,Sports Equipment,90,98.59,Togo,8873.1,2010-12,2010-12,1
539196,2010-12-16 12:09:00,18055.0,SC8100,Sports Equipment,96,74.03,Togo,7106.88,2010-12,2010-12,1
539222,2010-12-16 13:00:00,14621.0,SC3406,Sports Equipment,76,85.07,Togo,6465.32,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC6862,Sports Equipment,6,48.82,Togo,292.92,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC3897,Sports Equipment,29,45.69,Togo,1325.01,2010-12,2010-12,1
