InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC6720,Toys,84,77.93,Togo,6546.120000000001,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC7189,Toys,78,61.61,Togo,4805.58,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC7565,Toys,66,75.61,Togo,4990.26,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2207,Toys,82,60.34,Togo,4947.88,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2066,Toys,18,19.11,Togo,343.98,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4770,Toys,33,76.24,Togo,2515.92,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC3068,Toys,91,46.84,Togo,4262.4400000000005,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8732,Toys,5,21.5,Togo,107.5,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3336,Toys,92,10.74,Togo,988.08,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC7740,Toys,13,69.57,Togo,904.41,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC7717,Toys,7,34.61,Togo,242.27,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC2855,Toys,62,93.38,Togo,5789.56,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC6647,Toys,60,59.79,Togo,3587.4,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC6252,Toys,12,11.5,Togo,138.0,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC9673,Toys,21,8.11,Togo,170.31,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC8530,Toys,10,86.93,Togo,869.3000000000001,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC6333,Toys,41,81.65,Togo,3347.65,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7090,Toys,50,5.95,Togo,297.5,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC6628,Toys,92,11.6,Togo,1067.2,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC1112,Toys,76,76.9,Togo,5844.400000000001,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC5514,Toys,35,50.86,Togo,1780.1,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC4653,Toys,31,22.69,Togo,703.39,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC3250,Toys,4,32.17,Togo,128.68,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC3277,Toys,53,25.66,Togo,1359.98,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC7578,Toys,87,68.79,Togo,5984.7300000000005,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9696,Toys,83,59.82,Togo,4965.06,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC2785,Toys,35,27.61,Togo,966.35,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC8445,Toys,79,41.11,Togo,3247.69,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8589,Toys,94,69.36,Togo,6519.84,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC3123,Toys,15,67.44,Togo,1011.6,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC3439,Toys,44,98.76,Togo,4345.4400000000005,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC1610,Toys,50,74.91,Togo,3745.5,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC2783,Toys,84,63.31,Togo,5318.04,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC5993,Toys,64,9.58,Togo,613.12,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8764,Toys,55,22.64,Togo,1245.2,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC3478,Toys,55,91.77,Togo,5047.349999999999,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC2915,Toys,66,22.7,Togo,1498.2,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC7529,Toys,13,7.15,Togo,92.95,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC3177,Toys,13,50.37,Togo,654.81,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC6086,Toys,10,21.26,Togo,212.6,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC1222,Toys,57,34.49,Togo,1965.93,2010-12,2010-12,1
537435,2010-12-06 16:58:00,17920.0,SC1843,Toys,81,89.32,Togo,7234.919999999999,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC9819,Toys,55,73.54,Togo,4044.7,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3589,Toys,36,57.71,Togo,2077.56,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC2802,Toys,100,93.29,Togo,9329.0,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC8349,Toys,59,63.75,Togo,3761.25,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC2676,Toys,50,53.04,Togo,2652.0,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC5269,Toys,44,58.14,Togo,2558.16,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC2762,Toys,93,11.45,Togo,1064.85,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC9497,Toys,15,96.45,Togo,1446.75,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9825,Toys,33,23.41,Togo,772.53,2010-12,2010-12,1
538002,2010-12-09 11:48:00,14932.0,SC2894,Toys,20,28.82,Togo,576.4,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC8312,Toys,26,37.66,Togo,979.16,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC3697,Toys,22,17.01,Togo,374.22,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC4127,Toys,54,75.8,Togo,4093.2,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC7455,Toys,56,78.87,Togo,4416.72,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC8671,Toys,60,98.59,Togo,5915.400000000001,2010-12,2010-12,1
538197,2010-12-10 10:56:00,14419.0,SC1461,Toys,26,48.43,Togo,1259.18,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC9944,Toys,85,3.27,Togo,277.95,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC2571,Toys,5,26.44,Togo,132.20000000000002,2010-12,2010-12,1
538252,2010-12-10 12:29:00,16019.0,SC9420,Toys,77,32.41,Togo,2495.57,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC6305,Toys,29,57.58,Togo,1669.82,2010-12,2010-12,1
538311,2010-12-10 13:48:00,12785.0,SC7926,Toys,4,56.8,Togo,227.2,2010-12,2010-12,1
538356,2010-12-10 15:56:00,14062.0,SC5297,Toys,60,51.16,Togo,3069.6,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC5059,Toys,85,74.33,Togo,6318.05,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC3299,Toys,55,95.91,Togo,5275.05,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC6556,Toys,1,62.31,Togo,62.31,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC2562,Toys,11,28.33,Togo,311.63,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC1843,Toys,65,99.36,Togo,6458.4,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC7117,Toys,65,81.86,Togo,5320.9,2010-12,2010-12,1
538629,2010-12-13 13:10:00,17799.0,SC6364,Toys,94,93.56,Togo,8794.64,2010-12,2010-12,1
538629,2010-12-13 13:10:00,17799.0,SC3110,Toys,70,55.33,Togo,3873.1,2010-12,2010-12,1
538651,2010-12-13 15:07:00,15311.0,SC4683,Toys,13,55.22,Togo,717.86,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC9080,Toys,95,26.53,Togo,2520.35,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC8258,Toys,53,93.79,Togo,4970.87,2010-12,2010-12,1
538715,2010-12-14 11:03:00,14907.0,SC8076,Toys,46,48.98,Togo,2253.08,2010-12,2010-12,1
538801,2010-12-14 11:51:00,16083.0,SC1145,Toys,39,14.28,Togo,556.92,2010-12,2010-12,1
538836,2010-12-14 13:09:00,12748.0,SC8723,Toys,23,58.86,Togo,1353.78,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC6618,Toys,34,76.78,Togo,2610.52,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC7532,Toys,41,17.26,Togo,707.6600000000001,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC8415,Toys,32,88.85,Togo,2843.2,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC6635,Toys,36,89.67,Togo,3228.12,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC4891,Toys,23,41.81,Togo,961.63,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC7233,Toys,66,66.98,Togo,4420.68,2010-12,2010-12,1
