InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536385,2010-12-01 09:56:00,17420.0,SC3369,Books,72,96.88,Tunisia,6975.36,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC4599,Books,73,27.43,Tunisia,2002.39,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7154,Books,38,44.82,Tunisia,1703.16,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5747,Books,9,88.16,Tunisia,793.4399999999999,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3623,Books,45,66.52,Tunisia,2993.4,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC6886,Books,73,5.34,Tunisia,389.82,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC6175,Books,34,87.81,Tunisia,2985.54,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC3076,Books,57,32.89,Tunisia,1874.73,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC7553,Books,37,34.91,Tunisia,1291.6699999999998,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6075,Books,84,16.63,Tunisia,1396.9199999999998,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC7973,Books,79,91.06,Tunisia,7193.74,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC4737,Books,88,44.15,Tunisia,3885.2,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC8241,Books,43,81.25,Tunisia,3493.75,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC3577,Books,58,60.49,Tunisia,3508.42,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5609,Books,65,31.2,Tunisia,2028.0,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC6398,Books,75,44.36,Tunisia,3327.0,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5319,Books,99,66.74,Tunisia,6607.259999999999,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC6500,Books,86,80.42,Tunisia,6916.12,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC6299,Books,56,92.3,Tunisia,5168.8,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC1522,Books,86,10.74,Tunisia,923.64,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC1996,Books,77,60.97,Tunisia,4694.69,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC3121,Books,38,89.69,Tunisia,3408.22,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC1586,Books,27,95.36,Tunisia,2574.72,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC9893,Books,68,52.29,Tunisia,3555.72,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC3215,Books,50,45.21,Tunisia,2260.5,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC2360,Books,59,79.49,Tunisia,4689.91,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9527,Books,52,53.96,Tunisia,2805.92,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2509,Books,74,54.91,Tunisia,4063.34,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC3725,Books,87,21.12,Tunisia,1837.44,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC3571,Books,41,27.84,Tunisia,1141.44,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC4398,Books,18,16.73,Tunisia,301.14,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC6165,Books,12,4.68,Tunisia,56.16,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC8746,Books,19,35.57,Tunisia,675.83,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9388,Books,83,70.08,Tunisia,5816.639999999999,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC1003,Books,59,65.34,Tunisia,3855.06,2010-12,2010-12,1
537244,2010-12-06 10:20:00,17674.0,SC4311,Books,71,13.58,Tunisia,964.18,2010-12,2010-12,1
537256,2010-12-06 11:06:00,16210.0,SC4881,Books,15,16.91,Tunisia,253.65,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC6223,Books,45,11.38,Tunisia,512.1,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC5275,Books,32,16.61,Tunisia,531.52,2010-12,2010-12,1
537386,2010-12-06 13:32:00,14911.0,SC2764,Books,51,77.14,Tunisia,3934.14,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC9357,Books,7,35.44,Tunisia,248.08,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC2946,Books,64,34.49,Tunisia,2207.36,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC9821,Books,36,15.76,Tunisia,567.36,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC9854,Books,70,44.61,Tunisia,3122.7,2010-12,2010-12,1
537674,2010-12-08 09:51:00,15628.0,SC9262,Books,86,70.76,Tunisia,6085.360000000001,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC4924,Books,2,14.77,Tunisia,29.54,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC4526,Books,37,69.75,Tunisia,2580.75,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC6886,Books,6,22.26,Tunisia,133.56,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC8082,Books,90,25.41,Tunisia,2286.9,2010-12,2010-12,1
537995,2010-12-09 11:39:00,12712.0,SC1266,Books,18,2.2,Tunisia,39.6,2010-12,2010-12,1
538014,2010-12-09 12:49:00,14440.0,SC6388,Books,43,83.22,Tunisia,3578.46,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC4814,Books,94,59.72,Tunisia,5613.68,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC3506,Books,84,18.66,Tunisia,1567.44,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC7826,Books,51,66.38,Tunisia,3385.38,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC3127,Books,48,73.88,Tunisia,3546.24,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC2293,Books,100,42.57,Tunisia,4257.0,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC5142,Books,51,50.29,Tunisia,2564.79,2010-12,2010-12,1
538182,2010-12-10 10:18:00,17827.0,SC8673,Books,68,7.47,Tunisia,507.96,2010-12,2010-12,1
538187,2010-12-10 10:27:00,16499.0,SC9057,Books,67,68.85,Tunisia,4612.95,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC7275,Books,93,99.49,Tunisia,9252.57,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC4176,Books,30,18.34,Tunisia,550.2,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC3566,Books,50,7.31,Tunisia,365.5,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC5791,Books,53,37.49,Tunisia,1986.97,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC7748,Books,60,99.0,Tunisia,5940.0,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC3239,Books,48,48.0,Tunisia,2304.0,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC9220,Books,45,40.47,Tunisia,1821.15,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC7441,Books,20,9.62,Tunisia,192.4,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC6296,Books,38,7.24,Tunisia,275.12,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC4151,Books,72,53.52,Tunisia,3853.44,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC3316,Books,59,4.05,Tunisia,238.95,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC7630,Books,13,73.66,Tunisia,957.58,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC6442,Books,86,32.97,Tunisia,2835.42,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC5856,Books,29,37.18,Tunisia,1078.22,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC8713,Books,68,79.6,Tunisia,5412.799999999999,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC2883,Books,76,7.55,Tunisia,573.8,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC3283,Books,84,15.22,Tunisia,1278.48,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC1584,Books,62,18.16,Tunisia,1125.92,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC1976,Books,13,77.01,Tunisia,1001.13,2010-12,2010-12,1
538811,2010-12-14 12:22:00,13178.0,SC3896,Books,18,59.74,Tunisia,1075.32,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC8375,Books,88,22.62,Tunisia,1990.56,2010-12,2010-12,1
538844,2010-12-14 13:19:00,14680.0,SC5222,Books,99,94.44,Tunisia,9349.56,2010-12,2010-12,1
538996,2010-12-15 12:06:00,15465.0,SC9394,Books,96,59.18,Tunisia,5681.28,2010-12,2010-12,1
539018,2010-12-15 14:00:00,16134.0,SC2263,Books,2,22.37,Tunisia,44.74,2010-12,2010-12,1
539099,2010-12-16 10:30:00,16670.0,SC4060,Books,65,96.05,Tunisia,6243.25,2010-12,2010-12,1
539212,2010-12-16 12:20:00,17146.0,SC2621,Books,17,93.02,Tunisia,1581.34,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC7093,Books,39,93.1,Tunisia,3630.9,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC9218,Books,80,94.39,Tunisia,7551.2,2010-12,2010-12,1
539246,2010-12-16 13:33:00,14606.0,SC7432,Books,88,27.34,Tunisia,2405.92,2010-12,2010-12,1
539281,2010-12-16 15:45:00,18176.0,SC9421,Books,29,73.21,Tunisia,2123.09,2010-12,2010-12,1
539338,2010-12-17 10:54:00,17404.0,SC2868,Books,84,83.79,Tunisia,7038.360000000001,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC5449,Books,31,81.56,Tunisia,2528.36,2010-12,2010-12,1
539471,2010-12-19 14:16:00,17358.0,SC4059,Books,47,11.46,Tunisia,538.62,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC2450,Books,16,69.84,Tunisia,1117.44,2010-12,2010-12,1
539501,2010-12-20 11:08:00,17085.0,SC5859,Books,48,24.54,Tunisia,1177.92,2010-12,2010-12,1
539570,2010-12-20 12:05:00,15078.0,SC5731,Books,40,25.92,Tunisia,1036.8000000000002,2010-12,2010-12,1
539593,2010-12-20 13:31:00,13319.0,SC9892,Books,7,8.34,Tunisia,58.38,2010-12,2010-12,1
539647,2010-12-20 16:08:00,15460.0,SC1503,Books,1,9.04,Tunisia,9.04,2010-12,2010-12,1
539663,2010-12-21 10:26:00,17961.0,SC9411,Books,42,25.37,Tunisia,1065.54,2010-12,2010-12,1
539725,2010-12-21 13:58:00,17211.0,SC3746,Books,38,13.75,Tunisia,522.5,2010-12,2010-12,1
539826,2010-12-22 12:39:00,15044.0,SC8229,Books,35,80.16,Tunisia,2805.6,2010-12,2010-12,1
539981,2010-12-23 14:35:00,13304.0,SC5620,Books,40,65.06,Tunisia,2602.4,2010-12,2010-12,1
540031,2011-01-04 13:50:00,17975.0,SC8588,Books,83,19.2,Tunisia,1593.6,2011-01,2011-01,1
540094,2011-01-04 15:33:00,14221.0,SC6325,Books,46,69.62,Tunisia,3202.5200000000004,2011-01,2011-01,1
540183,2011-01-05 13:37:00,15093.0,SC9680,Books,37,77.41,Tunisia,2864.17,2011-01,2011-01,1
540185,2011-01-05 13:40:00,14653.0,SC6102,Books,74,76.52,Tunisia,5662.48,2011-01,2011-01,1
540242,2011-01-05 15:30:00,15046.0,SC2252,Books,94,61.86,Tunisia,5814.84,2011-01,2011-01,1
540248,2011-01-05 15:57:00,15034.0,SC4738,Books,34,24.75,Tunisia,841.5,2011-01,2011-01,1
540357,2011-01-06 15:14:00,13093.0,SC7958,Books,76,63.53,Tunisia,4828.28,2011-01,2011-01,1
540365,2011-01-06 16:12:00,12413.0,SC9511,Books,44,23.47,Tunisia,1032.6799999999998,2011-01,2011-01,1
540365,2011-01-06 16:12:00,12413.0,SC3687,Books,77,18.23,Tunisia,1403.71,2011-01,2011-01,1
540373,2011-01-06 17:10:00,13280.0,SC7531,Books,54,6.57,Tunisia,354.78000000000003,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC8658,Books,52,71.99,Tunisia,3743.48,2011-01,2011-01,1
540469,2011-01-07 14:04:00,12484.0,SC8677,Books,78,63.69,Tunisia,4967.82,2011-01,2011-01,1
540506,2011-01-09 11:12:00,17796.0,SC4496,Books,87,13.31,Tunisia,1157.97,2011-01,2011-01,1
540506,2011-01-09 11:12:00,17796.0,SC9910,Books,58,12.08,Tunisia,700.64,2011-01,2011-01,1
540506,2011-01-09 11:12:00,17796.0,SC8115,Books,68,29.42,Tunisia,2000.56,2011-01,2011-01,1
540520,2011-01-09 12:31:00,17555.0,SC2993,Books,89,14.48,Tunisia,1288.72,2011-01,2011-01,1
540541,2011-01-09 15:13:00,15799.0,SC8797,Books,74,54.05,Tunisia,3999.7,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC8914,Books,87,23.05,Tunisia,2005.35,2011-01,2011-01,1
540642,2011-01-10 13:22:00,12681.0,SC8004,Books,51,91.24,Tunisia,4653.24,2011-01,2011-01,1
