InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536406,2010-12-01 11:33:00,17850.0,SC1039,Cloths,72,52.31,Tunisia,3766.32,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5503,Cloths,59,95.18,Tunisia,5615.620000000001,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC9375,Cloths,27,49.38,Tunisia,1333.26,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3301,Cloths,22,14.98,Tunisia,329.56,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC9759,Cloths,92,29.83,Tunisia,2744.36,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC9839,Cloths,16,34.74,Tunisia,555.84,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC6588,Cloths,72,41.76,Tunisia,3006.72,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC3567,Cloths,98,2.64,Tunisia,258.72,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2410,Cloths,41,26.51,Tunisia,1086.91,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC9668,Cloths,72,50.42,Tunisia,3630.24,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9345,Cloths,87,27.01,Tunisia,2349.8700000000003,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC2270,Cloths,60,71.93,Tunisia,4315.8,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC6673,Cloths,57,31.58,Tunisia,1800.06,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC2364,Cloths,30,81.84,Tunisia,2455.2000000000003,2010-12,2010-12,1
537052,2010-12-05 11:15:00,16839.0,SC3222,Cloths,86,68.3,Tunisia,5873.8,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9402,Cloths,11,94.12,Tunisia,1035.3200000000002,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC5750,Cloths,75,16.49,Tunisia,1236.7499999999998,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5917,Cloths,6,65.45,Tunisia,392.7000000000001,2010-12,2010-12,1
537226,2010-12-06 08:34:00,15987.0,SC4361,Cloths,30,18.52,Tunisia,555.6,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6794,Cloths,7,85.17,Tunisia,596.19,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC9521,Cloths,99,85.87,Tunisia,8501.130000000001,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC1784,Cloths,6,95.98,Tunisia,575.88,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC5495,Cloths,24,12.14,Tunisia,291.36,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC8056,Cloths,94,18.91,Tunisia,1777.54,2010-12,2010-12,1
537538,2010-12-07 11:49:00,15353.0,SC7384,Cloths,19,19.11,Tunisia,363.09,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC1797,Cloths,87,63.22,Tunisia,5500.14,2010-12,2010-12,1
537609,2010-12-07 13:22:00,17675.0,SC3597,Cloths,24,61.63,Tunisia,1479.12,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC4241,Cloths,1,74.57,Tunisia,74.57,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC7389,Cloths,29,40.87,Tunisia,1185.23,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC4407,Cloths,33,39.9,Tunisia,1316.7,2010-12,2010-12,1
537694,2010-12-08 10:46:00,14901.0,SC3106,Cloths,71,45.84,Tunisia,3254.6400000000003,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC1340,Cloths,51,47.31,Tunisia,2412.81,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC3860,Cloths,8,34.08,Tunisia,272.64,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC6896,Cloths,81,72.13,Tunisia,5842.53,2010-12,2010-12,1
537887,2010-12-09 10:00:00,18092.0,SC7258,Cloths,92,74.79,Tunisia,6880.68,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC3278,Cloths,94,79.48,Tunisia,7471.120000000001,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC7656,Cloths,84,59.38,Tunisia,4987.92,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC7762,Cloths,53,1.23,Tunisia,65.19,2010-12,2010-12,1
538056,2010-12-09 13:34:00,17198.0,SC5672,Cloths,18,69.53,Tunisia,1251.54,2010-12,2010-12,1
538067,2010-12-09 13:59:00,15288.0,SC4258,Cloths,97,66.66,Tunisia,6466.02,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC8833,Cloths,24,61.53,Tunisia,1476.72,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC1794,Cloths,17,61.44,Tunisia,1044.48,2010-12,2010-12,1
538169,2010-12-09 19:28:00,13230.0,SC8529,Cloths,66,39.47,Tunisia,2605.02,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC2820,Cloths,34,93.37,Tunisia,3174.58,2010-12,2010-12,1
538180,2010-12-10 09:53:00,13418.0,SC1644,Cloths,47,19.34,Tunisia,908.98,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC2637,Cloths,52,4.69,Tunisia,243.88,2010-12,2010-12,1
538211,2010-12-10 11:47:00,17690.0,SC7733,Cloths,68,84.35,Tunisia,5735.799999999999,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC2959,Cloths,46,37.93,Tunisia,1744.78,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC7457,Cloths,48,2.21,Tunisia,106.08,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC8835,Cloths,94,51.42,Tunisia,4833.4800000000005,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC8839,Cloths,35,9.1,Tunisia,318.5,2010-12,2010-12,1
538503,2010-12-12 12:56:00,17188.0,SC5541,Cloths,90,26.26,Tunisia,2363.4,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC5741,Cloths,84,13.61,Tunisia,1143.24,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC6456,Cloths,4,53.44,Tunisia,213.76,2010-12,2010-12,1
538631,2010-12-13 13:27:00,13408.0,SC4512,Cloths,97,70.58,Tunisia,6846.26,2010-12,2010-12,1
538708,2010-12-14 10:43:00,16202.0,SC1975,Cloths,5,76.31,Tunisia,381.55,2010-12,2010-12,1
538807,2010-12-14 12:06:00,17194.0,SC3331,Cloths,12,89.38,Tunisia,1072.56,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC3750,Cloths,91,16.18,Tunisia,1472.38,2010-12,2010-12,1
538832,2010-12-14 13:03:00,17158.0,SC8588,Cloths,28,92.44,Tunisia,2588.32,2010-12,2010-12,1
538841,2010-12-14 13:11:00,16899.0,SC6868,Cloths,88,37.01,Tunisia,3256.88,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC6281,Cloths,63,84.97,Tunisia,5353.11,2010-12,2010-12,1
538862,2010-12-14 14:11:00,16710.0,SC2452,Cloths,26,68.59,Tunisia,1783.34,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC5388,Cloths,44,74.28,Tunisia,3268.32,2010-12,2010-12,1
538872,2010-12-14 15:13:00,13097.0,SC7984,Cloths,49,24.77,Tunisia,1213.73,2010-12,2010-12,1
538894,2010-12-14 17:22:00,16161.0,SC8891,Cloths,75,3.25,Tunisia,243.75,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC5956,Cloths,31,57.72,Tunisia,1789.32,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC9916,Cloths,18,28.79,Tunisia,518.22,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC5745,Cloths,4,16.31,Tunisia,65.24,2010-12,2010-12,1
539015,2010-12-15 13:38:00,15822.0,SC1442,Cloths,85,75.42,Tunisia,6410.7,2010-12,2010-12,1
539036,2010-12-15 14:35:00,14913.0,SC6251,Cloths,25,47.12,Tunisia,1178.0,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC1293,Cloths,28,8.26,Tunisia,231.28,2010-12,2010-12,1
539087,2010-12-16 09:44:00,13093.0,SC2890,Cloths,34,89.16,Tunisia,3031.44,2010-12,2010-12,1
539095,2010-12-16 10:18:00,16037.0,SC8121,Cloths,90,46.64,Tunisia,4197.6,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC1408,Cloths,93,60.89,Tunisia,5662.77,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC2209,Cloths,73,26.32,Tunisia,1921.36,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC6666,Cloths,63,15.62,Tunisia,984.06,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC9850,Cloths,52,23.13,Tunisia,1202.76,2010-12,2010-12,1
539417,2010-12-17 13:57:00,17007.0,SC3172,Cloths,80,12.79,Tunisia,1023.2,2010-12,2010-12,1
539421,2010-12-17 14:21:00,14016.0,SC2639,Cloths,29,10.4,Tunisia,301.6,2010-12,2010-12,1
539421,2010-12-17 14:21:00,14016.0,SC8905,Cloths,6,98.25,Tunisia,589.5,2010-12,2010-12,1
539422,2010-12-17 14:23:00,13033.0,SC6578,Cloths,92,22.07,Tunisia,2030.44,2010-12,2010-12,1
539444,2010-12-17 15:52:00,14146.0,SC3173,Cloths,63,33.07,Tunisia,2083.41,2010-12,2010-12,1
539459,2010-12-17 17:33:00,12839.0,SC7921,Cloths,78,55.05,Tunisia,4293.9,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC6118,Cloths,21,86.74,Tunisia,1821.54,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC4975,Cloths,64,6.1,Tunisia,390.4,2010-12,2010-12,1
539496,2010-12-20 10:38:00,13050.0,SC7764,Cloths,28,13.54,Tunisia,379.12,2010-12,2010-12,1
539570,2010-12-20 12:05:00,15078.0,SC9716,Cloths,34,56.9,Tunisia,1934.6,2010-12,2010-12,1
539647,2010-12-20 16:08:00,15460.0,SC1561,Cloths,67,66.23,Tunisia,4437.41,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC1745,Cloths,14,18.74,Tunisia,262.36,2010-12,2010-12,1
539663,2010-12-21 10:26:00,17961.0,SC8715,Cloths,74,7.39,Tunisia,546.86,2010-12,2010-12,1
539721,2010-12-21 13:34:00,17306.0,SC6260,Cloths,96,20.66,Tunisia,1983.36,2010-12,2010-12,1
539920,2010-12-23 11:06:00,14085.0,SC9606,Cloths,29,80.54,Tunisia,2335.6600000000003,2010-12,2010-12,1
539933,2010-12-23 11:24:00,15235.0,SC5619,Cloths,85,48.09,Tunisia,4087.65,2010-12,2010-12,1
540022,2011-01-04 12:57:00,17188.0,SC5498,Cloths,63,82.2,Tunisia,5178.6,2011-01,2010-12,2
540022,2011-01-04 12:57:00,17188.0,SC4586,Cloths,88,92.88,Tunisia,8173.44,2011-01,2010-12,2
540023,2011-01-04 12:58:00,15039.0,SC6536,Cloths,14,40.28,Tunisia,563.9200000000001,2011-01,2011-01,1
540095,2011-01-04 15:40:00,14553.0,SC4955,Cloths,57,58.74,Tunisia,3348.1800000000003,2011-01,2011-01,1
540098,2011-01-04 15:50:00,16241.0,SC1264,Cloths,36,57.38,Tunisia,2065.6800000000003,2011-01,2011-01,1
540183,2011-01-05 13:37:00,15093.0,SC4056,Cloths,40,51.75,Tunisia,2070.0,2011-01,2011-01,1
540357,2011-01-06 15:14:00,13093.0,SC7824,Cloths,2,6.71,Tunisia,13.42,2011-01,2010-12,2
540364,2011-01-06 16:03:00,14505.0,SC6001,Cloths,20,99.13,Tunisia,1982.6,2011-01,2010-12,2
540372,2011-01-06 16:41:00,13081.0,SC2306,Cloths,87,68.6,Tunisia,5968.2,2011-01,2011-01,1
540412,2011-01-07 10:27:00,13842.0,SC2528,Cloths,57,17.25,Tunisia,983.25,2011-01,2011-01,1
540464,2011-01-07 13:17:00,14298.0,SC5575,Cloths,25,51.14,Tunisia,1278.5,2011-01,2011-01,1
540469,2011-01-07 14:04:00,12484.0,SC7117,Cloths,12,28.4,Tunisia,340.79999999999995,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC9637,Cloths,68,14.18,Tunisia,964.24,2011-01,2011-01,1
540499,2011-01-09 10:21:00,16923.0,SC2163,Cloths,94,48.42,Tunisia,4551.4800000000005,2011-01,2011-01,1
540504,2011-01-09 11:02:00,13668.0,SC6173,Cloths,6,81.02,Tunisia,486.12,2011-01,2011-01,1
540514,2011-01-09 11:43:00,15708.0,SC5611,Cloths,87,67.12,Tunisia,5839.4400000000005,2011-01,2011-01,1
540532,2011-01-09 14:11:00,14702.0,SC3003,Cloths,94,85.1,Tunisia,7999.4,2011-01,2011-01,1
540536,2011-01-09 14:21:00,17757.0,SC4334,Cloths,11,51.59,Tunisia,567.49,2011-01,2011-01,1
540539,2011-01-09 14:42:00,18260.0,SC3498,Cloths,4,82.67,Tunisia,330.68,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC6225,Cloths,50,15.88,Tunisia,794.0,2011-01,2011-01,1
540595,2011-01-10 11:35:00,14321.0,SC2025,Cloths,24,87.31,Tunisia,2095.44,2011-01,2011-01,1
540769,2011-01-11 10:38:00,12601.0,SC4146,Cloths,52,99.45,Tunisia,5171.400000000001,2011-01,2011-01,1
540798,2011-01-11 12:11:00,17365.0,SC1750,Cloths,42,3.5,Tunisia,147.0,2011-01,2011-01,1
540839,2011-01-11 15:42:00,16791.0,SC8877,Cloths,12,67.11,Tunisia,805.3199999999999,2011-01,2011-01,1
540957,2011-01-12 13:30:00,15311.0,SC9413,Cloths,70,34.77,Tunisia,2433.9,2011-01,2011-01,1
540981,2011-01-12 15:25:00,12868.0,SC3933,Cloths,16,21.79,Tunisia,348.64,2011-01,2011-01,1
540994,2011-01-13 09:29:00,13089.0,SC2080,Cloths,1,93.56,Tunisia,93.56,2011-01,2011-01,1
541002,2011-01-13 10:33:00,12951.0,SC2236,Cloths,19,68.35,Tunisia,1298.65,2011-01,2011-01,1
541110,2011-01-13 15:11:00,15916.0,SC8329,Cloths,52,1.82,Tunisia,94.64,2011-01,2011-01,1
541115,2011-01-13 15:34:00,12578.0,SC7804,Cloths,1,16.32,Tunisia,16.32,2011-01,2011-01,1
