InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC3557,Cosmetics,59,54.88,Tunisia,3237.92,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC1826,Cosmetics,89,38.46,Tunisia,3422.94,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4585,Cosmetics,36,27.65,Tunisia,995.4,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1487,Cosmetics,71,71.85,Tunisia,5101.349999999999,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC1716,Cosmetics,77,72.14,Tunisia,5554.78,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC4963,Cosmetics,23,47.14,Tunisia,1084.22,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1983,Cosmetics,37,90.96,Tunisia,3365.52,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9298,Cosmetics,98,51.02,Tunisia,4999.96,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7211,Cosmetics,3,50.69,Tunisia,152.07,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC6658,Cosmetics,53,68.56,Tunisia,3633.68,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3564,Cosmetics,62,46.93,Tunisia,2909.66,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC1810,Cosmetics,20,18.81,Tunisia,376.2,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1995,Cosmetics,18,49.75,Tunisia,895.5,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC2507,Cosmetics,90,65.51,Tunisia,5895.900000000001,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC4033,Cosmetics,29,19.76,Tunisia,573.0400000000001,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC2575,Cosmetics,6,31.34,Tunisia,188.04,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3051,Cosmetics,50,44.98,Tunisia,2249.0,2010-12,2010-12,1
