InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536532,2010-12-01 13:24:00,12433.0,SC2978,Electronics,40,45.93,Tunisia,1837.2,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC7401,Electronics,32,38.54,Tunisia,1233.28,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC1838,Electronics,37,79.2,Tunisia,2930.4,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC3512,Electronics,29,67.15,Tunisia,1947.35,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC1513,Electronics,80,69.43,Tunisia,5554.400000000001,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC2337,Electronics,10,38.54,Tunisia,385.4,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC5167,Electronics,39,83.63,Tunisia,3261.57,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC3132,Electronics,52,65.78,Tunisia,3420.56,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2286,Electronics,17,28.0,Tunisia,476.0,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC4560,Electronics,31,26.88,Tunisia,833.28,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC7674,Electronics,91,58.99,Tunisia,5368.09,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC4201,Electronics,19,93.85,Tunisia,1783.15,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC5413,Electronics,9,8.2,Tunisia,73.8,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC9775,Electronics,50,58.02,Tunisia,2901.0,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC9382,Electronics,93,1.87,Tunisia,173.91,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC6211,Electronics,42,21.7,Tunisia,911.4,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC8206,Electronics,21,31.7,Tunisia,665.6999999999999,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC6056,Electronics,35,11.56,Tunisia,404.6,2010-12,2010-12,1
