InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536385,2010-12-01 09:56:00,17420.0,SC6647,Furniture,33,27.94,Tunisia,922.02,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4735,Furniture,88,73.18,Tunisia,6439.84,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC6729,Furniture,31,20.41,Tunisia,632.71,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC8617,Furniture,82,62.76,Tunisia,5146.32,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5022,Furniture,53,58.42,Tunisia,3096.26,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC5388,Furniture,65,93.07,Tunisia,6049.549999999999,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC3537,Furniture,95,70.52,Tunisia,6699.4,2010-12,2010-12,1
536844,2010-12-02 18:49:00,14236.0,SC9512,Furniture,5,17.83,Tunisia,89.14999999999999,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC3570,Furniture,28,58.8,Tunisia,1646.4,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9040,Furniture,9,55.58,Tunisia,500.22,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC8088,Furniture,57,73.08,Tunisia,4165.56,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC1130,Furniture,54,91.75,Tunisia,4954.5,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC2987,Furniture,11,31.22,Tunisia,343.42,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4764,Furniture,45,96.34,Tunisia,4335.3,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC6926,Furniture,92,41.75,Tunisia,3841.0,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2501,Furniture,17,50.25,Tunisia,854.25,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2998,Furniture,24,2.48,Tunisia,59.52,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6287,Furniture,55,92.66,Tunisia,5096.3,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC1177,Furniture,78,83.0,Tunisia,6474.0,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC9135,Furniture,69,18.76,Tunisia,1294.44,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC1082,Furniture,30,62.74,Tunisia,1882.2,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8715,Furniture,4,80.67,Tunisia,322.68,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC7556,Furniture,97,90.82,Tunisia,8809.539999999999,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC8307,Furniture,38,31.14,Tunisia,1183.32,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC8822,Furniture,36,7.05,Tunisia,253.8,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC1453,Furniture,35,38.9,Tunisia,1361.5,2010-12,2010-12,1
