InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536395,2010-12-01 10:47:00,13767.0,SC9357,Jewelry,60,99.24,Tunisia,5954.4,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2631,Jewelry,7,52.27,Tunisia,365.89,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1636,Jewelry,19,85.34,Tunisia,1621.46,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6473,Jewelry,95,60.57,Tunisia,5754.15,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC5638,Jewelry,77,30.3,Tunisia,2333.1,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2105,Jewelry,29,56.68,Tunisia,1643.72,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC9649,Jewelry,93,5.55,Tunisia,516.15,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC8575,Jewelry,28,20.6,Tunisia,576.8000000000001,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC7912,Jewelry,68,21.71,Tunisia,1476.28,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC3076,Jewelry,13,65.58,Tunisia,852.54,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC8080,Jewelry,53,23.73,Tunisia,1257.69,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC1221,Jewelry,99,78.97,Tunisia,7818.03,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC3174,Jewelry,26,15.06,Tunisia,391.56,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC8382,Jewelry,90,92.46,Tunisia,8321.4,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC4905,Jewelry,25,77.93,Tunisia,1948.25,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC3527,Jewelry,82,99.34,Tunisia,8145.88,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6193,Jewelry,48,15.66,Tunisia,751.6800000000001,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC2137,Jewelry,52,85.66,Tunisia,4454.32,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC8251,Jewelry,9,7.16,Tunisia,64.44,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC5718,Jewelry,70,4.19,Tunisia,293.3,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC8401,Jewelry,15,24.77,Tunisia,371.55,2010-12,2010-12,1
537031,2010-12-03 16:45:00,16455.0,SC1589,Jewelry,37,43.83,Tunisia,1621.71,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC7036,Jewelry,40,73.5,Tunisia,2940.0,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC1711,Jewelry,71,26.85,Tunisia,1906.35,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5091,Jewelry,78,24.62,Tunisia,1920.36,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC5908,Jewelry,77,84.48,Tunisia,6504.96,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC2658,Jewelry,62,98.23,Tunisia,6090.26,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9227,Jewelry,19,39.37,Tunisia,748.03,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC8721,Jewelry,56,76.71,Tunisia,4295.759999999999,2010-12,2010-12,1
537244,2010-12-06 10:20:00,17674.0,SC4150,Jewelry,50,41.68,Tunisia,2084.0,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC7734,Jewelry,87,3.47,Tunisia,301.89000000000004,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC7726,Jewelry,39,75.1,Tunisia,2928.9,2010-12,2010-12,1
