InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536415,2010-12-01 11:57:00,12838.0,SC7914,Shoes,37,68.08,Tunisia,2518.96,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9318,Shoes,30,4.89,Tunisia,146.7,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3881,Shoes,55,92.7,Tunisia,5098.5,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC4972,Shoes,56,43.28,Tunisia,2423.6800000000003,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC2248,Shoes,67,17.95,Tunisia,1202.65,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC9005,Shoes,78,57.55,Tunisia,4488.9,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC9203,Shoes,36,82.37,Tunisia,2965.32,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC6018,Shoes,20,32.21,Tunisia,644.2,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC6409,Shoes,50,53.49,Tunisia,2674.5,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC9094,Shoes,18,19.22,Tunisia,345.96,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC2797,Shoes,39,54.7,Tunisia,2133.3,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1912,Shoes,27,12.02,Tunisia,324.54,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC8557,Shoes,84,69.16,Tunisia,5809.44,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC8346,Shoes,67,41.98,Tunisia,2812.66,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1449,Shoes,45,94.78,Tunisia,4265.1,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC7882,Shoes,98,14.63,Tunisia,1433.74,2010-12,2010-12,1
537035,2010-12-03 17:21:00,13081.0,SC4802,Shoes,10,9.56,Tunisia,95.6,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC4521,Shoes,45,27.85,Tunisia,1253.25,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC4755,Shoes,88,27.46,Tunisia,2416.48,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC1669,Shoes,76,39.78,Tunisia,3023.28,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC7469,Shoes,35,59.99,Tunisia,2099.65,2010-12,2010-12,1
537223,2010-12-05 16:10:00,13579.0,SC2045,Shoes,11,23.77,Tunisia,261.47,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC3622,Shoes,92,74.09,Tunisia,6816.280000000001,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC9069,Shoes,51,71.81,Tunisia,3662.31,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC6671,Shoes,19,99.43,Tunisia,1889.17,2010-12,2010-12,1
537435,2010-12-06 16:58:00,17920.0,SC3318,Shoes,90,72.69,Tunisia,6542.099999999999,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC2562,Shoes,20,42.5,Tunisia,850.0,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC1367,Shoes,60,30.99,Tunisia,1859.4,2010-12,2010-12,1
537607,2010-12-07 13:18:00,15965.0,SC9599,Shoes,80,19.69,Tunisia,1575.2,2010-12,2010-12,1
537665,2010-12-07 17:19:00,16365.0,SC4600,Shoes,76,39.3,Tunisia,2986.8,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC9587,Shoes,59,35.32,Tunisia,2083.88,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC4143,Shoes,46,62.48,Tunisia,2874.08,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC6569,Shoes,93,84.24,Tunisia,7834.32,2010-12,2010-12,1
537799,2010-12-08 13:07:00,15916.0,SC2216,Shoes,95,6.64,Tunisia,630.8,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC7151,Shoes,45,36.2,Tunisia,1629.0000000000002,2010-12,2010-12,1
537817,2010-12-08 13:53:00,18269.0,SC2816,Shoes,33,72.81,Tunisia,2402.73,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9047,Shoes,6,65.41,Tunisia,392.46,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC3812,Shoes,69,72.64,Tunisia,5012.16,2010-12,2010-12,1
538002,2010-12-09 11:48:00,14932.0,SC6155,Shoes,18,95.82,Tunisia,1724.7599999999998,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC5344,Shoes,38,88.59,Tunisia,3366.42,2010-12,2010-12,1
