InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8536,Sports Equipment,32,30.73,Tunisia,983.36,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC8643,Sports Equipment,98,16.84,Tunisia,1650.32,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1357,Sports Equipment,47,68.54,Tunisia,3221.38,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8210,Sports Equipment,88,73.66,Tunisia,6482.08,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC9579,Sports Equipment,34,67.91,Tunisia,2308.94,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC2514,Sports Equipment,97,2.48,Tunisia,240.56,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC9184,Sports Equipment,31,32.33,Tunisia,1002.23,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC1748,Sports Equipment,75,95.99,Tunisia,7199.25,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC2796,Sports Equipment,89,36.17,Tunisia,3219.13,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC3478,Sports Equipment,91,8.54,Tunisia,777.1399999999999,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC9048,Sports Equipment,39,24.45,Tunisia,953.55,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC3584,Sports Equipment,68,22.8,Tunisia,1550.4,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7178,Sports Equipment,60,6.0,Tunisia,360.0,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC5623,Sports Equipment,99,27.45,Tunisia,2717.55,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC2981,Sports Equipment,19,52.61,Tunisia,999.59,2010-12,2010-12,1
536786,2010-12-02 15:23:00,15061.0,SC8226,Sports Equipment,2,63.07,Tunisia,126.14,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC8044,Sports Equipment,7,63.27,Tunisia,442.89,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC5763,Sports Equipment,88,69.45,Tunisia,6111.6,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC4043,Sports Equipment,38,47.16,Tunisia,1792.08,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC5651,Sports Equipment,95,16.09,Tunisia,1528.55,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC7616,Sports Equipment,47,64.75,Tunisia,3043.25,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC4870,Sports Equipment,75,63.11,Tunisia,4733.25,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1540,Sports Equipment,62,90.05,Tunisia,5583.099999999999,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC4792,Sports Equipment,45,63.09,Tunisia,2839.05,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC7254,Sports Equipment,9,98.37,Tunisia,885.33,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3351,Sports Equipment,92,86.31,Tunisia,7940.52,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC5645,Sports Equipment,27,99.12,Tunisia,2676.24,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC5837,Sports Equipment,90,64.89,Tunisia,5840.1,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4725,Sports Equipment,100,73.31,Tunisia,7331.0,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC2415,Sports Equipment,82,89.75,Tunisia,7359.5,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC2631,Sports Equipment,14,26.93,Tunisia,377.02,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC2935,Sports Equipment,83,54.9,Tunisia,4556.7,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6804,Sports Equipment,45,58.05,Tunisia,2612.25,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC3568,Sports Equipment,26,55.32,Tunisia,1438.32,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC4654,Sports Equipment,95,92.55,Tunisia,8792.25,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC9921,Sports Equipment,95,58.2,Tunisia,5529.0,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC5508,Sports Equipment,67,66.86,Tunisia,4479.62,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC3076,Sports Equipment,53,52.86,Tunisia,2801.58,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC1283,Sports Equipment,95,32.61,Tunisia,3097.95,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC7616,Sports Equipment,96,93.24,Tunisia,8951.039999999999,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC6677,Sports Equipment,78,4.63,Tunisia,361.14,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC2053,Sports Equipment,41,40.68,Tunisia,1667.88,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC8576,Sports Equipment,94,28.29,Tunisia,2659.26,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC4827,Sports Equipment,100,88.35,Tunisia,8835.0,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC8304,Sports Equipment,82,90.19,Tunisia,7395.58,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC2947,Sports Equipment,64,19.06,Tunisia,1219.84,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3321,Sports Equipment,23,10.16,Tunisia,233.68,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC1514,Sports Equipment,34,73.03,Tunisia,2483.02,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC3729,Sports Equipment,9,9.82,Tunisia,88.38,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC1333,Sports Equipment,48,89.91,Tunisia,4315.68,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC2171,Sports Equipment,98,19.1,Tunisia,1871.8,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC7995,Sports Equipment,66,59.21,Tunisia,3907.86,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3078,Sports Equipment,7,97.94,Tunisia,685.5799999999999,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC4600,Sports Equipment,98,33.31,Tunisia,3264.38,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC2829,Sports Equipment,14,74.18,Tunisia,1038.52,2010-12,2010-12,1
537892,2010-12-09 10:13:00,12481.0,SC8984,Sports Equipment,99,18.92,Tunisia,1873.08,2010-12,2010-12,1
537915,2010-12-09 10:55:00,12797.0,SC5897,Sports Equipment,12,2.49,Tunisia,29.880000000000003,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC6599,Sports Equipment,6,61.98,Tunisia,371.88,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC3485,Sports Equipment,15,87.66,Tunisia,1314.9,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC3962,Sports Equipment,47,34.42,Tunisia,1617.74,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC6577,Sports Equipment,90,87.54,Tunisia,7878.6,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC1300,Sports Equipment,17,89.38,Tunisia,1519.46,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC6482,Sports Equipment,88,68.55,Tunisia,6032.4,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC1881,Sports Equipment,45,34.4,Tunisia,1548.0,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC1677,Sports Equipment,67,30.66,Tunisia,2054.22,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC4044,Sports Equipment,78,80.58,Tunisia,6285.24,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC8515,Sports Equipment,29,37.74,Tunisia,1094.46,2010-12,2010-12,1
538503,2010-12-12 12:56:00,17188.0,SC4580,Sports Equipment,70,61.1,Tunisia,4277.0,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC6325,Sports Equipment,88,89.74,Tunisia,7897.12,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC3948,Sports Equipment,41,46.85,Tunisia,1920.85,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC4772,Sports Equipment,83,74.29,Tunisia,6166.070000000001,2010-12,2010-12,1
538722,2010-12-14 11:12:00,17975.0,SC8658,Sports Equipment,61,61.24,Tunisia,3735.64,2010-12,2010-12,1
538807,2010-12-14 12:06:00,17194.0,SC8701,Sports Equipment,100,53.34,Tunisia,5334.0,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC9955,Sports Equipment,70,19.68,Tunisia,1377.6,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC7370,Sports Equipment,67,37.9,Tunisia,2539.3,2010-12,2010-12,1
538848,2010-12-14 13:28:00,17404.0,SC4628,Sports Equipment,20,27.5,Tunisia,550.0,2010-12,2010-12,1
538907,2010-12-15 10:40:00,15373.0,SC9953,Sports Equipment,45,27.26,Tunisia,1226.7,2010-12,2010-12,1
538998,2010-12-15 12:08:00,15061.0,SC4328,Sports Equipment,35,86.72,Tunisia,3035.2,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC9089,Sports Equipment,54,69.08,Tunisia,3730.32,2010-12,2010-12,1
539082,2010-12-16 09:22:00,13317.0,SC6133,Sports Equipment,17,93.13,Tunisia,1583.21,2010-12,2010-12,1
539086,2010-12-16 09:35:00,17001.0,SC4083,Sports Equipment,83,90.73,Tunisia,7530.59,2010-12,2010-12,1
539088,2010-12-16 09:45:00,13093.0,SC5201,Sports Equipment,44,36.46,Tunisia,1604.24,2010-12,2010-12,1
539092,2010-12-16 10:08:00,15482.0,SC4269,Sports Equipment,57,95.21,Tunisia,5426.969999999999,2010-12,2010-12,1
539098,2010-12-16 10:28:00,14841.0,SC3629,Sports Equipment,73,18.31,Tunisia,1336.63,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC7438,Sports Equipment,69,6.6,Tunisia,455.4,2010-12,2010-12,1
539298,2010-12-16 17:29:00,14180.0,SC5818,Sports Equipment,13,8.76,Tunisia,113.88,2010-12,2010-12,1
539450,2010-12-17 16:53:00,15570.0,SC2848,Sports Equipment,61,85.56,Tunisia,5219.16,2010-12,2010-12,1
539452,2010-12-17 17:06:00,15856.0,SC6913,Sports Equipment,90,16.22,Tunisia,1459.8,2010-12,2010-12,1
