InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536368,2010-12-01 08:34:00,13047.0,SC2553,Toys,58,67.53,Tunisia,3916.74,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC5553,Toys,49,97.96,Tunisia,4800.04,2010-12,2010-12,1
536397,2010-12-01 10:51:00,17924.0,SC5365,Toys,50,2.91,Tunisia,145.5,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6455,Toys,94,62.4,Tunisia,5865.599999999999,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7024,Toys,17,12.72,Tunisia,216.24,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3047,Toys,77,62.15,Tunisia,4785.55,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3502,Toys,71,60.44,Tunisia,4291.24,2010-12,2010-12,1
536594,2010-12-01 17:22:00,15235.0,SC8361,Toys,4,24.55,Tunisia,98.2,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC7843,Toys,41,81.09,Tunisia,3324.69,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC7629,Toys,67,59.28,Tunisia,3971.76,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC6153,Toys,7,26.39,Tunisia,184.73,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5754,Toys,55,92.83,Tunisia,5105.65,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9160,Toys,18,71.62,Tunisia,1289.16,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6284,Toys,16,5.79,Tunisia,92.64,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC8710,Toys,84,5.26,Tunisia,441.84,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC8360,Toys,53,59.24,Tunisia,3139.7200000000003,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1152,Toys,37,76.18,Tunisia,2818.6600000000003,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8647,Toys,92,20.54,Tunisia,1889.68,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC3789,Toys,48,72.4,Tunisia,3475.2000000000003,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC7453,Toys,66,9.64,Tunisia,636.24,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC2465,Toys,38,29.71,Tunisia,1128.98,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC3806,Toys,27,31.14,Tunisia,840.78,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC6580,Toys,4,77.98,Tunisia,311.92,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC4469,Toys,82,28.89,Tunisia,2368.98,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC4833,Toys,81,11.01,Tunisia,891.81,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC3672,Toys,11,69.8,Tunisia,767.8,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6566,Toys,39,44.79,Tunisia,1746.81,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC6085,Toys,21,15.85,Tunisia,332.85,2010-12,2010-12,1
537384,2010-12-06 13:21:00,15984.0,SC2835,Toys,48,85.9,Tunisia,4123.200000000001,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC6019,Toys,40,42.88,Tunisia,1715.2,2010-12,2010-12,1
