InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC2468,Books,33,56.42,Uganda,1861.86,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8122,Books,82,3.43,Uganda,281.26,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC8921,Books,91,97.68,Uganda,8888.880000000001,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8947,Books,44,75.57,Uganda,3325.08,2010-12,2010-12,1
536688,2010-12-02 12:24:00,17850.0,SC7249,Books,11,8.4,Uganda,92.4,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC1413,Books,64,30.15,Uganda,1929.6,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC8194,Books,92,94.76,Uganda,8717.92,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC9532,Books,11,91.31,Uganda,1004.41,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC9352,Books,23,21.86,Uganda,502.78,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC5560,Books,62,66.49,Uganda,4122.38,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC5883,Books,69,49.52,Uganda,3416.88,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC8242,Books,53,86.97,Uganda,4609.41,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC9790,Books,92,30.91,Uganda,2843.72,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC4947,Books,34,28.74,Uganda,977.16,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC2548,Books,14,85.51,Uganda,1197.14,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC5565,Books,61,57.56,Uganda,3511.1600000000003,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC5928,Books,71,94.07,Uganda,6678.969999999999,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC1119,Books,54,38.81,Uganda,2095.74,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC1777,Books,76,42.15,Uganda,3203.4,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC8384,Books,30,40.42,Uganda,1212.6,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC5382,Books,23,99.94,Uganda,2298.62,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC3175,Books,50,19.77,Uganda,988.5,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC8268,Books,75,63.28,Uganda,4746.0,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC9233,Books,81,38.74,Uganda,3137.94,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC4663,Books,94,96.24,Uganda,9046.56,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC1459,Books,48,92.31,Uganda,4430.88,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC5283,Books,23,49.21,Uganda,1131.83,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC4018,Books,9,8.58,Uganda,77.22,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC3340,Books,21,7.26,Uganda,152.46,2010-12,2010-12,1
537676,2010-12-08 09:53:00,12386.0,SC1396,Books,100,93.2,Uganda,9320.0,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC9040,Books,41,26.18,Uganda,1073.38,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC5049,Books,37,32.34,Uganda,1196.5800000000002,2010-12,2010-12,1
537792,2010-12-08 12:56:00,16385.0,SC4378,Books,97,75.75,Uganda,7347.75,2010-12,2010-12,1
537804,2010-12-08 13:17:00,12748.0,SC8899,Books,39,85.02,Uganda,3315.78,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC2858,Books,6,70.77,Uganda,424.62,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC8254,Books,43,73.39,Uganda,3155.77,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC7295,Books,48,57.35,Uganda,2752.8,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC8368,Books,38,42.71,Uganda,1622.98,2010-12,2010-12,1
538197,2010-12-10 10:56:00,14419.0,SC1162,Books,11,3.33,Uganda,36.63,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8150,Books,43,70.46,Uganda,3029.78,2010-12,2010-12,1
