InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC3214,Cloths,67,58.13,Uganda,3894.71,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6995,Cloths,76,86.05,Uganda,6539.8,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3160,Cloths,84,6.77,Uganda,568.68,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5989,Cloths,55,18.73,Uganda,1030.15,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC5734,Cloths,56,76.29,Uganda,4272.240000000001,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC7179,Cloths,91,1.46,Uganda,132.86,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC9222,Cloths,57,68.1,Uganda,3881.7,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC9457,Cloths,98,28.39,Uganda,2782.2200000000003,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC1912,Cloths,4,41.91,Uganda,167.64,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2971,Cloths,54,66.28,Uganda,3579.12,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC2257,Cloths,96,98.57,Uganda,9462.72,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC6191,Cloths,64,71.74,Uganda,4591.36,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC1384,Cloths,86,97.69,Uganda,8401.34,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC3489,Cloths,17,19.51,Uganda,331.67,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC3780,Cloths,86,40.46,Uganda,3479.56,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC2416,Cloths,11,76.75,Uganda,844.25,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC2827,Cloths,38,78.77,Uganda,2993.26,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC9382,Cloths,27,46.83,Uganda,1264.41,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC5349,Cloths,98,2.27,Uganda,222.46,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5714,Cloths,60,24.94,Uganda,1496.4,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC8306,Cloths,8,32.38,Uganda,259.04,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9063,Cloths,14,28.75,Uganda,402.5,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1020,Cloths,64,6.47,Uganda,414.08,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC2597,Cloths,68,53.52,Uganda,3639.36,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC8311,Cloths,62,95.57,Uganda,5925.339999999999,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4425,Cloths,56,65.86,Uganda,3688.16,2010-12,2010-12,1
537233,2010-12-06 09:37:00,17428.0,SC9842,Cloths,14,77.97,Uganda,1091.58,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8647,Cloths,3,84.54,Uganda,253.62,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC8588,Cloths,29,51.97,Uganda,1507.13,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC4282,Cloths,64,99.79,Uganda,6386.56,2010-12,2010-12,1
