InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8101,Cosmetics,9,65.32,Uganda,587.8799999999999,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1535,Cosmetics,39,77.78,Uganda,3033.42,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9083,Cosmetics,68,64.15,Uganda,4362.200000000001,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8597,Cosmetics,30,99.28,Uganda,2978.4,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2787,Cosmetics,88,62.22,Uganda,5475.36,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5130,Cosmetics,4,76.05,Uganda,304.2,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3203,Cosmetics,28,75.72,Uganda,2120.16,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6170,Cosmetics,61,88.44,Uganda,5394.84,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8184,Cosmetics,26,14.48,Uganda,376.48,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC5483,Cosmetics,66,18.16,Uganda,1198.56,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC9345,Cosmetics,27,27.61,Uganda,745.47,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC7655,Cosmetics,18,70.46,Uganda,1268.28,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC9367,Cosmetics,2,44.99,Uganda,89.98,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC4555,Cosmetics,43,70.13,Uganda,3015.59,2010-12,2010-12,1
536693,2010-12-02 12:26:00,17850.0,SC7015,Cosmetics,48,50.72,Uganda,2434.56,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC9420,Cosmetics,68,68.82,Uganda,4679.759999999999,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC8119,Cosmetics,51,33.6,Uganda,1713.6,2010-12,2010-12,1
536797,2010-12-02 15:49:00,16770.0,SC4734,Cosmetics,58,58.97,Uganda,3420.26,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4731,Cosmetics,22,37.28,Uganda,820.1600000000001,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC8502,Cosmetics,13,52.1,Uganda,677.3000000000001,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC5314,Cosmetics,80,18.73,Uganda,1498.4,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2259,Cosmetics,56,95.01,Uganda,5320.56,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC1121,Cosmetics,56,68.3,Uganda,3824.8,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2909,Cosmetics,19,79.69,Uganda,1514.11,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC9309,Cosmetics,98,3.74,Uganda,366.52,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC9922,Cosmetics,81,15.92,Uganda,1289.52,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9113,Cosmetics,36,75.93,Uganda,2733.4800000000005,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5966,Cosmetics,34,74.1,Uganda,2519.4,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC2852,Cosmetics,66,63.23,Uganda,4173.179999999999,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC8174,Cosmetics,93,78.67,Uganda,7316.31,2010-12,2010-12,1
537394,2010-12-06 14:00:00,13089.0,SC5290,Cosmetics,80,76.67,Uganda,6133.6,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC9287,Cosmetics,25,4.55,Uganda,113.75,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC7572,Cosmetics,19,4.34,Uganda,82.46,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC5186,Cosmetics,43,32.19,Uganda,1384.1699999999998,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC3780,Cosmetics,49,4.68,Uganda,229.32,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC1850,Cosmetics,55,12.89,Uganda,708.95,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC8095,Cosmetics,14,47.51,Uganda,665.14,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC3974,Cosmetics,21,61.91,Uganda,1300.11,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC3512,Cosmetics,66,5.92,Uganda,390.72,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC6989,Cosmetics,12,57.11,Uganda,685.3199999999999,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC8580,Cosmetics,36,10.81,Uganda,389.16,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC4828,Cosmetics,92,48.36,Uganda,4449.12,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6301,Cosmetics,39,13.32,Uganda,519.48,2010-12,2010-12,1
537804,2010-12-08 13:17:00,12748.0,SC2215,Cosmetics,61,66.12,Uganda,4033.32,2010-12,2010-12,1
537819,2010-12-08 13:55:00,15298.0,SC6305,Cosmetics,3,23.64,Uganda,70.92,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC9049,Cosmetics,32,7.31,Uganda,233.92,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC4654,Cosmetics,78,45.08,Uganda,3516.24,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC1045,Cosmetics,97,76.19,Uganda,7390.429999999999,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC5261,Cosmetics,24,64.28,Uganda,1542.72,2010-12,2010-12,1
537887,2010-12-09 10:00:00,18092.0,SC7200,Cosmetics,78,67.17,Uganda,5239.26,2010-12,2010-12,1
537896,2010-12-09 10:33:00,18071.0,SC8751,Cosmetics,68,11.82,Uganda,803.76,2010-12,2010-12,1
537915,2010-12-09 10:55:00,12797.0,SC4332,Cosmetics,50,16.39,Uganda,819.5,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC9059,Cosmetics,98,4.43,Uganda,434.14,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC3209,Cosmetics,27,21.84,Uganda,589.68,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC9784,Cosmetics,62,4.0,Uganda,248.0,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC9047,Cosmetics,71,80.42,Uganda,5709.82,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC8896,Cosmetics,92,55.04,Uganda,5063.68,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC7470,Cosmetics,53,89.02,Uganda,4718.06,2010-12,2010-12,1
538180,2010-12-10 09:53:00,13418.0,SC4111,Cosmetics,70,82.85,Uganda,5799.5,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC4382,Cosmetics,33,22.03,Uganda,726.99,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC8755,Cosmetics,37,96.99,Uganda,3588.63,2010-12,2010-12,1
538185,2010-12-10 10:22:00,16265.0,SC6819,Cosmetics,13,91.29,Uganda,1186.77,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC9509,Cosmetics,94,51.22,Uganda,4814.68,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC5568,Cosmetics,63,66.45,Uganda,4186.35,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC1739,Cosmetics,21,18.16,Uganda,381.36,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC3921,Cosmetics,91,80.19,Uganda,7297.29,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC2417,Cosmetics,64,32.14,Uganda,2056.96,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC4632,Cosmetics,88,12.39,Uganda,1090.3200000000002,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC6901,Cosmetics,65,31.11,Uganda,2022.15,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC3966,Cosmetics,81,96.15,Uganda,7788.150000000001,2010-12,2010-12,1
538504,2010-12-12 13:01:00,16011.0,SC1550,Cosmetics,50,67.55,Uganda,3377.5,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC9253,Cosmetics,56,55.25,Uganda,3094.0,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC6386,Cosmetics,10,74.45,Uganda,744.5,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC5386,Cosmetics,59,19.12,Uganda,1128.0800000000002,2010-12,2010-12,1
538541,2010-12-13 10:46:00,17428.0,SC3555,Cosmetics,67,44.38,Uganda,2973.46,2010-12,2010-12,1
538591,2010-12-13 11:44:00,14741.0,SC3978,Cosmetics,16,76.31,Uganda,1220.96,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC6407,Cosmetics,21,57.11,Uganda,1199.31,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC2143,Cosmetics,96,47.24,Uganda,4535.04,2010-12,2010-12,1
538708,2010-12-14 10:43:00,16202.0,SC8476,Cosmetics,72,62.12,Uganda,4472.639999999999,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC4894,Cosmetics,7,49.36,Uganda,345.52,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC7971,Cosmetics,57,23.63,Uganda,1346.91,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC9942,Cosmetics,86,86.54,Uganda,7442.44,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC8748,Cosmetics,14,74.72,Uganda,1046.08,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC7927,Cosmetics,63,43.54,Uganda,2743.02,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC3663,Cosmetics,92,36.19,Uganda,3329.48,2010-12,2010-12,1
538900,2010-12-15 09:51:00,13078.0,SC2458,Cosmetics,81,79.35,Uganda,6427.349999999999,2010-12,2010-12,1
538910,2010-12-15 10:54:00,17454.0,SC9929,Cosmetics,53,81.1,Uganda,4298.299999999999,2010-12,2010-12,1
