InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8304,Electronics,45,75.85,Uganda,3413.2499999999995,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC6586,Electronics,47,27.78,Uganda,1305.66,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4711,Electronics,97,94.81,Uganda,9196.57,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC8755,Electronics,58,83.86,Uganda,4863.88,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1599,Electronics,19,91.73,Uganda,1742.87,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6221,Electronics,36,3.11,Uganda,111.96,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC6518,Electronics,64,40.59,Uganda,2597.76,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC6180,Electronics,7,73.23,Uganda,512.61,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC7609,Electronics,16,32.18,Uganda,514.88,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC7062,Electronics,64,68.19,Uganda,4364.16,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC9324,Electronics,57,70.14,Uganda,3997.98,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9346,Electronics,1,59.33,Uganda,59.33,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC2464,Electronics,29,83.24,Uganda,2413.96,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC2712,Electronics,42,9.73,Uganda,408.66,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC5990,Electronics,24,95.74,Uganda,2297.76,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2285,Electronics,30,48.35,Uganda,1450.5,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC4649,Electronics,45,64.02,Uganda,2880.9,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9697,Electronics,59,31.61,Uganda,1864.99,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC7065,Electronics,71,58.79,Uganda,4174.09,2010-12,2010-12,1
