InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536404,2010-12-01 11:29:00,16218.0,SC9467,Furniture,78,17.47,Uganda,1362.66,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9959,Furniture,55,52.33,Uganda,2878.15,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4764,Furniture,72,65.28,Uganda,4700.16,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1181,Furniture,31,48.34,Uganda,1498.5400000000002,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2041,Furniture,41,95.15,Uganda,3901.15,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7873,Furniture,5,35.18,Uganda,175.9,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC1573,Furniture,10,95.9,Uganda,959.0,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2394,Furniture,55,99.52,Uganda,5473.599999999999,2010-12,2010-12,1
536580,2010-12-01 16:17:00,17690.0,SC7944,Furniture,81,33.28,Uganda,2695.6800000000003,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC5780,Furniture,33,78.36,Uganda,2585.88,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC3136,Furniture,33,52.06,Uganda,1717.98,2010-12,2010-12,1
536673,2010-12-02 12:11:00,14060.0,SC5110,Furniture,28,17.53,Uganda,490.84,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC1004,Furniture,97,47.5,Uganda,4607.5,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC7827,Furniture,39,70.6,Uganda,2753.4,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9698,Furniture,4,15.32,Uganda,61.28,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC2637,Furniture,91,28.59,Uganda,2601.69,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC9571,Furniture,21,83.58,Uganda,1755.18,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC5097,Furniture,60,29.82,Uganda,1789.2,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC1587,Furniture,54,98.52,Uganda,5320.08,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7185,Furniture,98,18.19,Uganda,1782.62,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2394,Furniture,35,65.4,Uganda,2289.0,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2148,Furniture,94,56.49,Uganda,5310.06,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9656,Furniture,29,97.51,Uganda,2827.79,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6331,Furniture,87,33.4,Uganda,2905.8,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC4067,Furniture,23,84.55,Uganda,1944.65,2010-12,2010-12,1
