InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC5218,Jewelry,69,19.01,Uganda,1311.69,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2299,Jewelry,48,94.43,Uganda,4532.64,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC4054,Jewelry,25,52.07,Uganda,1301.75,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4379,Jewelry,64,62.7,Uganda,4012.8,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7666,Jewelry,5,80.68,Uganda,403.4,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5370,Jewelry,22,43.43,Uganda,955.46,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4024,Jewelry,69,24.58,Uganda,1696.02,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC5610,Jewelry,43,90.8,Uganda,3904.4,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC3993,Jewelry,37,53.64,Uganda,1984.68,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC6085,Jewelry,72,4.47,Uganda,321.84,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC6718,Jewelry,60,90.06,Uganda,5403.6,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC5514,Jewelry,64,68.5,Uganda,4384.0,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC5273,Jewelry,8,36.66,Uganda,293.28,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5247,Jewelry,10,75.18,Uganda,751.8000000000001,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9781,Jewelry,32,36.71,Uganda,1174.72,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8317,Jewelry,69,38.27,Uganda,2640.63,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC8512,Jewelry,31,70.23,Uganda,2177.13,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC2886,Jewelry,47,12.64,Uganda,594.08,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7957,Jewelry,8,97.91,Uganda,783.28,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7487,Jewelry,49,97.62,Uganda,4783.38,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC1734,Jewelry,17,95.81,Uganda,1628.77,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC2378,Jewelry,66,10.0,Uganda,660.0,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC3901,Jewelry,62,38.04,Uganda,2358.48,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC2034,Jewelry,97,39.36,Uganda,3817.92,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC9984,Jewelry,55,39.86,Uganda,2192.3,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC8683,Jewelry,87,85.4,Uganda,7429.8,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC4319,Jewelry,85,66.93,Uganda,5689.05,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC1460,Jewelry,48,25.69,Uganda,1233.12,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC8468,Jewelry,1,22.6,Uganda,22.6,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC1953,Jewelry,9,22.28,Uganda,200.52,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC9974,Jewelry,46,43.78,Uganda,2013.88,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC1328,Jewelry,72,24.6,Uganda,1771.2,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC2013,Jewelry,5,2.78,Uganda,13.9,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC6142,Jewelry,26,81.94,Uganda,2130.44,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC3028,Jewelry,18,10.12,Uganda,182.16,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC5414,Jewelry,30,34.96,Uganda,1048.8,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC4601,Jewelry,99,31.48,Uganda,3116.52,2010-12,2010-12,1
