InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC4715,Kitchenware,74,90.67,Uganda,6709.58,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4817,Kitchenware,77,90.85,Uganda,6995.45,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC1203,Kitchenware,90,99.6,Uganda,8964.0,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5127,Kitchenware,1,84.47,Uganda,84.47,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7257,Kitchenware,26,23.38,Uganda,607.88,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC9481,Kitchenware,56,17.01,Uganda,952.56,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1661,Kitchenware,40,23.17,Uganda,926.8,2010-12,2010-12,1
536580,2010-12-01 16:17:00,17690.0,SC4576,Kitchenware,58,20.41,Uganda,1183.78,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC5635,Kitchenware,58,68.33,Uganda,3963.14,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC3993,Kitchenware,79,33.84,Uganda,2673.36,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC2476,Kitchenware,24,1.67,Uganda,40.08,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC6999,Kitchenware,55,40.97,Uganda,2253.35,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC8120,Kitchenware,19,37.32,Uganda,709.08,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8195,Kitchenware,9,39.59,Uganda,356.31000000000006,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1301,Kitchenware,18,7.11,Uganda,127.98,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC1069,Kitchenware,59,98.16,Uganda,5791.44,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC6696,Kitchenware,36,64.64,Uganda,2327.04,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7424,Kitchenware,21,74.8,Uganda,1570.8,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7196,Kitchenware,5,15.78,Uganda,78.89999999999999,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC5279,Kitchenware,36,83.33,Uganda,2999.88,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC4559,Kitchenware,43,81.72,Uganda,3513.96,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC4185,Kitchenware,81,57.91,Uganda,4690.71,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC4850,Kitchenware,73,74.11,Uganda,5410.03,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC1763,Kitchenware,61,27.87,Uganda,1700.0700000000002,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5752,Kitchenware,6,67.65,Uganda,405.9,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC3070,Kitchenware,52,29.82,Uganda,1550.64,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC9646,Kitchenware,41,85.02,Uganda,3485.82,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC7061,Kitchenware,8,81.42,Uganda,651.36,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC6905,Kitchenware,45,33.41,Uganda,1503.4499999999998,2010-12,2010-12,1
537394,2010-12-06 14:00:00,13089.0,SC1052,Kitchenware,28,20.42,Uganda,571.76,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC1193,Kitchenware,3,51.01,Uganda,153.03,2010-12,2010-12,1
537607,2010-12-07 13:18:00,15965.0,SC4284,Kitchenware,78,84.7,Uganda,6606.6,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC3078,Kitchenware,26,26.46,Uganda,687.96,2010-12,2010-12,1
